Marin County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
194401,6.62,-1.17
194402,8.22,1.67
194403,2.22,-2.61
194404,2.95,0.72
194405,1.61,0.71
194406,0.47,0.22
194407,0.00,-0.01
194408,0.01,-0.10
194409,0.03,-0.27
194410,2.47,0.73
194411,7.31,2.92
194412,5.40,-0.98
194501,3.21,-4.58
194502,5.74,-0.81
194503,5.77,0.94
194504,0.48,-1.75
194505,1.58,0.68
194506,0.01,-0.24
194507,0.03,0.02
194508,0.00,-0.11
194509,0.04,-0.26
194510,3.89,2.15
194511,5.55,1.16
194512,15.03,8.65
194601,2.41,-5.38
194602,3.13,-3.42
194603,2.95,-1.88
194604,0.38,-1.85
194605,0.70,-0.20
194606,0.00,-0.25
194607,0.05,0.04
194608,0.00,-0.11
194609,0.07,-0.23
194610,0.22,-1.52
194611,4.89,0.50
194612,4.20,-2.18
194701,1.41,-6.38
194702,3.61,-2.94
194703,5.80,0.97
194704,0.71,-1.52
194705,0.75,-0.15
194706,1.17,0.92
194707,0.00,-0.01
194708,0.00,-0.11
194709,0.00,-0.30
194710,5.68,3.94
194711,1.56,-2.83
194712,2.23,-4.15
194801,3.18,-4.61
194802,2.61,-3.94
194803,4.95,0.12
194804,7.15,4.92
194805,0.84,-0.06
194806,0.14,-0.11
194807,0.02,0.01
194808,0.06,-0.05
194809,0.16,-0.14
194810,0.69,-1.05
194811,1.79,-2.60
194812,7.11,0.73
194901,2.48,-5.31
194902,4.98,-1.57
194903,9.12,4.29
194904,0.05,-2.18
194905,0.52,-0.38
194906,0.00,-0.25
194907,0.06,0.05
194908,0.20,0.09
194909,0.02,-0.28
194910,0.11,-1.63
194911,2.46,-1.93
194912,3.56,-2.82
195001,11.96,4.17
195002,6.06,-0.49
195003,3.19,-1.64
195004,1.50,-0.73
195005,0.71,-0.19
195006,0.08,-0.17
195007,0.00,-0.01
195008,0.00,-0.11
195009,0.01,-0.29
195010,4.26,2.52
195011,9.10,4.71
195012,10.88,4.50
195101,6.88,-0.91
195102,4.06,-2.49
195103,2.42,-2.41
195104,1.42,-0.81
195105,1.45,0.55
195106,0.01,-0.24
195107,0.00,-0.01
195108,0.29,0.18
195109,0.04,-0.26
195110,2.24,0.50
195111,6.36,1.97
195112,12.43,6.05
195201,14.30,6.51
195202,3.89,-2.66
195203,5.79,0.96
195204,1.39,-0.84
195205,0.51,-0.39
195206,0.90,0.65
195207,0.01,0.00
195208,0.00,-0.11
195209,0.05,-0.25
195210,0.07,-1.67
195211,3.68,-0.71
195212,16.88,10.50
195301,7.89,0.10
195302,0.05,-6.50
195303,3.96,-0.87
195304,4.44,2.21
195305,0.74,-0.16
195306,0.52,0.27
195307,0.00,-0.01
195308,0.53,0.42
195309,0.00,-0.30
195310,0.99,-0.75
195311,4.70,0.31
195312,1.34,-5.04
195401,8.00,0.21
195402,4.45,-2.10
195403,6.87,2.04
195404,3.69,1.46
195405,0.22,-0.68
195406,0.41,0.16
195407,0.04,0.03
195408,0.70,0.59
195409,0.04,-0.26
195410,0.58,-1.16
195411,5.90,1.51
195412,6.93,0.55
195501,5.06,-2.73
195502,1.80,-4.75
195503,0.65,-4.18
195504,4.14,1.91
195505,0.12,-0.78
195506,0.00,-0.25
195507,0.00,-0.01
195508,0.00,-0.11
195509,0.32,0.02
195510,0.32,-1.42
195511,4.15,-0.24
195512,22.89,16.51
195601,12.75,4.96
195602,6.85,0.30
195603,0.38,-4.45
195604,2.30,0.07
195605,0.99,0.09
195606,0.04,-0.21
195607,0.02,0.01
195608,0.00,-0.11
195609,0.26,-0.04
195610,3.15,1.41
195611,0.18,-4.21
195612,0.49,-5.89
195701,5.20,-2.59
195702,6.91,0.36
195703,3.72,-1.11
195704,2.37,0.14
195705,4.66,3.76
195706,0.10,-0.15
195707,0.00,-0.01
195708,0.01,-0.10
195709,1.33,1.03
195710,6.41,4.67
195711,1.31,-3.08
195712,5.32,-1.06
195801,8.81,1.02
195802,16.50,9.95
195803,8.21,3.38
195804,7.57,5.34
195805,0.74,-0.16
195806,0.70,0.45
195807,0.05,0.04
195808,0.04,-0.07
195809,0.05,-0.25
195810,0.16,-1.58
195811,0.39,-4.00
195812,2.22,-4.16
195901,8.39,0.60
195902,7.72,1.17
195903,1.21,-3.62
195904,0.53,-1.70
195905,0.06,-0.84
195906,0.00,-0.25
195907,0.00,-0.01
195908,0.03,-0.08
195909,1.42,1.12
195910,0.02,-1.72
195911,0.02,-4.37
195912,2.31,-4.07
196001,7.33,-0.46
196002,7.85,1.30
196003,4.58,-0.25
196004,1.49,-0.74
196005,1.32,0.42
196006,0.00,-0.25
196007,0.00,-0.01
196008,0.00,-0.11
196009,0.01,-0.29
196010,0.68,-1.06
196011,5.64,1.25
196012,3.98,-2.40
196101,4.86,-2.93
196102,2.91,-3.64
196103,4.91,0.08
196104,1.62,-0.61
196105,0.58,-0.32
196106,0.05,-0.20
196107,0.00,-0.01
196108,0.20,0.09
196109,0.40,0.10
196110,0.35,-1.39
196111,5.62,1.23
196112,4.09,-2.29
196201,2.38,-5.41
196202,12.61,6.06
196203,5.17,0.34
196204,0.58,-1.65
196205,0.07,-0.83
196206,0.00,-0.25
196207,0.00,-0.01
196208,0.34,0.23
196209,0.28,-0.02
196210,9.01,7.27
196211,1.27,-3.12
196212,5.25,-1.13
196301,6.95,-0.84
196302,5.06,-1.49
196303,6.17,1.34
196304,6.92,4.69
196305,0.79,-0.11
196306,0.03,-0.22
196307,0.00,-0.01
196308,0.02,-0.09
196309,0.18,-0.12
196310,2.57,0.83
196311,8.07,3.68
196312,1.07,-5.31
196401,5.88,-1.91
196402,0.27,-6.28
196403,2.60,-2.23
196404,0.33,-1.90
196405,0.60,-0.30
196406,0.95,0.70
196407,0.03,0.02
196408,0.06,-0.05
196409,0.00,-0.30
196410,2.66,0.92
196411,6.77,2.38
196412,11.90,5.52
196501,7.74,-0.05
196502,1.59,-4.96
196503,2.51,-2.32
196504,5.28,3.05
196505,0.01,-0.89
196506,0.00,-0.25
196507,0.03,0.02
196508,0.82,0.71
196509,0.00,-0.30
196510,0.14,-1.60
196511,8.85,4.46
196512,5.85,-0.53
196601,7.52,-0.27
196602,4.83,-1.72
196603,1.08,-3.75
196604,0.98,-1.25
196605,0.26,-0.64
196606,0.15,-0.10
196607,0.04,0.03
196608,0.51,0.40
196609,0.16,-0.14
196610,0.00,-1.74
196611,9.84,5.45
196612,7.44,1.06
196701,16.38,8.59
196702,0.55,-6.00
196703,7.72,2.89
196704,6.94,4.71
196705,0.21,-0.69
196706,1.23,0.98
196707,0.00,-0.01
196708,0.00,-0.11
196709,0.05,-0.25
196710,0.95,-0.79
196711,2.62,-1.77
196712,4.32,-2.06
196801,9.11,1.32
196802,4.94,-1.61
196803,4.29,-0.54
196804,0.61,-1.62
196805,0.44,-0.46
196806,0.00,-0.25
196807,0.00,-0.01
196808,0.67,0.56
196809,0.04,-0.26
196810,1.86,0.12
196811,4.64,0.25
196812,9.86,3.48
196901,14.37,6.58
196902,11.26,4.71
196903,1.97,-2.86
196904,2.80,0.57
196905,0.05,-0.85
196906,0.05,-0.20
196907,0.00,-0.01
196908,0.00,-0.11
196909,0.03,-0.27
196910,3.02,1.28
196911,1.36,-3.03
196912,13.09,6.71
197001,18.25,10.46
197002,3.36,-3.19
197003,2.60,-2.23
197004,0.21,-2.02
197005,0.05,-0.85
197006,0.64,0.39
197007,0.00,-0.01
197008,0.00,-0.11
197009,0.00,-0.30
197010,2.03,0.29
197011,11.42,7.03
197012,12.12,5.74
197101,3.31,-4.48
197102,0.52,-6.03
197103,4.98,0.15
197104,1.39,-0.84
197105,0.47,-0.43
197106,0.01,-0.24
197107,0.00,-0.01
197108,0.07,-0.04
197109,0.27,-0.03
197110,0.26,-1.48
197111,3.04,-1.35
197112,7.22,0.84
197201,2.39,-5.40
197202,3.22,-3.33
197203,0.76,-4.07
197204,2.28,0.05
197205,0.05,-0.85
197206,0.26,0.01
197207,0.01,0.00
197208,0.12,0.01
197209,0.89,0.59
197210,5.47,3.73
197211,9.39,5.00
197212,5.35,-1.03
197301,15.83,8.04
197302,9.30,2.75
197303,4.00,-0.83
197304,0.17,-2.06
197305,0.06,-0.84
197306,0.00,-0.25
