Butte County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
192703,3.85,-2.49
192704,4.56,1.32
192705,1.54,-0.22
192706,0.61,-0.02
192707,0.00,-0.03
192708,0.01,-0.09
192709,0.04,-0.61
192710,2.88,0.49
192711,9.69,4.34
192712,6.15,-1.43
192801,3.69,-5.04
192802,5.24,-2.37
192803,11.14,4.80
192804,2.27,-0.97
192805,0.05,-1.71
192806,0.13,-0.50
192807,0.01,-0.02
192808,0.00,-0.10
192809,0.04,-0.61
192810,0.54,-1.85
192811,6.11,0.76
192812,6.52,-1.06
192901,2.48,-6.25
192902,4.58,-3.03
192903,3.11,-3.23
192904,2.61,-0.63
192905,0.09,-1.67
192906,2.40,1.77
192907,0.00,-0.03
192908,0.00,-0.10
192909,0.00,-0.65
192910,0.33,-2.06
192911,0.00,-5.35
192912,18.48,10.90
193001,9.36,0.63
193002,4.59,-3.02
193003,4.71,-1.63
193004,2.81,-0.43
193005,2.79,1.03
193006,0.00,-0.63
193007,0.00,-0.03
193008,0.00,-0.10
193009,1.00,0.35
193010,0.47,-1.92
193011,3.11,-2.24
193012,1.18,-6.40
193101,6.48,-2.25
193102,3.65,-3.96
193103,2.65,-3.69
193104,1.33,-1.91
193105,1.93,0.17
193106,1.23,0.60
193107,0.00,-0.03
193108,0.00,-0.10
193109,0.44,-0.21
193110,2.31,-0.08
193111,4.27,-1.08
193112,15.79,8.21
193201,4.04,-4.69
193202,2.18,-5.43
193203,1.61,-4.73
193204,3.78,0.54
193205,4.23,2.47
193206,0.13,-0.50
193207,0.01,-0.02
193208,0.02,-0.08
193209,0.00,-0.65
193210,0.14,-2.25
193211,1.66,-3.69
193212,5.44,-2.14
193301,9.42,0.69
193302,1.60,-6.01
193303,5.34,-1.00
193304,0.54,-2.70
193305,3.01,1.25
193306,0.01,-0.62
193307,0.05,0.02
193308,0.00,-0.10
193309,0.25,-0.40
193310,3.26,0.87
193311,0.01,-5.34
193312,13.51,5.93
193401,2.97,-5.76
193402,7.13,-0.48
193403,2.62,-3.72
193404,1.30,-1.94
