Plumas County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
192510,2.11,-0.25
192511,3.09,-1.77
192512,2.16,-4.47
192601,6.07,-1.69
192602,9.09,2.36
192603,0.57,-5.10
192604,7.56,4.63
192605,1.98,-0.04
192606,0.01,-0.92
192607,0.22,0.00
192608,0.28,0.01
192609,0.14,-0.70
192610,2.50,0.14
192611,14.30,9.44
192612,1.53,-5.10
192701,5.70,-2.06
192702,13.34,6.61
192703,4.29,-1.38
192704,3.88,0.95
192705,1.40,-0.62
192706,0.89,-0.04
192707,0.02,-0.20
192708,0.03,-0.24
192709,0.38,-0.46
192710,2.30,-0.06
192711,9.16,4.30
192712,2.69,-3.94
192801,3.75,-4.01
192802,2.92,-3.81
192803,11.67,6.00
192804,2.84,-0.09
192805,0.57,-1.45
192806,0.56,-0.37
192807,0.05,-0.17
192808,0.01,-0.26
192809,0.31,-0.53
192810,0.59,-1.77
192811,4.21,-0.65
192812,4.55,-2.08
192901,2.14,-5.62
192902,3.39,-3.34
192903,2.81,-2.86
192904,3.23,0.30
192905,0.19,-1.83
192906,3.05,2.12
192907,0.00,-0.22
192908,0.04,-0.23
192909,0.00,-0.84
192910,0.38,-1.98
192911,0.00,-4.86
192912,16.96,10.33
193001,6.86,-0.90
193002,4.63,-2.10
193003,3.98,-1.69
193004,3.74,0.81
193005,2.64,0.62
193006,0.01,-0.92
193007,0.01,-0.21
193008,0.05,-0.22
193009,2.40,1.56
193010,0.57,-1.79
193011,3.71,-1.15
193012,0.94,-5.69
193101,4.83,-2.93
193102,2.60,-4.13
193103,3.77,-1.90
193104,1.95,-0.98
193105,3.24,1.22
193106,1.10,0.17
193107,0.02,-0.20
193108,0.01,-0.26
193109,0.39,-0.45
193110,3.47,1.11
193111,3.61,-1.25
193112,11.21,4.58
193201,5.42,-2.34
193202,1.97,-4.76
193203,1.87,-3.80
193204,3.66,0.73
193205,3.26,1.24
193206,0.81,-0.12
193207,0.09,-0.13
193208,0.29,0.02
193209,0.07,-0.77
193210,0.46,-1.90
193211,1.54,-3.32
193212,4.16,-2.47
193301,7.45,-0.31
193302,1.06,-5.67
193303,4.39,-1.28
193304,1.39,-1.54
193305,3.09,1.07
193306,0.05,-0.88
193307,0.08,-0.14
193308,0.03,-0.24
193309,0.38,-0.46
193310,4.77,2.41
193311,0.01,-4.85
193312,9.81,3.18
193401,2.84,-4.92
193402,5.01,-1.72
193403,2.48,-3.19
193404,1.63,-1.30
193405,1.75,-0.27
193406,1.98,1.05
193407,0.01,-0.21
193408,0.12,-0.15
193409,1.11,0.27
193410,2.75,0.39
193411,6.72,1.86
193412,4.16,-2.47
193501,9.14,1.38
193502,3.97,-2.76
193503,6.22,0.55
193504,9.71,6.78
193505,1.09,-0.93
193506,0.00,-0.93
193507,0.05,-0.17
193508,0.07,-0.20
193509,0.11,-0.73
193510,2.11,-0.25
193511,2.08,-2.78
193512,4.26,-2.37
193601,10.62,2.86
193602,12.49,5.76
193603,2.70,-2.97
193604,2.07,-0.86
193605,1.11,-0.91
193606,2.47,1.54
193607,0.07,-0.15
193608,0.22,-0.05
193609,0.94,0.10
193610,0.18,-2.18
193611,0.07,-4.79
193612,4.79,-1.84
193701,6.57,-1.19
193702,10.86,4.13
193703,6.26,0.59
193704,2.76,-0.17
193705,0.47,-1.55
193706,1.63,0.70
193707,0.19,-0.03
193708,0.00,-0.27
193709,0.01,-0.83
193710,3.32,0.96
193711,12.19,7.33
193712,11.30,4.67
193801,5.82,-1.94
193802,16.42,9.69
193803,12.63,6.96
193804,2.52,-0.41
193805,0.78,-1.24
193806,0.80,-0.13
193807,0.39,0.17
193808,0.04,-0.23
193809,0.45,-0.39
193810,2.66,0.30
193811,1.89,-2.97
193812,1.45,-5.18
193901,4.64,-3.12
193902,2.60,-4.13
193903,4.63,-1.04
193904,0.46,-2.47
193905,2.62,0.60
193906,0.29,-0.64
193907,0.29,0.07
193908,0.11,-0.16
193909,0.59,-0.25
193910,2.76,0.40
193911,0.60,-4.26
193912,4.56,-2.07
194001,14.13,6.37
194002,16.42,9.69
194003,10.42,4.75
194004,1.38,-1.55
194005,1.64,-0.38
194006,0.39,-0.54
194007,0.05,-0.17
194008,0.06,-0.21
194009,1.53,0.69
194010,2.83,0.47
194011,4.49,-0.37
194012,15.01,8.38
194101,8.98,1.22
194102,9.62,2.89
194103,4.18,-1.49
