Tehama County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
193505,0.61,-0.92
193506,0.00,-0.71
193507,0.04,-0.03
193508,0.04,-0.12
193509,0.42,-0.21
193510,2.02,-0.11
193511,1.43,-3.11
193512,5.16,-1.02
193601,9.41,2.55
193602,8.67,2.65
193603,2.33,-2.68
193604,3.08,0.40
193605,1.26,-0.27
193606,2.00,1.29
193607,0.15,0.08
193608,0.06,-0.10
193609,0.53,-0.10
193610,0.15,-1.98
193611,0.02,-4.52
193612,3.96,-2.22
193701,4.57,-2.29
193702,9.39,3.37
193703,8.11,3.10
193704,2.74,0.06
193705,0.26,-1.27
193706,1.95,1.24
193707,0.02,-0.05
193708,0.00,-0.16
193709,0.01,-0.62
193710,3.77,1.64
193711,10.88,6.34
193712,9.07,2.89
193801,5.55,-1.31
193802,11.47,5.45
193803,10.43,5.42
193804,3.08,0.40
193805,0.55,-0.98
193806,0.03,-0.68
193807,0.05,-0.02
193808,0.00,-0.16
193809,1.10,0.47
193810,3.21,1.08
193811,2.18,-2.36
193812,2.33,-3.85
193901,2.76,-4.10
193902,1.51,-4.51
193903,2.78,-2.23
193904,0.42,-2.26
193905,2.30,0.77
193906,0.07,-0.64
193907,0.09,0.02
193908,0.01,-0.15
193909,0.98,0.35
193910,1.83,-0.30
193911,0.44,-4.10
193912,6.09,-0.09
194001,11.78,4.92
194002,12.74,6.72
194003,6.13,1.12
194004,1.41,-1.27
194005,1.76,0.23
194006,0.17,-0.54
194007,0.00,-0.07
194008,0.15,-0.01
194009,0.60,-0.03
194010,3.54,1.41
194011,2.54,-2.00
194012,15.52,9.34
194101,11.65,4.79
194102,12.97,6.95
194103,6.55,1.54
194104,5.88,3.20
194105,2.74,1.21
194106,0.38,-0.33
194107,0.05,-0.02
194108,0.05,-0.11
194109,0.18,-0.45
194110,2.04,-0.09
194111,4.80,0.26
194112,12.90,6.72
194201,7.42,0.56
194202,7.74,1.72
194203,2.25,-2.76
194204,7.65,4.97
194205,3.23,1.70
194206,0.24,-0.47
194207,0.01,-0.06
194208,0.00,-0.16
194209,0.20,-0.43
194210,0.77,-1.36
194211,4.84,0.30
194212,5.92,-0.26
194301,11.08,4.22
194302,3.71,-2.31
194303,5.73,0.72
194304,3.98,1.30
194305,0.40,-1.13
194306,1.13,0.42
194307,0.05,-0.02
194308,0.00,-0.16
194309,0.01,-0.62
194310,1.43,-0.70
194311,1.95,-2.59
194312,2.66,-3.52
194401,4.89,-1.97
194402,5.83,-0.19
194403,1.95,-3.06
194404,3.34,0.66
194405,1.29,-0.24
194406,1.29,0.58
194407,0.03,-0.04
194408,0.01,-0.15
194409,0.03,-0.60
194410,2.13,0.00
194411,7.39,2.85
194412,6.14,-0.04
194501,2.38,-4.48
194502,5.33,-0.69
194503,5.08,0.07
194504,0.53,-2.15
194505,3.16,1.63
194506,1.26,0.55
194507,0.01,-0.06
194508,0.01,-0.15
194509,0.15,-0.48
194510,5.34,3.21
194511,5.95,1.41
194512,13.20,7.02
194601,2.70,-4.16
194602,2.86,-3.16
194603,2.57,-2.44
194604,0.57,-2.11
194605,0.68,-0.85
194606,0.06,-0.65
194607,0.31,0.24
194608,0.00,-0.16
194609,0.15,-0.48
194610,0.82,-1.31
194611,5.10,0.56
194612,4.80,-1.38
194701,0.98,-5.88
194702,4.42,-1.60
194703,5.86,0.85
194704,1.79,-0.89
194705,0.83,-0.70
194706,1.86,1.15
194707,0.01,-0.06
194708,0.21,0.05
194709,0.10,-0.53
194710,7.34,5.21
194711,1.63,-2.91
194712,2.21,-3.97
194801,4.38,-2.48
194802,1.82,-4.20
194803,6.80,1.79
194804,9.92,7.24
194805,3.00,1.47
194806,1.64,0.93
194807,0.16,0.09
194808,0.21,0.05
194809,0.92,0.29
194810,1.14,-0.99
194811,2.30,-2.24
194812,5.70,-0.48
194901,1.00,-5.86
194902,3.60,-2.42
194903,11.37,6.36
194904,0.33,-2.35
194905,2.07,0.54
