Kern County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
194406,0.04,-0.02
194407,0.00,-0.05
194408,0.00,-0.08
194409,0.00,-0.18
194410,0.06,-0.31
194411,2.75,1.97
194412,0.69,-0.64
194501,0.49,-1.27
194502,3.27,1.46
194503,2.37,0.79
194504,0.28,-0.48
194505,0.36,0.06
194506,0.15,0.09
194507,0.01,-0.04
194508,0.16,0.08
194509,0.19,0.01
194510,1.16,0.79
194511,0.36,-0.42
194512,2.19,0.86
194601,0.49,-1.27
194602,1.06,-0.75
194603,1.77,0.19
194604,0.17,-0.59
194605,0.36,0.06
194606,0.00,-0.06
194607,0.21,0.16
194608,0.06,-0.02
194609,0.14,-0.04
194610,0.40,0.03
194611,2.41,1.63
194612,1.94,0.61
194701,0.45,-1.31
194702,0.34,-1.47
194703,0.65,-0.93
194704,0.59,-0.17
194705,0.11,-0.19
194706,0.00,-0.06
194707,0.00,-0.05
194708,0.03,-0.05
194709,0.01,-0.17
194710,0.18,-0.19
194711,0.05,-0.73
194712,1.10,-0.23
194801,0.00,-1.76
194802,0.94,-0.87
194803,1.48,-0.10
194804,1.05,0.29
194805,0.24,-0.06
194806,0.20,0.14
194807,0.00,-0.05
194808,0.00,-0.08
194809,0.00,-0.18
194810,0.06,-0.31
194811,0.03,-0.75
194812,1.07,-0.26
194901,1.34,-0.42
194902,1.21,-0.60
194903,1.36,-0.22
194904,0.13,-0.63
194905,0.59,0.29
194906,0.00,-0.06
194907,0.00,-0.05
194908,0.03,-0.05
194909,0.00,-0.18
194910,0.03,-0.34
194911,0.48,-0.30
194912,1.30,-0.03
195001,1.59,-0.17
195002,1.12,-0.69
195003,0.72,-0.86
195004,0.42,-0.34
195005,0.11,-0.19
195006,0.00,-0.06
195007,0.05,0.00
195008,0.01,-0.07
195009,0.42,0.24
195010,0.25,-0.12
195011,0.84,0.06
195012,0.43,-0.90
195101,1.65,-0.11
195102,0.59,-1.22
195103,0.34,-1.24
195104,1.17,0.41
195105,0.23,-0.07
195106,0.00,-0.06
195107,0.03,-0.02
195108,0.00,-0.08
195109,0.00,-0.18
195110,0.34,-0.03
195111,0.43,-0.35
195112,2.87,1.54
195201,4.16,2.40
195202,0.65,-1.16
195203,3.81,2.23
195204,0.96,0.20
195205,0.01,-0.29
195206,0.00,-0.06
195207,0.08,0.03
195208,0.01,-0.07
195209,0.12,-0.06
195210,0.00,-0.37
195211,1.70,0.92
195212,2.70,1.37
195301,1.01,-0.75
195302,0.18,-1.63
195303,0.59,-0.99
195304,0.93,0.17
195305,0.45,0.15
195306,0.00,-0.06
195307,0.02,-0.03
195308,0.04,-0.04
195309,0.00,-0.18
195310,0.02,-0.35
195311,0.82,0.04
195312,0.31,-1.02
195401,2.55,0.79
195402,1.15,-0.66
195403,1.85,0.27
195404,0.17,-0.59
195405,0.04,-0.26
195406,0.02,-0.04
195407,0.04,-0.01
195408,0.00,-0.08
195409,0.01,-0.17
195410,0.00,-0.37
195411,0.92,0.14
195412,0.91,-0.42
195501,2.57,0.81
195502,0.89,-0.92
195503,0.10,-1.48
195504,0.80,0.04
