San Francisco County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
194307,0.00,-0.01
194308,0.00,-0.07
194309,0.01,-0.24
194310,0.95,-0.25
194311,0.95,-1.94
194312,2.83,-1.46
194401,4.50,-0.77
194402,6.05,1.61
194403,1.08,-2.40
194404,2.25,0.71
194405,1.08,0.40
194406,0.28,0.08
194407,0.02,0.01
194408,0.02,-0.05
194409,0.00,-0.25
194410,2.04,0.84
194411,6.27,3.38
194412,4.02,-0.27
194501,1.62,-3.65
194502,4.14,-0.30
194503,4.53,1.05
194504,0.35,-1.19
194505,1.04,0.36
194506,0.02,-0.18
194507,0.02,0.01
194508,0.00,-0.07
194509,0.02,-0.23
194510,2.30,1.10
194511,3.71,0.82
194512,10.01,5.72
194601,1.85,-3.42
194602,2.20,-2.24
194603,2.53,-0.95
194604,0.14,-1.40
194605,0.48,-0.20
194606,0.01,-0.19
194607,0.05,0.04
194608,0.00,-0.07
194609,0.06,-0.19
194610,0.19,-1.01
194611,3.00,0.11
194612,2.77,-1.52
194701,1.28,-3.99
194702,2.32,-2.12
194703,3.89,0.41
194704,0.30,-1.24
194705,0.62,-0.06
194706,0.79,0.59
194707,0.00,-0.01
194708,0.00,-0.07
194709,0.00,-0.25
194710,3.04,1.84
194711,1.25,-1.64
194712,1.77,-2.52
194801,1.10,-4.17
194802,2.17,-2.27
194803,3.36,-0.12
194804,3.47,1.93
194805,0.75,0.07
194806,0.06,-0.14
194807,0.02,0.01
194808,0.03,-0.04
194809,0.08,-0.17
194810,0.36,-0.84
194811,1.05,-1.84
194812,5.43,1.14
194901,2.16,-3.11
194902,3.29,-1.15
194903,5.99,2.51
194904,0.01,-1.53
194905,0.81,0.13
194906,0.00,-0.20
194907,0.07,0.06
194908,0.14,0.07
194909,0.01,-0.24
194910,0.17,-1.03
194911,1.70,-1.19
194912,2.90,-1.39
195001,8.37,3.10
195002,2.82,-1.62
195003,2.30,-1.18
195004,1.20,-0.34
195005,0.47,-0.21
195006,0.07,-0.13
195007,0.00,-0.01
195008,0.00,-0.07
195009,0.02,-0.23
195010,3.09,1.89
195011,6.08,3.19
195012,7.01,2.72
195101,4.65,-0.62
195102,3.21,-1.23
195103,1.72,-1.76
195104,0.92,-0.62
195105,0.83,0.15
195106,0.03,-0.17
195107,0.01,0.00
195108,0.40,0.33
195109,0.06,-0.19
195110,1.09,-0.11
195111,4.08,1.19
195112,8.72,4.43
195201,10.34,5.07
195202,2.42,-2.02
195203,5.11,1.63
195204,1.05,-0.49
195205,0.29,-0.39
