Sutter County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
193412,2.64,-0.55
193501,5.26,1.33
193502,1.88,-1.61
193503,3.12,0.45
193504,3.83,2.56
193505,0.07,-0.58
193506,0.00,-0.21
193507,0.00,0.00
193508,0.00,-0.03
193509,0.04,-0.23
193510,0.95,-0.07
193511,1.06,-1.18
193512,2.24,-0.95
193601,3.70,-0.23
193602,8.38,4.89
193603,1.18,-1.49
193604,1.32,0.05
193605,0.90,0.25
193606,0.61,0.40
193607,0.00,0.00
193608,0.00,-0.03
193609,0.05,-0.22
193610,0.32,-0.70
193611,0.02,-2.22
193612,2.82,-0.37
193701,3.25,-0.68
193702,6.51,3.02
193703,6.27,3.60
193704,0.81,-0.46
193705,0.01,-0.64
193706,0.45,0.24
193707,0.00,0.00
193708,0.00,-0.03
193709,0.00,-0.27
193710,0.82,-0.20
193711,3.91,1.67
193712,3.78,0.59
193801,3.61,-0.32
193802,7.48,3.99
193803,4.10,1.43
193804,1.59,0.32
193805,0.39,-0.26
193806,0.00,-0.21
193807,0.00,0.00
193808,0.00,-0.03
193809,0.40,0.13
193810,1.11,0.09
193811,0.76,-1.48
193812,1.11,-2.08
193901,1.81,-2.12
193902,0.65,-2.84
193903,2.04,-0.63
193904,0.19,-1.08
193905,0.94,0.29
193906,0.05,-0.16
193907,0.00,0.00
193908,0.00,-0.03
193909,0.59,0.32
193910,0.92,-0.10
193911,0.06,-2.18
193912,1.45,-1.74
194001,7.48,3.55
194002,7.27,3.78
194003,4.75,2.08
194004,0.70,-0.57
194005,1.04,0.39
194006,0.01,-0.20
194007,0.00,0.00
194008,0.00,-0.03
194009,0.07,-0.20
194010,1.09,0.07
194011,1.70,-0.54
194012,8.70,5.51
194101,6.34,2.41
194102,5.82,2.33
194103,3.01,0.34
194104,3.86,2.59
194105,1.48,0.83
194106,0.05,-0.16
194107,0.00,0.00
194108,0.00,-0.03
194109,0.08,-0.19
194110,1.52,0.50
194111,1.89,-0.35
194112,6.58,3.39
194201,3.70,-0.23
194202,4.37,0.88
194203,2.36,-0.31
194204,4.10,2.83
194205,1.38,0.73
194206,0.00,-0.21
194207,0.00,0.00
194208,0.00,-0.03
194209,0.02,-0.25
194210,0.44,-0.58
194211,2.64,0.40
194212,3.41,0.22
