Sierra County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
192501,3.29,-5.28
192502,12.96,5.19
192503,3.54,-2.93
192504,3.68,0.36
192505,2.22,0.05
192506,1.79,0.90
192507,0.29,0.06
192508,1.29,1.01
192509,1.48,0.61
192510,2.28,-0.32
192511,3.32,-2.04
192512,2.39,-4.82
192601,6.31,-2.26
192602,10.25,2.48
192603,0.49,-5.98
192604,7.07,3.75
192605,1.47,-0.70
192606,0.03,-0.86
192607,0.12,-0.11
192608,0.11,-0.17
192609,0.13,-0.74
192610,2.71,0.11
192611,14.89,9.53
192612,1.68,-5.53
192701,7.25,-1.32
192702,15.82,8.05
192703,4.79,-1.68
192704,5.94,2.62
192705,1.54,-0.63
192706,0.92,0.03
192707,0.01,-0.22
192708,0.01,-0.27
192709,0.55,-0.32
192710,2.91,0.31
192711,8.57,3.21
192712,3.59,-3.62
192801,3.46,-5.11
192802,2.56,-5.21
192803,14.46,7.99
192804,4.16,0.84
192805,0.58,-1.59
192806,0.23,-0.66
192807,0.06,-0.17
192808,0.00,-0.28
192809,0.22,-0.65
192810,0.47,-2.13
192811,4.04,-1.32
192812,4.96,-2.25
192901,2.68,-5.89
192902,4.23,-3.54
192903,4.08,-2.39
192904,3.72,0.40
192905,0.20,-1.97
192906,3.63,2.74
192907,0.01,-0.22
192908,0.07,-0.21
192909,0.01,-0.86
192910,0.21,-2.39
192911,0.00,-5.36
192912,15.71,8.50
193001,7.52,-1.05
193002,5.62,-2.15
193003,4.82,-1.65
193004,4.30,0.98
193005,2.34,0.17
193006,0.00,-0.89
193007,0.07,-0.16
193008,0.12,-0.16
193009,1.53,0.66
193010,0.47,-2.13
193011,5.95,0.59
193012,0.62,-6.59
193101,5.19,-3.38
193102,3.39,-4.38
193103,4.25,-2.22
193104,2.64,-0.68
193105,2.67,0.50
193106,1.71,0.82
193107,0.07,-0.16
193108,0.01,-0.27
193109,0.70,-0.17
193110,4.30,1.70
193111,4.97,-0.39
193112,12.68,5.47
193201,7.28,-1.29
193202,4.28,-3.49
193203,2.20,-4.27
193204,4.05,0.73
193205,3.41,1.24
193206,0.86,-0.03
193207,0.15,-0.08
193208,0.09,-0.19
193209,0.11,-0.76
193210,0.28,-2.32
193211,1.26,-4.10
193212,3.50,-3.71
193301,8.98,0.41
193302,1.91,-5.86
193303,5.35,-1.12
193304,1.30,-2.02
193305,3.54,1.37
193306,0.08,-0.81
193307,0.30,0.07
193308,0.00,-0.28
193309,0.29,-0.58
193310,6.40,3.80
193311,0.01,-5.35
193312,9.14,1.93
193401,3.47,-5.10
193402,5.99,-1.78
193403,2.24,-4.23
193404,1.68,-1.64
193405,1.57,-0.60
193406,2.19,1.30
193407,0.00,-0.23
193408,0.23,-0.05
193409,1.81,0.94
193410,3.31,0.71
193411,7.37,2.01
193412,4.36,-2.85
193501,9.79,1.22
193502,4.12,-3.65
193503,6.82,0.35
193504,11.05,7.73
193505,0.83,-1.34
193506,0.00,-0.89
193507,0.08,-0.15
193508,0.13,-0.15
193509,0.06,-0.81
193510,2.71,0.11
193511,2.41,-2.95
193512,3.53,-3.68
193601,13.10,4.53
193602,17.95,10.18
193603,3.80,-2.67
193604,2.51,-0.81
193605,0.87,-1.30
193606,2.41,1.52
193607,0.10,-0.13
193608,0.24,-0.04
193609,0.42,-0.45
193610,0.37,-2.23
193611,0.17,-5.19
193612,6.01,-1.20
193701,8.54,-0.03
193702,12.51,4.74
193703,5.98,-0.49
193704,3.25,-0.07
193705,0.41,-1.76
193706,1.36,0.47
193707,0.22,-0.01
193708,0.00,-0.28
193709,0.04,-0.83
193710,2.40,-0.20
193711,9.29,3.93
193712,12.40,5.19
193801,6.03,-2.54
193802,19.83,12.06
193803,14.22,7.75
193804,3.26,-0.06
193805,0.98,-1.19
193806,0.79,-0.10
193807,0.63,0.40
193808,0.02,-0.26
193809,0.43,-0.44
193810,3.22,0.62
193811,2.32,-3.04
