Merced County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
193310,0.31,-0.21
193311,0.00,-1.18
193312,2.92,1.14
193401,0.96,-1.30
193402,2.30,0.20
193403,0.01,-1.88
193404,0.02,-0.90
193405,0.35,-0.04
193406,0.30,0.23
193407,0.00,0.00
193408,0.01,0.00
193409,0.09,-0.07
193410,0.65,0.13
193411,2.22,1.04
193412,2.09,0.31
193501,3.04,0.78
193502,0.85,-1.25
193503,2.61,0.72
193504,3.28,2.36
193505,0.01,-0.38
193506,0.00,-0.07
193507,0.00,0.00
193508,0.06,0.05
193509,0.02,-0.14
193510,0.62,0.10
193511,0.95,-0.23
193512,1.13,-0.65
193601,1.55,-0.71
193602,5.99,3.89
193603,1.36,-0.53
193604,0.87,-0.05
193605,0.30,-0.09
193606,0.16,0.09
193607,0.02,0.02
193608,0.01,0.00
193609,0.04,-0.12
193610,1.06,0.54
193611,0.00,-1.18
193612,2.73,0.95
193701,2.15,-0.11
193702,3.23,1.13
193703,3.49,1.60
193704,0.72,-0.20
193705,0.00,-0.39
193706,0.01,-0.06
193707,0.00,0.00
193708,0.00,-0.01
193709,0.00,-0.16
193710,0.17,-0.35
193711,0.61,-0.57
193712,2.81,1.03
193801,2.74,0.48
193802,5.20,3.10
193803,4.56,2.67
193804,1.24,0.32
193805,0.09,-0.30
193806,0.00,-0.07
193807,0.01,0.01
193808,0.00,-0.01
193809,0.22,0.06
193810,1.04,0.52
193811,0.30,-0.88
193812,1.06,-0.72
193901,1.43,-0.83
193902,1.37,-0.73
193903,1.70,-0.19
193904,0.39,-0.53
193905,0.26,-0.13
193906,0.00,-0.07
193907,0.00,0.00
193908,0.01,0.00
193909,0.86,0.70
193910,0.25,-0.27
193911,0.15,-1.03
193912,0.47,-1.31
194001,5.08,2.82
194002,3.88,1.78
194003,1.81,-0.08
194004,0.64,-0.28
194005,0.01,-0.38
194006,0.00,-0.07
194007,0.00,0.00
194008,0.00,-0.01
194009,0.04,-0.12
194010,0.48,-0.04
194011,0.07,-1.11
194012,5.09,3.31
194101,2.52,0.26
194102,4.41,2.31
194103,3.01,1.12
194104,2.46,1.54
194105,0.03,-0.36
194106,0.04,-0.03
194107,0.00,0.00
194108,0.03,0.02
194109,0.00,-0.16
194110,1.13,0.61
194111,0.74,-0.44
194112,3.18,1.40
194201,1.92,-0.34
194202,1.59,-0.51
194203,1.15,-0.74
194204,2.44,1.52
194205,0.83,0.44
194206,0.00,-0.07
194207,0.00,0.00
194208,0.00,-0.01
194209,0.00,-0.16
194210,0.24,-0.28
