Inyo County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
193605,0.01,-0.27
193606,0.15,0.04
193607,0.83,0.54
193608,1.08,0.75
193609,0.01,-0.27
193610,1.54,1.22
193611,0.00,-0.48
193612,2.09,1.31
193701,0.77,-0.26
193702,1.75,0.68
193703,1.28,0.44
193704,0.21,-0.23
193705,0.16,-0.12
193706,0.00,-0.11
193707,0.09,-0.20
193708,0.01,-0.32
193709,0.03,-0.25
193710,0.02,-0.30
193711,0.03,-0.45
193712,1.26,0.48
193801,0.47,-0.56
193802,2.31,1.24
193803,2.82,1.98
193804,0.26,-0.18
193805,0.61,0.33
193806,0.25,0.14
193807,0.24,-0.05
193808,0.56,0.23
193809,0.36,0.08
193810,0.23,-0.09
193811,0.03,-0.45
193812,1.85,1.07
193901,1.05,0.02
193902,0.62,-0.45
193903,1.09,0.25
193904,0.96,0.52
193905,0.17,-0.11
193906,0.01,-0.10
193907,0.37,0.08
193908,0.67,0.34
193909,1.16,0.88
193910,0.23,-0.09
193911,0.05,-0.43
193912,0.11,-0.67
194001,0.91,-0.12
194002,2.13,1.06
194003,0.58,-0.26
194004,0.65,0.21
194005,0.16,-0.12
194006,0.01,-0.10
194007,0.00,-0.29
194008,0.01,-0.32
194009,0.24,-0.04
194010,0.33,0.01
194011,0.06,-0.42
194012,1.85,1.07
194101,1.80,0.77
194102,3.08,2.01
194103,1.41,0.57
194104,1.66,1.22
194105,0.17,-0.11
194106,0.05,-0.06
194107,0.17,-0.12
194108,1.11,0.78
194109,0.01,-0.27
194110,0.93,0.61
194111,0.15,-0.33
194112,1.91,1.13
194201,0.36,-0.67
194202,0.36,-0.71
194203,0.61,-0.23
194204,0.78,0.34
194205,0.04,-0.24
194206,0.00,-0.11
194207,0.01,-0.28
194208,0.60,0.27
194209,0.07,-0.21
194210,0.08,-0.24
194211,0.07,-0.41
194212,0.32,-0.46
194301,3.71,2.68
194302,0.88,-0.19
194303,1.32,0.48
194304,1.01,0.57
194305,0.03,-0.25
194306,0.07,-0.04
194307,0.15,-0.14
194308,0.06,-0.27
194309,0.39,0.11
194310,0.43,0.11
194311,0.11,-0.37
194312,2.40,1.62
194401,0.47,-0.56
194402,2.12,1.05
194403,0.58,-0.26
194404,0.39,-0.05
194405,0.14,-0.14
194406,0.01,-0.10
194407,0.00,-0.29
194408,0.00,-0.33
194409,0.00,-0.28
194410,0.07,-0.25
194411,1.19,0.71
194412,0.22,-0.56
194501,0.12,-0.91
194502,2.15,1.08
194503,1.18,0.34
194504,0.08,-0.36
194505,0.21,-0.07
194506,0.10,-0.01
194507,0.11,-0.18
194508,1.01,0.68
194509,0.12,-0.16
194510,1.50,1.18
194511,0.16,-0.32
194512,1.69,0.91
194601,0.14,-0.89
194602,0.39,-0.68
194603,0.66,-0.18
194604,0.09,-0.35
194605,0.14,-0.14
194606,0.00,-0.11
194607,0.45,0.16
194608,0.53,0.20
194609,0.18,-0.10
194610,0.42,0.10
194611,2.31,1.83
194612,1.68,0.90
194701,0.07,-0.96
194702,0.17,-0.90
194703,0.29,-0.55
194704,0.43,-0.01
194705,0.22,-0.06
194706,0.02,-0.09
194707,0.00,-0.29
194708,0.17,-0.16
194709,0.06,-0.22
194710,0.36,0.04
194711,0.07,-0.41
194712,0.87,0.09
