Solano County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
194310,0.34,-0.59
194311,0.82,-1.40
194312,1.97,-1.53
194401,3.32,-1.05
194402,5.83,2.07
194403,1.11,-1.73
194404,1.48,0.24
194405,0.84,0.29
194406,0.24,0.10
194407,0.00,0.00
194408,0.00,-0.03
194409,0.00,-0.20
194410,1.31,0.38
194411,4.11,1.89
194412,2.77,-0.73
194501,1.32,-3.05
194502,4.13,0.37
194503,3.52,0.68
194504,0.19,-1.05
194505,0.63,0.08
194506,0.02,-0.12
194507,0.00,0.00
194508,0.00,-0.03
194509,0.00,-0.20
194510,2.58,1.65
194511,2.08,-0.14
194512,7.22,3.72
194601,0.97,-3.40
194602,1.32,-2.44
194603,1.55,-1.29
194604,0.15,-1.09
194605,0.51,-0.04
194606,0.00,-0.14
194607,0.02,0.02
194608,0.00,-0.03
194609,0.03,-0.17
194610,0.27,-0.66
194611,2.88,0.66
194612,2.28,-1.22
194701,0.60,-3.77
194702,2.31,-1.45
194703,3.30,0.46
194704,0.34,-0.90
194705,0.26,-0.29
194706,0.53,0.39
194707,0.00,0.00
194708,0.00,-0.03
194709,0.00,-0.20
194710,2.92,1.99
194711,0.85,-1.37
194712,0.77,-2.73
194801,0.89,-3.48
194802,1.15,-2.61
194803,3.26,0.42
194804,3.32,2.08
194805,1.59,1.04
194806,0.28,0.14
194807,0.00,0.00
194808,0.00,-0.03
194809,0.12,-0.08
194810,0.68,-0.25
194811,0.57,-1.65
194812,4.31,0.81
194901,1.66,-2.71
194902,2.25,-1.51
194903,4.60,1.76
194904,0.00,-1.24
194905,0.21,-0.34
194906,0.00,-0.14
194907,0.03,0.03
194908,0.07,0.04
194909,0.02,-0.18
194910,0.05,-0.88
194911,1.28,-0.94
194912,1.97,-1.53
195001,5.60,1.23
195002,2.90,-0.86
195003,1.68,-1.16
195004,0.93,-0.31
195005,0.24,-0.31
195006,0.01,-0.13
195007,0.00,0.00
195008,0.00,-0.03
195009,0.13,-0.07
195010,2.36,1.43
195011,5.14,2.92
195012,5.74,2.24
195101,2.92,-1.45
195102,1.90,-1.86
195103,1.58,-1.26
195104,0.80,-0.44
195105,0.77,0.22
195106,0.00,-0.14
195107,0.00,0.00
195108,0.05,0.02
195109,0.04,-0.16
195110,1.22,0.29
195111,3.37,1.15
195112,6.28,2.78
195201,8.43,4.06
195202,1.70,-2.06
195203,3.66,0.82
195204,1.06,-0.18
195205,0.14,-0.41
195206,0.33,0.19
195207,0.00,0.00
195208,0.00,-0.03
195209,0.03,-0.17
195210,0.01,-0.92
195211,2.07,-0.15
195212,8.66,5.16
195301,3.42,-0.95
195302,0.03,-3.73
195303,2.05,-0.79
195304,2.33,1.09
195305,0.56,0.01
195306,0.43,0.29
195307,0.00,0.00
195308,0.10,0.07
195309,0.00,-0.20
195310,0.30,-0.63
195311,2.15,-0.07
195312,0.58,-2.92
195401,3.56,-0.81
195402,3.08,-0.68
195403,3.42,0.58
195404,1.70,0.46
195405,0.21,-0.34
195406,0.12,-0.02
195407,0.01,0.01
195408,0.17,0.14
195409,0.00,-0.20
195410,0.06,-0.87
195411,2.82,0.60
195412,4.30,0.80
195501,3.03,-1.34
195502,1.50,-2.26
195503,0.52,-2.32
195504,2.06,0.82
195505,0.36,-0.19
195506,0.00,-0.14
195507,0.00,0.00
195508,0.00,-0.03
195509,0.45,0.25
195510,0.17,-0.76
195511,1.69,-0.53
195512,12.89,9.39
195601,6.88,2.51
195602,2.82,-0.94
195603,0.14,-2.70
195604,1.51,0.27
195605,0.59,0.04
195606,0.02,-0.12
195607,0.00,0.00
195608,0.00,-0.03
195609,0.43,0.23
195610,1.44,0.51
195611,0.07,-2.15
195612,0.29,-3.21
195701,2.69,-1.68
195702,4.11,0.35
195703,1.81,-1.03
195704,1.43,0.19
195705,2.21,1.66
195706,0.05,-0.09
195707,0.00,0.00
195708,0.00,-0.03
195709,0.68,0.48
195710,2.68,1.75
195711,0.49,-1.73
195712,3.32,-0.18
195801,5.07,0.70
195802,8.75,4.99
195803,5.50,2.66
195804,4.75,3.51
195805,0.66,0.11
195806,0.31,0.17
195807,0.02,0.02
195808,0.03,0.00
195809,0.06,-0.14
195810,0.13,-0.80
195811,0.10,-2.12
195812,1.03,-2.47
195901,4.82,0.45
195902,5.04,1.28
195903,0.51,-2.33
195904,0.31,-0.93
195905,0.06,-0.49
195906,0.00,-0.14
195907,0.00,0.00
195908,0.01,-0.02
195909,1.21,1.01
195910,0.00,-0.93
195911,0.00,-2.22
195912,1.59,-1.91
196001,3.85,-0.52
196002,4.26,0.50
196003,1.96,-0.88
196004,1.05,-0.19
196005,0.87,0.32
196006,0.00,-0.14
196007,0.01,0.01
196008,0.00,-0.03
196009,0.00,-0.20
196010,0.19,-0.74
196011,3.85,1.63
196012,1.42,-2.08
196101,3.34,-1.03
196102,1.16,-2.60
196103,2.40,-0.44
196104,0.93,-0.31
196105,0.32,-0.23
196106,0.04,-0.10
196107,0.00,0.00
196108,0.08,0.05
196109,0.24,0.04
196110,0.14,-0.79
196111,3.09,0.87
196112,2.27,-1.23
196201,1.16,-3.21
196202,8.01,4.25
196203,2.52,-0.32
196204,0.21,-1.03
196205,0.04,-0.51
196206,0.00,-0.14
196207,0.00,0.00
196208,0.06,0.03
196209,0.06,-0.14
196210,5.30,4.37
196211,0.53,-1.69
196212,2.44,-1.06
196301,4.38,0.01
196302,3.49,-0.27
196303,3.85,1.01
196304,4.13,2.89
196305,0.59,0.04
196306,0.04,-0.10
196307,0.00,0.00
196308,0.01,-0.02
196309,0.26,0.06
196310,1.48,0.55
196311,4.15,1.93
196312,0.48,-3.02
196401,3.79,-0.58
196402,0.11,-3.65
196403,1.52,-1.32
196404,0.24,-1.00
196405,0.31,-0.24
196406,0.61,0.47
196407,0.02,0.02
196408,0.07,0.04
196409,0.00,-0.20
196410,1.58,0.65
196411,3.16,0.94
196412,6.67,3.17
196501,4.27,-0.10
196502,0.72,-3.04
196503,1.25,-1.59
196504,2.90,1.66
196505,0.03,-0.52
196506,0.00,-0.14
196507,0.01,0.01
196508,0.27,0.24
196509,0.00,-0.20
196510,0.04,-0.89
196511,4.54,2.32
196512,3.39,-0.11
196601,3.09,-1.28
196602,2.26,-1.50
196603,0.26,-2.58
196604,0.45,-0.79
196605,0.22,-0.33
196606,0.08,-0.06
196607,0.04,0.04
196608,0.14,0.11
196609,0.15,-0.05
196610,0.00,-0.93
196611,5.48,3.26
196612,4.00,0.50
196701,9.33,4.96
196702,0.43,-3.33
196703,4.67,1.83
196704,4.40,3.16
196705,0.11,-0.44
196706,0.73,0.59
196707,0.00,0.00
196708,0.00,-0.03
196709,0.05,-0.15
196710,0.42,-0.51
196711,1.16,-1.06
196712,1.81,-1.69
196801,5.21,0.84
196802,2.42,-1.34
196803,2.47,-0.37
196804,0.33,-0.91
196805,0.24,-0.31
196806,0.01,-0.13
196807,0.00,0.00
196808,0.19,0.16
196809,0.00,-0.20
196810,0.62,-0.31
196811,2.78,0.56
196812,4.24,0.74
196901,8.81,4.44
196902,6.90,3.14
196903,1.25,-1.59
196904,1.45,0.21
196905,0.01,-0.54
196906,0.05,-0.09
196907,0.00,0.00
196908,0.00,-0.03
196909,0.01,-0.19
196910,1.52,0.59
196911,0.73,-1.49
196912,6.16,2.66
197001,9.35,4.98
197002,1.66,-2.10
197003,1.56,-1.28
197004,0.17,-1.07
197005,0.01,-0.54
197006,0.37,0.23
197007,0.00,0.00
197008,0.00,-0.03
197009,0.04,-0.16
197010,0.71,-0.22
197011,6.83,4.61
197012,6.06,2.56
197101,1.48,-2.89
197102,0.30,-3.46
197103,2.50,-0.34
197104,0.65,-0.59
197105,0.64,0.09
197106,0.00,-0.14
197107,0.00,0.00
197108,0.00,-0.03
197109,0.14,-0.06
197110,0.09,-0.84
197111,1.27,-0.95
197112,4.35,0.85
197201,1.17,-3.20
197202,1.59,-2.17
197203,0.17,-2.67
197204,1.10,-0.14
197205,0.09,-0.46
197206,0.19,0.05
197207,0.00,0.00
197208,0.00,-0.03
197209,0.70,0.50
197210,2.90,1.97
197211,5.52,3.30
197212,2.42,-1.08
197301,9.44,5.07
197302,5.88,2.12
197303,2.54,-0.30
197304,0.14,-1.10
197305,0.06,-0.49
197306,0.00,-0.14
197307,0.00,0.00
197308,0.00,-0.03
197309,0.27,0.07
197310,1.53,0.60
197311,6.79,4.57
197312,4.28,0.78
197401,3.34,-1.03
197402,1.09,-2.67
197403,4.78,1.94
197404,1.80,0.56
197405,0.01,-0.54
197406,0.11,-0.03
197407,0.05,0.05
197408,0.01,-0.02
197409,0.00,-0.20
197410,0.97,0.04
197411,0.76,-1.46
197412,2.81,-0.69
197501,1.18,-3.19
197502,6.16,2.40
197503,5.38,2.54
197504,1.22,-0.02
197505,0.01,-0.54
197506,0.03,-0.11
197507,0.04,0.04
197508,0.14,0.11
197509,0.00,-0.20
197510,2.71,1.78
197511,0.35,-1.87
197512,0.38,-3.12
197601,0.35,-4.02
197602,1.43,-2.33
197603,1.18,-1.66
197604,0.91,-0.33
197605,0.00,-0.55
197606,0.06,-0.08
197607,0.00,0.00
197608,0.32,0.29
197609,0.49,0.29
197610,0.28,-0.65
197611,0.77,-1.45
197612,1.24,-2.26
197701,1.56,-2.81
197702,1.04,-2.72
197703,1.81,-1.03
197704,0.15,-1.09
197705,1.05,0.50
197706,0.00,-0.14
197707,0.00,0.00
197708,0.00,-0.03
197709,0.75,0.55
197710,0.27,-0.66
197711,3.57,1.35
197712,4.53,1.03
197801,9.17,4.80
197802,4.34,0.58
197803,4.89,2.05
197804,2.36,1.12
197805,0.04,-0.51
197806,0.01,-0.13
197807,0.00,0.00
197808,0.00,-0.03
197809,0.40,0.20
197810,0.00,-0.93
197811,2.03,-0.19
197812,0.67,-2.83
197901,6.91,2.54
197902,4.40,0.64
197903,2.27,-0.57
197904,1.13,-0.11
197905,0.32,-0.23
197906,0.01,-0.13
197907,0.01,0.01
197908,0.00,-0.03
197909,0.01,-0.19
197910,2.13,1.20
197911,2.19,-0.03
197912,5.13,1.63
198001,5.64,1.27
198002,8.01,4.25
198003,2.29,-0.55
198004,1.24,0.00
198005,0.30,-0.25
198006,0.04,-0.10
198007,0.04,0.04
198008,0.00,-0.03
198009,0.00,-0.20
198010,0.13,-0.80
198011,0.14,-2.08
198012,2.57,-0.93
198101,4.98,0.61
198102,1.06,-2.70
198103,3.50,0.66
198104,0.46,-0.78
198105,0.17,-0.38
198106,0.00,-0.14
198107,0.00,0.00
198108,0.00,-0.03
198109,0.22,0.02
198110,1.90,0.97
198111,5.92,3.70
198112,4.62,1.12
198201,7.36,2.99
198202,3.00,-0.76
198203,6.48,3.64
198204,4.27,3.03
198205,0.00,-0.55
198206,0.08,-0.06
198207,0.00,0.00
198208,0.00,-0.03
198209,1.10,0.90
198210,2.69,1.76
198211,5.77,3.55
198212,2.81,-0.69
198301,6.55,2.18
198302,7.11,3.35
198303,9.41,6.57
198304,3.22,1.98
198305,0.43,-0.12
198306,0.02,-0.12
198307,0.00,0.00
198308,0.14,0.11
198309,0.67,0.47
198310,0.51,-0.42
198311,6.53,4.31
198312,6.65,3.15
198401,0.36,-4.01
198402,1.58,-2.18
198403,1.30,-1.54
198404,0.65,-0.59
198405,0.03,-0.52
198406,0.11,-0.03
198407,0.00,0.00
198408,0.21,0.18
198409,0.11,-0.09
198410,1.64,0.71
198411,6.26,4.04
198412,1.39,-2.11
198501,0.90,-3.47
198502,1.95,-1.81
198503,3.44,0.60
198504,0.13,-1.11
198505,0.03,-0.52
198506,0.09,-0.05
198507,0.01,0.01
198508,0.02,-0.01
198509,0.40,0.20
198510,0.72,-0.21
198511,3.81,1.59
198512,2.75,-0.75
198601,4.08,-0.29
198602,10.76,7.00
198603,5.29,2.45
198604,0.80,-0.44
198605,0.18,-0.37
198606,0.00,-0.14
198607,0.01,0.01
198608,0.00,-0.03
198609,0.89,0.69
198610,0.13,-0.80
198611,0.09,-2.13
198612,1.20,-2.30
198701,2.65,-1.72
198702,3.79,0.03
198703,3.07,0.23
198704,0.16,-1.08
198705,0.08,-0.47
198706,0.00,-0.14
198707,0.00,0.00
198708,0.00,-0.03
198709,0.00,-0.20
198710,0.99,0.06
198711,2.21,-0.01
198712,4.84,1.34
198801,4.63,0.26
198802,0.48,-3.28
198803,0.22,-2.62
198804,1.61,0.37
198805,0.69,0.14
198806,0.40,0.26
198807,0.00,0.00
198808,0.00,-0.03
198809,0.00,-0.20
198810,0.15,-0.78
198811,2.71,0.49
198812,3.07,-0.43
198901,0.94,-3.43
198902,1.16,-2.60
198903,4.94,2.10
198904,0.41,-0.83
198905,0.05,-0.50
198906,0.19,0.05
198907,0.00,0.00
198908,0.05,0.02
198909,1.20,1.00
198910,1.72,0.79
198911,1.36,-0.86
198912,0.01,-3.49
199001,3.45,-0.92
199002,2.71,-1.05
199003,0.89,-1.95
199004,0.28,-0.96
199005,2.31,1.76
199006,0.00,-0.14
199007,0.00,0.00
199008,0.00,-0.03
199009,0.13,-0.07
199010,0.19,-0.74
199011,0.34,-1.88
199012,1.16,-2.34
199101,0.35,-4.02
199102,2.91,-0.85
199103,8.54,5.70
199104,0.36,-0.88
199105,0.19,-0.36
199106,0.22,0.08
199107,0.00,0.00
199108,0.09,0.06
199109,0.01,-0.19
