Lassen County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
193902,1.14,-1.66
193903,2.34,-0.10
193904,0.30,-1.21
193905,1.74,0.25
193906,0.29,-0.75
193907,0.47,0.16
193908,0.16,-0.14
193909,0.54,-0.09
193910,1.53,0.24
193911,0.16,-2.09
193912,2.91,-0.09
194001,6.56,3.23
194002,7.34,4.54
194003,3.14,0.70
194004,1.53,0.02
194005,1.11,-0.38
194006,0.29,-0.75
194007,0.08,-0.23
194008,0.01,-0.29
194009,1.28,0.65
194010,2.20,0.91
194011,2.44,0.19
194012,5.99,2.99
194101,3.54,0.21
194102,4.77,1.97
194103,1.14,-1.30
194104,2.14,0.63
194105,2.49,1.00
194106,1.55,0.51
194107,0.49,0.18
194108,0.73,0.43
194109,0.27,-0.36
194110,1.01,-0.28
194111,2.08,-0.17
194112,6.37,3.37
194201,3.87,0.54
194202,3.81,1.01
194203,1.17,-1.27
194204,3.53,2.02
194205,3.03,1.54
194206,0.45,-0.59
194207,0.00,-0.31
194208,0.16,-0.14
194209,0.09,-0.54
194210,0.19,-1.10
194211,3.58,1.33
194212,3.31,0.31
194301,7.61,4.28
194302,2.15,-0.65
194303,2.96,0.52
194304,1.79,0.28
194305,0.73,-0.76
194306,2.79,1.75
194307,0.30,-0.01
194308,0.00,-0.30
194309,0.02,-0.61
194310,1.27,-0.02
194311,0.98,-1.27
194312,1.11,-1.89
194401,2.26,-1.07
194402,3.20,0.40
194403,1.96,-0.48
194404,2.26,0.75
194405,0.44,-1.05
194406,2.27,1.23
194407,0.44,0.13
194408,0.06,-0.24
194409,0.33,-0.30
194410,0.86,-0.43
194411,4.16,1.91
194412,1.82,-1.18
194501,0.73,-2.60
194502,3.85,1.05
194503,1.74,-0.70
194504,0.68,-0.83
194505,2.56,1.07
194506,1.46,0.42
194507,0.20,-0.11
194508,0.11,-0.19
194509,0.22,-0.41
194510,3.30,2.01
194511,2.71,0.46
194512,4.59,1.59
194601,1.29,-2.04
194602,1.43,-1.37
194603,2.04,-0.40
194604,0.52,-0.99
194605,0.59,-0.90
194606,0.14,-0.90
194607,1.06,0.75
194608,0.00,-0.30
194609,0.22,-0.41
194610,0.72,-0.57
194611,3.48,1.23
194612,2.17,-0.83
194701,0.54,-2.79
194702,1.88,-0.92
194703,1.98,-0.46
194704,1.07,-0.44
194705,1.38,-0.11
194706,1.30,0.26
194707,0.05,-0.26
194708,0.39,0.09
194709,0.16,-0.47
194710,2.81,1.52
194711,1.07,-1.18
194712,0.73,-2.27
194801,1.97,-1.36
194802,0.98,-1.82
194803,2.60,0.16
194804,4.38,2.87
194805,2.60,1.11
194806,2.62,1.58
194807,0.14,-0.17
194808,0.21,-0.09
194809,0.43,-0.20
194810,1.00,-0.29
194811,1.25,-1.00
194812,3.18,0.18
194901,0.82,-2.51
194902,1.61,-1.19
194903,2.23,-0.21
194904,0.50,-1.01
194905,2.99,1.50
194906,0.16,-0.88
194907,0.01,-0.30
194908,0.32,0.02
194909,0.20,-0.43
194910,0.27,-1.02
194911,1.67,-0.58
194912,0.90,-2.10
195001,3.26,-0.07
195002,2.16,-0.64
195003,2.60,0.16
195004,1.27,-0.24
195005,1.00,-0.49
195006,1.30,0.26
195007,0.01,-0.30
195008,0.31,0.01
195009,1.23,0.60
195010,3.14,1.85
195011,4.01,1.76
195012,3.02,0.02
195101,3.21,-0.12
195102,2.19,-0.61
195103,0.56,-1.88
195104,1.93,0.42
195105,1.51,0.02
195106,0.25,-0.79
195107,0.00,-0.31
195108,0.29,-0.01
195109,0.05,-0.58
195110,2.35,1.06
195111,2.07,-0.18
195112,5.60,2.60
195201,5.61,2.28
195202,3.99,1.19
195203,3.14,0.70
195204,0.83,-0.68
195205,1.01,-0.48
195206,1.42,0.38
195207,0.95,0.64
195208,0.05,-0.25
195209,1.07,0.44
195210,0.19,-1.10
195211,1.46,-0.79
195212,4.81,1.81
195301,3.92,0.59
195302,0.54,-2.26
195303,1.72,-0.72
195304,1.74,0.23
195305,3.06,1.57
195306,1.34,0.30
195307,0.17,-0.14
195308,0.34,0.04
195309,0.08,-0.55
195310,0.83,-0.46
195311,2.33,0.08
195312,0.85,-2.15
195401,3.32,-0.01
195402,2.50,-0.30
195403,2.60,0.16
195404,1.30,-0.21
195405,0.15,-1.34
