Napa County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
194307,0.00,-0.01
194308,0.00,-0.07
194309,0.00,-0.29
194310,0.69,-0.81
194311,1.34,-2.20
194312,2.93,-2.71
194401,5.54,-1.33
194402,7.71,1.83
194403,2.69,-1.63
194404,2.48,0.57
194405,1.31,0.46
194406,0.51,0.28
194407,0.00,-0.01
194408,0.00,-0.07
194409,0.00,-0.29
194410,1.94,0.44
194411,5.79,2.25
194412,3.60,-2.04
194501,2.28,-4.59
194502,5.86,-0.02
194503,4.67,0.35
194504,0.41,-1.50
194505,1.33,0.48
194506,0.01,-0.22
194507,0.00,-0.01
194508,0.00,-0.07
194509,0.01,-0.28
194510,4.14,2.64
194511,4.67,1.13
194512,11.01,5.37
194601,1.52,-5.35
194602,2.42,-3.46
194603,2.10,-2.22
194604,0.36,-1.55
194605,0.55,-0.30
194606,0.00,-0.23
194607,0.05,0.04
194608,0.00,-0.07
194609,0.07,-0.22
194610,0.29,-1.21
194611,4.33,0.79
194612,3.80,-1.84
194701,0.99,-5.88
194702,3.81,-2.07
194703,5.32,1.00
194704,0.64,-1.27
194705,0.36,-0.49
194706,1.00,0.77
194707,0.00,-0.01
194708,0.00,-0.07
194709,0.00,-0.29
194710,4.79,3.29
194711,1.02,-2.52
194712,1.17,-4.47
194801,2.38,-4.49
194802,1.72,-4.16
194803,4.62,0.30
194804,6.27,4.36
194805,1.33,0.48
194806,0.39,0.16
194807,0.00,-0.01
194808,0.01,-0.06
194809,0.20,-0.09
194810,0.86,-0.64
194811,1.39,-2.15
194812,6.06,0.42
194901,2.23,-4.64
194902,3.74,-2.14
194903,7.68,3.36
194904,0.02,-1.89
194905,0.54,-0.31
194906,0.00,-0.23
194907,0.03,0.02
194908,0.13,0.06
194909,0.01,-0.28
194910,0.02,-1.48
194911,2.34,-1.20
194912,2.81,-2.83
195001,8.99,2.12
195002,5.30,-0.58
195003,3.01,-1.31
195004,1.45,-0.46
195005,0.72,-0.13
195006,0.03,-0.20
195007,0.00,-0.01
195008,0.00,-0.07
195009,0.07,-0.22
195010,4.25,2.75
195011,7.65,4.11
195012,9.14,3.50
195101,5.88,-0.99
195102,2.91,-2.97
195103,2.18,-2.14
195104,1.22,-0.69
195105,1.61,0.76
195106,0.00,-0.23
195107,0.00,-0.01
195108,0.04,-0.03
195109,0.03,-0.26
195110,2.34,0.84
195111,5.29,1.75
195112,10.15,4.51
195201,12.42,5.55
195202,3.31,-2.57
195203,5.02,0.70
195204,1.04,-0.87
195205,0.33,-0.52
