Yuba County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
194201,7.14,-0.29
194202,8.88,2.08
194203,3.32,-2.20
194204,8.13,5.35
194205,3.97,2.54
194206,0.00,-0.45
194207,0.00,-0.01
194208,0.00,-0.07
194209,0.06,-0.45
194210,0.52,-1.46
194211,8.18,3.61
194212,7.35,1.17
194301,11.61,4.18
194302,3.03,-3.77
194303,8.51,2.99
194304,3.27,0.49
194305,0.64,-0.79
194306,0.76,0.31
194307,0.02,0.01
194308,0.00,-0.07
194309,0.00,-0.51
194310,1.13,-0.85
194311,1.53,-3.04
194312,3.76,-2.42
194401,5.90,-1.53
194402,10.43,3.63
194403,3.29,-2.23
194404,3.46,0.68
194405,1.36,-0.07
194406,0.82,0.37
194407,0.00,-0.01
194408,0.00,-0.07
194409,0.02,-0.49
194410,2.91,0.93
194411,7.53,2.96
194412,4.95,-1.23
194501,1.95,-5.48
194502,9.71,2.91
194503,5.68,0.16
194504,1.02,-1.76
194505,2.41,0.98
194506,0.66,0.21
194507,0.00,-0.01
194508,0.00,-0.07
194509,0.01,-0.50
194510,4.00,2.02
194511,6.70,2.13
194512,12.48,6.30
194601,2.11,-5.32
194602,3.72,-3.08
194603,4.23,-1.29
194604,0.34,-2.44
194605,0.91,-0.52
194606,0.00,-0.45
194607,0.07,0.06
194608,0.00,-0.07
194609,0.43,-0.08
194610,0.77,-1.21
194611,6.47,1.90
194612,4.60,-1.58
194701,1.12,-6.31
194702,4.16,-2.64
194703,7.94,2.42
194704,1.39,-1.39
194705,0.43,-1.00
194706,1.56,1.11
194707,0.00,-0.01
194708,0.01,-0.06
194709,0.01,-0.50
194710,6.49,4.51
194711,1.97,-2.60
194712,1.29,-4.89
194801,4.63,-2.80
194802,2.77,-4.03
194803,6.51,0.99
194804,8.62,5.84
194805,3.25,1.82
194806,0.30,-0.15
194807,0.00,-0.01
194808,0.00,-0.07
194809,0.23,-0.28
194810,0.45,-1.53
194811,3.23,-1.34
194812,6.57,0.39
194901,2.31,-5.12
194902,4.70,-2.10
194903,9.06,3.54
194904,0.15,-2.63
194905,1.31,-0.12
194906,0.01,-0.44
194907,0.00,-0.01
194908,0.14,0.07
194909,0.06,-0.45
194910,0.16,-1.82
194911,2.42,-2.15
194912,2.76,-3.42
195001,12.11,4.68
195002,5.99,-0.81
195003,5.77,0.25
195004,2.67,-0.11
195005,1.63,0.20
195006,0.17,-0.28
195007,0.02,0.01
195008,0.01,-0.06
195009,0.25,-0.26
195010,5.24,3.26
195011,12.07,7.50
195012,10.45,4.27
195101,9.22,1.79
195102,4.91,-1.89
195103,3.05,-2.47
195104,1.60,-1.18
195105,1.99,0.56
195106,0.00,-0.45
195107,0.00,-0.01
195108,0.01,-0.06
195109,0.09,-0.42
195110,4.70,2.72
195111,6.28,1.71
195112,11.35,5.17
195201,13.85,6.42
195202,7.12,0.32
195203,7.18,1.66
195204,1.54,-1.24
195205,0.77,-0.66
195206,1.10,0.65
195207,0.07,0.06
195208,0.00,-0.07
195209,0.17,-0.34
195210,0.07,-1.91
195211,2.94,-1.63
195212,11.28,5.10
195301,9.84,2.41
195302,0.21,-6.59
195303,5.16,-0.36
195304,5.15,2.37
195305,1.96,0.53
195306,0.94,0.49
195307,0.00,-0.01
195308,0.16,0.09
195309,0.00,-0.51
195310,1.63,-0.35
195311,4.97,0.40
195312,1.95,-4.23
195401,7.34,-0.09
195402,6.20,-0.60
195403,6.86,1.34
195404,4.58,1.80
195405,0.19,-1.24
195406,0.65,0.20
195407,0.00,-0.01
195408,0.29,0.22
195409,0.05,-0.46
195410,0.31,-1.67
195411,4.51,-0.06
195412,7.49,1.31
195501,5.19,-2.24
195502,2.69,-4.11
195503,1.07,-4.45
195504,4.67,1.89
195505,0.76,-0.67
195506,0.06,-0.39
195507,0.01,0.00
195508,0.00,-0.07
195509,0.72,0.21
195510,1.20,-0.78
195511,4.15,-0.42
195512,22.50,16.32
195601,13.60,6.17
195602,5.83,-0.97
195603,0.35,-5.17
195604,2.45,-0.33
195605,2.44,1.01
195606,0.04,-0.41
195607,0.00,-0.01
195608,0.00,-0.07
195609,0.81,0.30
195610,4.39,2.41
195611,0.13,-4.44
195612,1.07,-5.11
195701,4.78,-2.65
195702,8.21,1.41
195703,5.19,-0.33
195704,2.70,-0.08
195705,4.92,3.49
195706,0.04,-0.41
195707,0.00,-0.01
195708,0.00,-0.07
195709,1.67,1.16
195710,3.42,1.44
195711,2.03,-2.54
195712,6.45,0.27
195801,7.67,0.24
195802,13.74,6.94
195803,8.75,3.23
195804,6.20,3.42
195805,1.19,-0.24
195806,0.84,0.39
195807,0.01,0.00
195808,0.03,-0.04
195809,0.39,-0.12
195810,0.54,-1.44
195811,1.23,-3.34
195812,2.50,-3.68
195901,8.40,0.97
195902,8.48,1.68
195903,2.09,-3.43
195904,1.06,-1.72
195905,0.50,-0.93
195906,0.00,-0.45
195907,0.00,-0.01
195908,0.11,0.04
195909,2.58,2.07
195910,0.01,-1.97
195911,0.00,-4.57
195912,2.39,-3.79
196001,8.36,0.93
196002,8.72,1.92
196003,7.04,1.52
196004,2.55,-0.23
196005,1.44,0.01
196006,0.00,-0.45
196007,0.01,0.00
196008,0.03,-0.04
196009,0.12,-0.39
196010,0.46,-1.52
196011,8.07,3.50
196012,2.61,-3.57
196101,3.55,-3.88
196102,4.04,-2.76
196103,5.80,0.28
196104,1.81,-0.97
196105,1.35,-0.08
196106,0.25,-0.20
196107,0.00,-0.01
196108,0.06,-0.01
196109,0.20,-0.31
196110,0.71,-1.27
196111,4.03,-0.54
196112,4.01,-2.17
196201,3.13,-4.30
196202,14.75,7.95
196203,5.11,-0.41
196204,1.24,-1.54
196205,0.76,-0.67
196206,0.04,-0.41
196207,0.01,0.00
196208,0.17,0.10
196209,0.18,-0.33
196210,11.19,9.21
196211,2.02,-2.55
196212,5.14,-1.04
196301,5.50,-1.93
196302,4.17,-2.63
196303,6.34,0.82
196304,8.28,5.50
196305,1.77,0.34
196306,0.43,-0.02
196307,0.00,-0.01
196308,0.00,-0.07
196309,0.51,0.00
196310,2.86,0.88
196311,9.21,4.64
196312,0.86,-5.32
196401,7.06,-0.37
196402,0.61,-6.19
196403,2.83,-2.69
196404,1.18,-1.60
196405,1.70,0.27
196406,0.88,0.43
196407,0.03,0.02
196408,0.08,0.01
196409,0.09,-0.42
196410,1.56,-0.42
196411,6.83,2.26
196412,16.26,10.08
196501,8.51,1.08
196502,1.16,-5.64
196503,2.44,-3.08
196504,5.61,2.83
196505,0.23,-1.20
196506,0.21,-0.24
196507,0.01,0.00
196508,0.62,0.55
196509,0.26,-0.25
196510,0.35,-1.63
196511,7.59,3.02
196512,4.94,-1.24
196601,4.94,-2.49
196602,3.14,-3.66
196603,1.70,-3.82
196604,2.32,-0.46
196605,0.35,-1.08
196606,0.06,-0.39
196607,0.03,0.02
196608,0.01,-0.06
196609,0.02,-0.49
196610,0.00,-1.98
196611,10.84,6.27
196612,6.59,0.41
196701,13.20,5.77
196702,0.81,-5.99
196703,7.41,1.89
196704,6.94,4.16
196705,0.84,-0.59
196706,1.74,1.29
196707,0.01,0.00
196708,0.02,-0.05
196709,0.20,-0.31
196710,1.44,-0.54
196711,3.68,-0.89
196712,4.04,-2.14
196801,7.33,-0.10
196802,6.47,-0.33
196803,4.14,-1.38
196804,0.41,-2.37
196805,0.72,-0.71
196806,0.37,-0.08
196807,0.01,0.00
196808,0.55,0.48
196809,0.06,-0.45
196810,2.70,0.72
196811,5.97,1.40
196812,7.63,1.45
196901,17.35,9.92
196902,10.80,4.00
196903,2.06,-3.46
196904,3.06,0.28
196905,0.03,-1.40
196906,0.38,-0.07
196907,0.03,0.02
196908,0.00,-0.07
196909,0.00,-0.51
196910,2.34,0.36
196911,1.91,-2.66
196912,11.47,5.29
197001,17.10,9.67
197002,3.58,-3.22
197003,4.03,-1.49
197004,0.87,-1.91
197005,0.12,-1.31
