Modoc County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195709,1.53,0.84
195710,2.56,1.31
195711,3.16,1.06
195712,2.73,0.40
195801,2.73,0.03
195802,3.31,1.10
195803,2.03,0.00
195804,0.91,-0.57
195805,1.36,-0.13
195806,2.77,1.69
195807,1.47,1.08
195808,0.62,0.28
195809,0.69,0.00
195810,0.73,-0.52
195811,1.32,-0.78
195812,1.49,-0.84
195901,2.09,-0.61
195902,1.67,-0.54
195903,0.58,-1.45
195904,0.34,-1.14
195905,1.77,0.28
195906,0.39,-0.69
195907,0.12,-0.27
195908,0.31,-0.03
195909,0.88,0.19
195910,0.42,-0.83
195911,0.01,-2.09
195912,0.90,-1.43
196001,2.17,-0.53
196002,3.58,1.37
196003,2.61,0.58
196004,1.22,-0.26
196005,1.82,0.33
196006,0.10,-0.98
196007,0.55,0.16
196008,0.05,-0.29
196009,0.27,-0.42
196010,0.37,-0.88
196011,3.85,1.75
196012,1.28,-1.05
196101,0.55,-2.15
196102,2.64,0.43
196103,1.82,-0.21
196104,0.51,-0.97
196105,1.50,0.01
196106,0.87,-0.21
196107,0.07,-0.32
196108,0.80,0.46
196109,0.30,-0.39
196110,1.09,-0.16
196111,1.32,-0.78
196112,2.44,0.11
196201,1.67,-1.03
196202,2.46,0.25
196203,2.25,0.22
196204,0.53,-0.95
196205,2.50,1.01
196206,0.08,-1.00
196207,0.06,-0.33
196208,0.26,-0.08
196209,0.32,-0.37
196210,5.82,4.57
196211,1.63,-0.47
196212,1.51,-0.82
196301,1.28,-1.42
196302,2.25,0.04
196303,1.94,-0.09
196304,3.63,2.15
196305,2.42,0.93
196306,1.58,0.50
196307,0.04,-0.35
196308,0.35,0.01
196309,0.81,0.12
196310,1.40,0.15
196311,2.26,0.16
196312,1.05,-1.28
196401,3.43,0.73
196402,0.33,-1.88
196403,1.20,-0.83
196404,0.97,-0.51
196405,1.95,0.46
196406,3.23,2.15
