Del Norte County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
193708,0.23,-0.29
193709,0.65,-1.13
193710,8.29,2.76
193711,26.99,15.10
193712,10.50,-2.90
193801,14.50,0.60
193802,26.57,14.95
193803,28.59,18.55
193804,5.67,-0.05
193805,0.29,-3.42
193806,0.03,-1.48
193807,0.23,-0.14
193808,0.01,-0.51
193809,1.25,-0.53
193810,4.86,-0.67
193811,9.98,-1.91
193812,9.68,-3.72
193901,11.84,-2.06
193902,10.80,-0.82
193903,8.31,-1.73
193904,0.59,-5.13
193905,3.39,-0.32
193906,1.45,-0.06
193907,0.62,0.25
193908,0.61,0.09
193909,0.20,-1.58
193910,4.07,-1.46
193911,1.27,-10.62
193912,24.39,10.99
194001,12.24,-1.66
194002,25.56,13.94
194003,12.44,2.40
194004,3.28,-2.44
194005,4.08,0.37
194006,0.77,-0.74
194007,0.01,-0.36
194008,0.00,-0.52
194009,4.11,2.33
194010,8.05,2.52
194011,6.54,-5.35
194012,19.38,5.98
194101,21.27,7.37
194102,9.67,-1.95
194103,5.83,-4.21
194104,7.51,1.79
194105,6.92,3.21
194106,2.52,1.01
194107,0.35,-0.02
194108,0.56,0.04
194109,2.40,0.62
194110,4.08,-1.45
194111,10.80,-1.09
194112,23.72,10.32
194201,11.60,-2.30
194202,12.35,0.73
194203,3.82,-6.22
194204,7.21,1.49
194205,11.00,7.29
194206,0.98,-0.53
194207,0.24,-0.13
194208,0.04,-0.48
194209,0.40,-1.38
194210,3.08,-2.45
194211,27.59,15.70
194212,25.20,11.80
194301,15.13,1.23
194302,6.55,-5.07
194303,9.12,-0.92
194304,7.73,2.01
194305,5.89,2.18
194306,2.28,0.77
194307,0.29,-0.08
194308,1.18,0.66
194309,0.22,-1.56
194310,10.40,4.87
194311,9.89,-2.00
194312,3.49,-9.91
194401,9.57,-4.33
194402,8.07,-3.55
194403,5.08,-4.96
194404,7.81,2.09
194405,5.03,1.32
194406,2.81,1.30
194407,0.74,0.37
194408,0.65,0.13
194409,1.19,-0.59
194410,4.79,-0.74
194411,17.08,5.19
194412,9.24,-4.16
194501,8.87,-5.03
194502,18.12,6.50
194503,13.31,3.27
194504,4.89,-0.83
194505,7.20,3.49
194506,0.81,-0.70
194507,0.05,-0.32
194508,0.17,-0.35
194509,1.14,-0.64
194510,7.46,1.93
194511,21.37,9.48
194512,21.81,8.41
194601,10.05,-3.85
194602,11.34,-0.28
194603,9.10,-0.94
194604,2.05,-3.67
194605,2.14,-1.57
194606,1.11,-0.40
194607,0.44,0.07
194608,0.04,-0.48
194609,1.06,-0.72
194610,5.74,0.21
194611,15.53,3.64
194612,5.74,-7.66
194701,7.99,-5.91
194702,4.37,-7.25
194703,11.54,1.50
194704,3.12,-2.60
194705,0.32,-3.39
194706,6.02,4.51
194707,1.96,1.59
194708,0.77,0.25
194709,0.83,-0.95
194710,13.51,7.98
194711,3.89,-8.00
194712,6.22,-7.18
194801,14.75,0.85
194802,13.31,1.69
194803,8.56,-1.48
194804,15.80,10.08
194805,6.06,2.35
194806,1.75,0.24
194807,1.14,0.77
194808,0.27,-0.25
194809,2.28,0.50
194810,4.66,-0.87
194811,9.27,-2.62
194812,16.64,3.24
194901,2.26,-11.64
194902,14.04,2.42
194903,10.50,0.46
194904,1.71,-4.01
194905,6.84,3.13
194906,0.38,-1.13
194907,0.08,-0.29
194908,0.04,-0.48
194909,0.80,-0.98
194910,4.39,-1.14
194911,7.37,-4.52
194912,7.36,-6.04
195001,25.45,11.55
195002,9.81,-1.81
195003,15.98,5.94
195004,4.17,-1.55
195005,2.58,-1.13
195006,1.65,0.14
195007,0.04,-0.33
195008,0.04,-0.48
195009,1.17,-0.61
195010,23.58,18.05
195011,10.38,-1.51
195012,15.48,2.08
195101,17.84,3.94
195102,12.49,0.87
195103,6.95,-3.09
195104,2.84,-2.88
195105,3.47,-0.24
195106,0.02,-1.49
195107,0.01,-0.36
195108,0.34,-0.18
195109,1.72,-0.06
195110,10.45,4.92
195111,14.39,2.50
195112,19.83,6.43
195201,18.15,4.25
195202,12.44,0.82
195203,7.26,-2.78
195204,2.58,-3.14
195205,2.10,-1.61
195206,2.10,0.59
195207,0.16,-0.21
195208,0.02,-0.50
195209,0.50,-1.28
195210,0.63,-4.90
195211,4.30,-7.59
195212,20.09,6.69
195301,30.91,17.01
195302,8.54,-3.08
195303,10.79,0.75
195304,7.66,1.94
195305,9.52,5.81
195306,2.63,1.12
195307,0.00,-0.37
195308,2.45,1.93
195309,0.93,-0.85
195310,6.67,1.14
195311,19.87,7.98
195312,9.09,-4.31
195401,25.44,11.54
195402,8.30,-3.32
195403,7.05,-2.99
195404,6.46,0.74
195405,0.37,-3.34
195406,4.04,2.53
195407,0.24,-0.13
195408,2.09,1.57
195409,2.14,0.36
195410,3.50,-2.03
195411,8.59,-3.30
195412,17.19,3.79
195501,8.37,-5.53
195502,5.27,-6.35
195503,6.16,-3.88
195504,9.96,4.24
195505,0.32,-3.39
195506,0.66,-0.85
195507,0.74,0.37
195508,0.01,-0.51
195509,2.63,0.85
195510,6.01,0.48
195511,13.54,1.65
195512,27.72,14.32
195601,25.94,12.04
195602,18.41,6.79
195603,6.40,-3.64
195604,0.63,-5.09
195605,2.96,-0.75
195606,1.84,0.33
195607,0.25,-0.12
195608,0.13,-0.39
195609,0.80,-0.98
195610,15.13,9.60
195611,2.36,-9.53
195612,11.53,-1.87
195701,8.54,-5.36
195702,11.56,-0.06
195703,19.94,9.90
195704,2.97,-2.75
195705,6.38,2.67
195706,0.51,-1.00
195707,1.31,0.94
195708,0.13,-0.39
195709,3.74,1.96
195710,8.41,2.88
195711,10.46,-1.43
195712,19.20,5.80
195801,19.84,5.94
195802,24.17,12.55
195803,10.28,0.24
195804,6.77,1.05
195805,1.44,-2.27
195806,1.80,0.29
195807,0.61,0.24
195808,0.08,-0.44
195809,1.73,-0.05
195810,3.21,-2.32
195811,9.25,-2.64
195812,8.56,-4.84
195901,19.31,5.41
195902,14.20,2.58
195903,8.41,-1.63
195904,1.14,-4.58
195905,2.09,-1.62
195906,0.53,-0.98
195907,0.02,-0.35
195908,0.03,-0.49
195909,4.13,2.35
195910,3.28,-2.25
195911,1.51,-10.38
195912,5.97,-7.43
196001,9.15,-4.75
196002,15.18,3.56
196003,17.05,7.01
196004,6.64,0.92
196005,11.09,7.38
196006,0.00,-1.51
196007,0.01,-0.36
196008,0.18,-0.34
196009,0.13,-1.65
196010,3.78,-1.75
196011,18.84,6.95
196012,7.58,-5.82
196101,7.85,-6.05
196102,16.97,5.35
196103,20.32,10.28
196104,4.72,-1.00
196105,7.92,4.21
196106,0.77,-0.74
196107,0.04,-0.33
196108,0.63,0.11
196109,1.43,-0.35
196110,7.25,1.72
196111,15.42,3.53
196112,8.70,-4.70
196201,3.28,-10.62
196202,11.53,-0.09
196203,10.82,0.78
196204,3.58,-2.14
196205,2.02,-1.69
196206,0.24,-1.27
196207,0.08,-0.29
196208,2.54,2.02
196209,1.89,0.11
196210,14.36,8.83
196211,11.60,-0.29
196212,9.12,-4.28
196301,3.76,-10.14
196302,10.86,-0.76
196303,10.63,0.59
196304,15.95,10.23
196305,8.66,4.95
196306,0.77,-0.74
196307,0.36,-0.01
196308,0.02,-0.50
196309,1.09,-0.69
196310,7.73,2.20
196311,18.91,7.02
196312,5.64,-7.76
196401,21.48,7.58
196402,2.28,-9.34
196403,8.22,-1.82
196404,1.29,-4.43
196405,2.26,-1.45
196406,1.70,0.19
196407,1.18,0.81
196408,0.26,-0.26
196409,0.19,-1.59
196410,1.43,-4.10
196411,17.54,5.65
196412,36.16,22.76
196501,15.08,1.18
196502,3.33,-8.29
196503,1.27,-8.77
196504,9.25,3.53
196505,1.12,-2.59
196506,0.65,-0.86
196507,0.18,-0.19
196508,1.84,1.32
196509,0.01,-1.77
196510,2.37,-3.16
196511,12.67,0.78
196512,14.57,1.17
196601,21.66,7.76
196602,5.96,-5.66
196603,14.11,4.07
196604,3.08,-2.64
196605,0.27,-3.44
196606,0.92,-0.59
196607,0.54,0.17
196608,0.59,0.07
196609,2.67,0.89
196610,2.49,-3.04
196611,18.28,6.39
196612,14.41,1.01
196701,18.29,4.39
196702,2.89,-8.73
196703,12.07,2.03
196704,8.36,2.64
196705,2.67,-1.04
196706,0.41,-1.10
196707,0.00,-0.37
196708,0.01,-0.51
196709,1.24,-0.54
196710,6.29,0.76
196711,6.09,-5.80
196712,8.18,-5.22
196801,14.71,0.81
196802,9.66,-1.96
196803,8.03,-2.01
196804,0.97,-4.75
196805,3.95,0.24
196806,0.39,-1.12
196807,0.18,-0.19
196808,2.77,2.25
196809,1.28,-0.50
196810,6.21,0.68
196811,13.91,2.02
196812,18.66,5.26
196901,20.07,6.17
196902,11.31,-0.31
196903,3.37,-6.67
196904,5.33,-0.39
196905,1.87,-1.84
196906,0.85,-0.66
196907,0.14,-0.23
196908,0.02,-0.50
196909,2.67,0.89
196910,6.86,1.33
196911,4.69,-7.20
196912,19.11,5.71
197001,29.50,15.60
197002,4.97,-6.65
197003,5.62,-4.42
197004,4.17,-1.55
197005,3.17,-0.54
197006,0.94,-0.57
197007,0.01,-0.36
197008,0.00,-0.52
197009,0.40,-1.38
197010,5.52,-0.01
197011,23.60,11.71
197012,19.33,5.93
197101,16.06,2.16
197102,6.33,-5.29
197103,17.83,7.79
197104,7.28,1.56
197105,1.82,-1.89
197106,3.27,1.76
197107,0.53,0.16
197108,1.39,0.87
197109,5.09,3.31
197110,2.32,-3.21
197111,14.74,2.85
197112,14.81,1.41
197201,19.52,5.62
197202,12.87,1.25
197203,16.98,6.94
197204,7.60,1.88
197205,1.82,-1.89
197206,1.18,-0.33
197207,0.03,-0.34
197208,0.50,-0.02
197209,1.40,-0.38
197210,2.45,-3.08
197211,7.93,-3.96
197212,14.73,1.33
197301,12.74,-1.16
197302,6.43,-5.19
197303,9.80,-0.24
197304,1.93,-3.79
197305,1.59,-2.12
197306,0.68,-0.83
197307,0.01,-0.36
197308,0.12,-0.40
197309,5.25,3.47
197310,7.24,1.71
197311,37.20,25.31
197312,19.72,6.32
197401,15.53,1.63
197402,13.31,1.69
197403,15.63,5.59
197404,6.11,0.39
197405,0.96,-2.75
197406,0.65,-0.86
197407,0.58,0.21
197408,0.06,-0.46
197409,0.00,-1.78
197410,2.03,-3.50
197411,5.59,-6.30
197412,13.69,0.29
197501,10.60,-3.30
197502,17.89,6.27
197503,20.21,10.17
197504,5.57,-0.15
197505,2.52,-1.19
197506,0.40,-1.11
197507,0.17,-0.20
197508,1.39,0.87
197509,0.07,-1.71
197510,12.64,7.11
197511,9.08,-2.81
197512,9.37,-4.03
197601,6.57,-7.33
197602,11.57,-0.05
197603,6.06,-3.98
197604,3.99,-1.73
197605,0.82,-2.89
197606,0.44,-1.07
197607,0.80,0.43
197608,2.77,2.25
197609,0.49,-1.29
197610,1.43,-4.10
197611,2.82,-9.07
197612,1.17,-12.23
197701,4.13,-9.77
197702,6.14,-5.48
197703,7.82,-2.22
197704,1.45,-4.27
197705,4.20,0.49
197706,0.34,-1.17
197707,0.15,-0.22
197708,1.28,0.76
197709,6.38,4.60
197710,5.29,-0.24
197711,17.17,5.28
197712,19.38,5.98
197801,13.81,-0.09
197802,13.71,2.09
197803,5.89,-4.15
197804,9.49,3.77
197805,2.32,-1.39
197806,0.75,-0.76
197807,0.08,-0.29
197808,2.40,1.88
197809,6.01,4.23
197810,0.10,-5.43
197811,5.02,-6.87
197812,5.13,-8.27
197901,8.20,-5.70
197902,15.88,4.26
197903,4.05,-5.99
197904,6.16,0.44
197905,6.29,2.58
197906,0.46,-1.05
197907,0.99,0.62
197908,0.43,-0.09
197909,1.91,0.13
197910,12.09,6.56
197911,12.38,0.49
197912,11.77,-1.63
198001,9.54,-4.36
198002,10.20,-1.42
198003,10.46,0.42
198004,6.09,0.37
198005,2.13,-1.58
198006,1.25,-0.26
198007,0.00,-0.37
198008,0.00,-0.52
198009,0.32,-1.46
198010,3.70,-1.83
198011,7.41,-4.48
198012,12.99,-0.41
198101,9.33,-4.57
198102,8.24,-3.38
198103,8.57,-1.47
198104,2.81,-2.91
198105,3.45,-0.26
198106,1.75,0.24
198107,0.05,-0.32
198108,0.04,-0.48
198109,3.24,1.46
198110,10.83,5.30
198111,19.60,7.71
198112,27.60,14.20
198201,11.76,-2.14
198202,12.38,0.76
198203,13.60,3.56
198204,14.20,8.48
198205,0.07,-3.64
198206,2.18,0.67
198207,0.11,-0.26
198208,0.17,-0.35
198209,1.04,-0.74
198210,9.67,4.14
198211,10.90,-0.99
198212,20.41,7.01
198301,13.92,0.02
198302,20.38,8.76
198303,19.62,9.58
198304,6.35,0.63
198305,2.85,-0.86
198306,1.07,-0.44
198307,1.84,1.47
198308,2.80,2.28
198309,0.85,-0.93
198310,3.12,-2.41
198311,18.99,7.10
198312,25.46,12.06
198401,2.80,-11.10
198402,13.16,1.54
198403,10.87,0.83
198404,6.46,0.74
198405,5.52,1.81
198406,3.00,1.49
198407,0.01,-0.36
198408,0.11,-0.41
198409,0.64,-1.14
198410,7.97,2.44
198411,24.95,13.06
198412,5.19,-8.21
198501,0.85,-13.05
198502,8.16,-3.46
198503,9.50,-0.54
198504,1.19,-4.53
198505,1.91,-1.80
198506,3.20,1.69
198507,0.28,-0.09
198508,0.18,-0.34
198509,1.94,0.16
198510,7.67,2.14
198511,6.75,-5.14
198512,5.97,-7.43
198601,13.84,-0.06
198602,25.96,14.34
198603,10.16,0.12
198604,3.54,-2.18
198605,6.33,2.62
198606,0.51,-1.00
198607,0.28,-0.09
198608,0.01,-0.51
198609,6.35,4.57
198610,4.74,-0.79
198611,7.03,-4.86
198612,6.55,-6.85
