Santa Cruz County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
193106,0.76,0.55
193107,0.00,-0.02
193108,0.00,-0.05
193109,0.00,-0.28
193110,1.05,-0.38
193111,3.43,-0.14
193112,15.84,9.84
193201,5.11,-2.08
193202,6.04,-0.21
193203,1.07,-3.96
193204,0.80,-1.40
193205,0.76,-0.06
193206,0.02,-0.19
193207,0.03,0.01
193208,0.05,0.00
193209,0.00,-0.28
193210,0.04,-1.39
193211,1.03,-2.54
193212,4.26,-1.74
193301,10.04,2.85
193302,1.24,-5.01
193303,3.75,-1.28
193304,0.31,-1.89
193305,1.46,0.64
193306,0.05,-0.16
193307,0.02,0.00
193308,0.01,-0.04
193309,0.05,-0.23
193310,2.52,1.09
193311,0.00,-3.57
193312,9.12,3.12
193401,2.05,-5.14
193402,6.94,0.69
193403,0.01,-5.02
193404,0.48,-1.72
193405,0.91,0.09
193406,0.97,0.76
193407,0.00,-0.02
193408,0.04,-0.01
193409,0.41,0.13
193410,1.38,-0.05
193411,5.12,1.55
193412,6.40,0.40
193501,8.76,1.57
193502,1.11,-5.14
193503,6.27,1.24
193504,6.84,4.64
193505,0.02,-0.80
193506,0.00,-0.21
193507,0.00,-0.02
193508,0.33,0.28
193509,0.04,-0.24
193510,1.87,0.44
193511,0.75,-2.82
193512,3.67,-2.33
193601,6.28,-0.91
193602,13.56,7.31
193603,1.82,-3.21
193604,2.16,-0.04
193605,1.35,0.53
193606,0.79,0.58
193607,0.12,0.10
193608,0.00,-0.05
193609,0.00,-0.28
193610,1.16,-0.27
193611,0.04,-3.53
193612,7.99,1.99
193701,7.28,0.09
193702,8.79,2.54
193703,11.31,6.28
193704,1.08,-1.12
193705,0.08,-0.74
193706,0.37,0.16
193707,0.00,-0.02
193708,0.00,-0.05
193709,0.00,-0.28
193710,1.19,-0.24
193711,4.12,0.55
193712,10.58,4.58
193801,7.17,-0.02
193802,14.21,7.96
193803,9.60,4.57
193804,2.47,0.27
193805,0.16,-0.66
193806,0.01,-0.20
193807,0.01,-0.01
193808,0.00,-0.05
193809,0.11,-0.17
193810,2.82,1.39
193811,1.83,-1.74
193812,2.23,-3.77
193901,5.16,-2.03
193902,3.53,-2.72
193903,4.20,-0.83
193904,0.60,-1.60
193905,1.14,0.32
193906,0.01,-0.20
193907,0.00,-0.02
193908,0.02,-0.03
193909,0.68,0.40
193910,1.19,-0.24
193911,0.62,-2.95
193912,2.11,-3.89
194001,17.59,10.40
194002,15.18,8.93
194003,7.86,2.83
194004,0.79,-1.41
194005,0.89,0.07
194006,0.01,-0.20
194007,0.06,0.04
194008,0.03,-0.02
194009,0.38,0.10
194010,1.75,0.32
194011,1.16,-2.41
194012,13.83,7.83
194101,11.70,4.51
194102,14.02,7.77
194103,9.00,3.97
194104,7.40,5.20
194105,1.67,0.85
194106,0.18,-0.03
194107,0.03,0.01
194108,0.01,-0.04
194109,0.02,-0.26
194110,1.41,-0.02
194111,1.92,-1.65
194112,14.38,8.38
194201,9.15,1.96
194202,5.88,-0.37
194203,3.98,-1.05
194204,5.95,3.75
194205,2.17,1.35
194206,0.00,-0.21
194207,0.00,-0.02
194208,0.01,-0.04
194209,0.10,-0.18
194210,1.53,0.10
194211,5.81,2.24
194212,4.22,-1.78
194301,10.23,3.04
194302,3.52,-2.73
194303,6.67,1.64
194304,2.09,-0.11
194305,0.02,-0.80
194306,0.05,-0.16
194307,0.00,-0.02
194308,0.00,-0.05
194309,0.00,-0.28
194310,1.25,-0.18
194311,1.03,-2.54
194312,3.29,-2.71
194401,5.97,-1.22
194402,10.69,4.44
194403,2.25,-2.78
194404,2.53,0.33
194405,1.15,0.33
194406,0.30,0.09
194407,0.04,0.02
194408,0.00,-0.05
194409,0.02,-0.26
194410,3.11,1.68
194411,7.66,4.09
194412,4.18,-1.82
194501,1.52,-5.67
194502,10.12,3.87
194503,6.07,1.04
194504,0.51,-1.69
194505,1.02,0.20
194506,0.06,-0.15
194507,0.00,-0.02
194508,0.01,-0.04
194509,0.00,-0.28
194510,3.64,2.21
194511,3.65,0.08
194512,12.36,6.36
194601,1.61,-5.58
194602,3.66,-2.59
194603,3.72,-1.31
194604,0.09,-2.11
194605,1.26,0.44
194606,0.00,-0.21
194607,0.07,0.05
194608,0.00,-0.05
194609,0.08,-0.20
194610,0.29,-1.14
194611,7.59,4.02
194612,3.29,-2.71
194701,1.13,-6.06
194702,3.53,-2.72
194703,4.54,-0.49
194704,0.34,-1.86
194705,0.60,-0.22
194706,0.67,0.46
194707,0.00,-0.02
194708,0.00,-0.05
194709,0.00,-0.28
194710,5.66,4.23
194711,1.22,-2.35
194712,2.74,-3.26
194801,1.13,-6.06
194802,2.54,-3.71
194803,5.04,0.01
194804,7.17,4.97
194805,1.31,0.49
194806,0.06,-0.15
194807,0.00,-0.02
194808,0.02,-0.03
194809,0.00,-0.28
194810,0.70,-0.73
194811,0.62,-2.95
194812,7.70,1.70
194901,2.43,-4.76
194902,4.93,-1.32
194903,9.49,4.46
194904,0.01,-2.19
194905,0.49,-0.33
194906,0.00,-0.21
194907,0.09,0.07
194908,0.16,0.11
194909,0.09,-0.19
194910,0.13,-1.30
194911,2.86,-0.71
194912,3.40,-2.60
195001,10.41,3.22
195002,5.78,-0.47
195003,2.56,-2.47
195004,1.76,-0.44
195005,0.80,-0.02
195006,0.07,-0.14
195007,0.01,-0.01
195008,0.00,-0.05
195009,0.27,-0.01
195010,3.58,2.15
195011,12.27,8.70
195012,9.85,3.85
195101,5.22,-1.97
195102,3.61,-2.64
195103,2.94,-2.09
195104,1.45,-0.75
195105,1.17,0.35
195106,0.05,-0.16
195107,0.00,-0.02
195108,0.07,0.02
195109,0.03,-0.25
195110,1.93,0.50
195111,4.38,0.81
195112,15.14,9.14
195201,14.86,7.67
195202,3.79,-2.46
195203,8.34,3.31
195204,1.69,-0.51
195205,0.38,-0.44
195206,0.72,0.51
195207,0.03,0.01
195208,0.00,-0.05
195209,0.04,-0.24
195210,0.05,-1.38
195211,3.84,0.27
195212,12.78,6.78
195301,5.70,-1.49
195302,0.03,-6.22
195303,4.30,-0.73
195304,4.01,1.81
195305,0.71,-0.11
195306,0.24,0.03
195307,0.00,-0.02
195308,0.23,0.18
195309,0.00,-0.28
195310,0.40,-1.03
195311,4.09,0.52
195312,0.83,-5.17
195401,6.21,-0.98
195402,4.83,-1.42
195403,7.21,2.18
195404,2.57,0.37
195405,0.34,-0.48
195406,0.47,0.26
195407,0.00,-0.02
195408,0.21,0.16
195409,0.01,-0.27
