Mariposa County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
194501,0.97,-5.40
194502,9.75,3.96
194503,7.92,2.60
194504,0.98,-1.75
194505,1.62,0.31
194506,0.55,0.15
194507,0.02,-0.07
194508,0.17,0.08
194509,0.30,-0.22
194510,4.94,3.38
194511,4.10,0.67
194512,9.94,4.75
194601,1.57,-4.80
194602,3.24,-2.55
194603,6.35,1.03
194604,0.23,-2.50
194605,1.57,0.26
194606,0.00,-0.40
194607,0.16,0.07
194608,0.01,-0.08
194609,0.27,-0.25
194610,2.23,0.67
194611,7.80,4.37
194612,5.48,0.29
194701,1.30,-5.07
194702,2.46,-3.33
194703,3.52,-1.80
194704,1.24,-1.49
194705,1.07,-0.24
194706,0.26,-0.14
194707,0.00,-0.09
194708,0.00,-0.09
194709,0.24,-0.28
194710,3.21,1.65
194711,1.19,-2.24
194712,0.99,-4.20
194801,1.15,-5.22
194802,3.39,-2.40
194803,7.75,2.43
194804,7.30,4.57
194805,2.23,0.92
194806,0.24,-0.16
194807,0.00,-0.09
194808,0.00,-0.09
194809,0.03,-0.49
194810,0.89,-0.67
194811,0.43,-3.00
194812,6.27,1.08
194901,3.29,-3.08
194902,4.95,-0.84
194903,7.69,2.37
194904,0.24,-2.49
194905,1.68,0.37
194906,0.04,-0.36
194907,0.01,-0.08
194908,0.07,-0.02
194909,0.06,-0.46
194910,0.08,-1.48
194911,3.21,-0.22
194912,3.24,-1.95
195001,8.80,2.43
195002,4.39,-1.40
195003,4.28,-1.04
195004,3.28,0.55
195005,1.14,-0.17
195006,0.05,-0.35
195007,0.10,0.01
195008,0.03,-0.06
195009,0.40,-0.12
195010,4.05,2.49
195011,13.34,9.91
195012,10.08,4.89
195101,5.03,-1.34
195102,3.26,-2.53
195103,2.20,-3.12
195104,2.72,-0.01
195105,0.85,-0.46
195106,0.36,-0.04
195107,0.01,-0.08
195108,0.01,-0.08
195109,0.02,-0.50
195110,1.91,0.35
195111,4.06,0.63
195112,11.84,6.65
195201,11.11,4.74
195202,3.25,-2.54
195203,8.63,3.31
195204,3.16,0.43
195205,0.39,-0.92
195206,0.17,-0.23
195207,0.46,0.37
195208,0.05,-0.04
195209,0.57,0.05
195210,0.15,-1.41
195211,2.63,-0.80
195212,9.82,4.63
195301,4.67,-1.70
195302,0.19,-5.60
195303,2.92,-2.40
195304,3.34,0.61
195305,1.69,0.38
195306,1.22,0.82
195307,0.12,0.03
195308,0.01,-0.08
195309,0.04,-0.48
195310,0.84,-0.72
195311,3.13,-0.30
195312,1.82,-3.37
195401,5.71,-0.66
195402,5.63,-0.16
195403,8.44,3.12
195404,3.02,0.29
195405,0.26,-1.05
195406,1.25,0.85
195407,0.01,-0.08
195408,0.00,-0.09
195409,0.00,-0.52
195410,0.00,-1.56
195411,3.07,-0.36
195412,5.71,0.52
195501,6.36,-0.01
195502,3.02,-2.77
195503,0.71,-4.61
195504,4.31,1.58
195505,1.94,0.63
195506,0.05,-0.35
195507,0.02,-0.07
195508,0.00,-0.09
195509,0.04,-0.48
195510,0.09,-1.47
195511,3.25,-0.18
195512,24.39,19.20
195601,8.93,2.56
195602,2.47,-3.32
195603,0.17,-5.15
195604,4.56,1.83
195605,2.96,1.65
195606,0.05,-0.35
195607,0.21,0.12
195608,0.00,-0.09
195609,0.54,0.02
195610,2.44,0.88
195611,0.01,-3.42
195612,1.46,-3.73
195701,4.90,-1.47
195702,5.58,-0.21
195703,4.21,-1.11
195704,2.42,-0.31
195705,5.26,3.95
195706,0.19,-0.21
195707,0.03,-0.06
195708,0.00,-0.09
195709,0.59,0.07
195710,1.66,0.10
195711,1.74,-1.69
195712,5.84,0.65
195801,6.05,-0.32
195802,8.91,3.12
195803,11.78,6.46
195804,7.31,4.58
195805,1.28,-0.03
195806,0.58,0.18
195807,0.20,0.11
195808,0.06,-0.03
195809,1.12,0.60
195810,0.03,-1.53
195811,0.82,-2.61
195812,0.84,-4.35
195901,6.28,-0.09
195902,8.00,2.21
195903,0.91,-4.41
195904,2.30,-0.43
195905,0.63,-0.68
195906,0.00,-0.40
195907,0.01,-0.08
195908,0.07,-0.02
195909,2.64,2.12
195910,0.01,-1.55
195911,0.00,-3.43
195912,1.36,-3.83
196001,5.07,-1.30
196002,7.71,1.92
196003,4.97,-0.35
196004,3.00,0.27
196005,0.27,-1.04
196006,0.00,-0.40
196007,0.09,0.00
196008,0.00,-0.09
196009,0.18,-0.34
196010,0.60,-0.96
196011,5.89,2.46
196012,2.22,-2.97
196101,2.21,-4.16
196102,1.91,-3.88
196103,4.20,-1.12
196104,1.58,-1.15
196105,1.78,0.47
196106,0.17,-0.23
196107,0.22,0.13
196108,0.24,0.15
196109,0.50,-0.02
196110,0.46,-1.10
196111,3.71,0.28
196112,3.04,-2.15
196201,2.87,-3.50
196202,16.00,10.21
196203,4.75,-0.57
196204,0.60,-2.13
196205,0.69,-0.62
196206,0.18,-0.22
196207,0.22,0.13
196208,0.07,-0.02
196209,0.28,-0.24
196210,2.14,0.58
196211,0.61,-2.82
196212,2.78,-2.41
196301,8.55,2.18
196302,7.06,1.27
196303,5.94,0.62
196304,7.55,4.82
196305,2.32,1.01
196306,0.63,0.23
196307,0.00,-0.09
196308,0.11,0.02
196309,0.57,0.05
196310,1.83,0.27
196311,7.90,4.47
196312,0.60,-4.59
196401,3.88,-2.49
196402,0.12,-5.67
196403,3.93,-1.39
196404,1.67,-1.06
196405,2.00,0.69
196406,0.86,0.46
196407,0.04,-0.05
196408,0.25,0.16
196409,0.24,-0.28
196410,2.39,0.83
196411,6.79,3.36
196412,15.18,9.99
196501,5.81,-0.56
196502,1.63,-4.16
196503,2.62,-2.70
196504,5.35,2.62
196505,0.39,-0.92
196506,0.20,-0.20
196507,0.16,0.07
196508,0.35,0.26
196509,0.08,-0.44
196510,0.52,-1.04
196511,12.59,9.16
196512,5.41,0.22
196601,1.65,-4.72
196602,2.08,-3.71
196603,0.65,-4.67
196604,1.24,-1.49
196605,0.56,-0.75
196606,0.14,-0.26
196607,0.04,-0.05
196608,0.03,-0.06
196609,0.42,-0.10
196610,0.01,-1.55
196611,6.13,2.70
196612,9.47,4.28
196701,7.99,1.62
196702,0.80,-4.99
196703,9.56,4.24
196704,11.08,8.35
196705,1.20,-0.11
196706,0.71,0.31
196707,0.08,-0.01
196708,0.21,0.12
196709,0.86,0.34
