Colusa County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
194012,12.72,8.56
194101,9.10,4.64
194102,9.18,5.10
194103,5.31,2.27
194104,4.39,3.07
194105,0.94,0.27
194106,0.18,-0.11
194107,0.00,-0.01
194108,0.01,-0.03
194109,0.03,-0.24
194110,1.91,0.80
194111,2.37,-0.17
194112,8.95,4.79
194201,5.03,0.57
194202,5.25,1.17
194203,2.73,-0.31
194204,4.53,3.21
194205,0.85,0.18
194206,0.04,-0.25
194207,0.00,-0.01
194208,0.00,-0.04
194209,0.18,-0.09
194210,0.55,-0.56
194211,2.86,0.32
194212,5.09,0.93
194301,6.72,2.26
194302,1.29,-2.79
194303,3.10,0.06
194304,2.07,0.75
194305,0.10,-0.57
194306,0.13,-0.16
194307,0.02,0.01
194308,0.00,-0.04
194309,0.00,-0.27
194310,0.90,-0.21
194311,0.66,-1.88
194312,2.82,-1.34
194401,3.94,-0.52
194402,4.64,0.56
194403,1.71,-1.33
194404,2.25,0.93
194405,0.83,0.16
194406,0.34,0.05
194407,0.00,-0.01
194408,0.00,-0.04
194409,0.00,-0.27
194410,1.21,0.10
194411,3.96,1.42
194412,3.87,-0.29
194501,2.25,-2.21
194502,3.21,-0.87
194503,3.53,0.49
194504,0.16,-1.16
194505,1.04,0.37
194506,0.59,0.30
194507,0.00,-0.01
194508,0.02,-0.02
194509,0.00,-0.27
194510,3.82,2.71
194511,3.12,0.58
194512,8.87,4.71
194601,0.97,-3.49
194602,1.55,-2.53
194603,1.39,-1.65
194604,0.27,-1.05
194605,0.40,-0.27
194606,0.00,-0.29
194607,0.13,0.12
194608,0.00,-0.04
194609,0.07,-0.20
194610,0.26,-0.85
194611,2.78,0.24
194612,3.89,-0.27
194701,0.57,-3.89
194702,3.12,-0.96
194703,3.54,0.50
194704,0.37,-0.95
194705,0.25,-0.42
194706,0.90,0.61
194707,0.00,-0.01
194708,0.01,-0.03
194709,0.00,-0.27
194710,3.07,1.96
194711,0.89,-1.65
194712,1.44,-2.72
194801,1.24,-3.22
194802,1.07,-3.01
194803,3.46,0.42
194804,5.17,3.85
194805,1.57,0.90
194806,0.86,0.57
194807,0.02,0.01
194808,0.00,-0.04
194809,0.41,0.14
194810,0.97,-0.14
194811,0.65,-1.89
194812,5.12,0.96
194901,1.10,-3.36
194902,1.89,-2.19
194903,8.11,5.07
194904,0.01,-1.31
194905,1.09,0.42
194906,0.01,-0.28
194907,0.03,0.02
194908,0.01,-0.03
194909,0.01,-0.26
194910,0.02,-1.09
