Shasta County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197105,2.83,0.80
197106,1.96,0.97
197107,0.13,-0.03
197108,0.14,-0.11
197109,1.22,0.35
197110,0.82,-1.68
197111,4.82,-0.54
197112,5.79,-0.88
197201,4.64,-2.98
197202,5.01,-1.74
197203,3.27,-2.25
197204,3.47,0.26
197205,1.58,-0.45
197206,0.84,-0.15
197207,0.01,-0.15
197208,0.16,-0.09
197209,2.08,1.21
197210,4.04,1.54
197211,7.96,2.60
197212,5.79,-0.88
197301,10.91,3.29
197302,8.56,1.81
197303,4.64,-0.88
197304,0.57,-2.64
197305,1.04,-0.99
197306,0.14,-0.85
197307,0.11,-0.05
197308,0.02,-0.23
197309,1.69,0.82
197310,4.83,2.33
197311,17.15,11.79
197312,9.17,2.50
197401,12.39,4.77
197402,4.04,-2.71
197403,12.03,6.51
197404,3.59,0.38
197405,0.30,-1.73
197406,0.40,-0.59
197407,0.85,0.69
197408,0.37,0.12
197409,0.00,-0.87
197410,2.14,-0.36
197411,2.24,-3.12
197412,5.53,-1.14
197501,2.73,-4.89
197502,11.02,4.27
197503,11.68,6.16
197504,3.78,0.57
197505,0.30,-1.73
197506,0.53,-0.46
197507,0.64,0.48
197508,0.84,0.59
197509,0.07,-0.80
197510,5.52,3.02
197511,2.31,-3.05
197512,2.51,-4.16
197601,0.63,-6.99
197602,6.48,-0.27
197603,2.00,-3.52
197604,3.28,0.07
197605,0.14,-1.89
197606,0.22,-0.77
197607,0.09,-0.07
197608,1.37,1.12
197609,1.22,0.35
197610,0.30,-2.20
197611,1.22,-4.14
197612,0.40,-6.27
197701,2.80,-4.82
197702,2.02,-4.73
197703,2.56,-2.96
197704,0.95,-2.26
197705,3.76,1.73
197706,0.55,-0.44
197707,0.09,-0.07
197708,0.47,0.22
197709,3.59,2.72
197710,1.07,-1.43
197711,4.01,-1.35
197712,9.89,3.22
197801,15.79,8.17
197802,7.51,0.76
197803,8.68,3.16
197804,7.67,4.46
197805,0.76,-1.27
197806,0.56,-0.43
197807,0.16,0.00
197808,0.41,0.16
197809,2.34,1.47
197810,0.00,-2.50
197811,2.49,-2.87
197812,1.21,-5.46
197901,7.09,-0.53
197902,10.68,3.93
197903,4.68,-0.84
197904,3.04,-0.17
197905,2.08,0.05
197906,0.03,-0.96
197907,0.06,-0.10
197908,1.11,0.86
197909,0.57,-0.30
197910,6.63,4.13
197911,6.26,0.90
197912,6.99,0.32
198001,7.29,-0.33
198002,11.46,4.71
198003,3.40,-2.12
198004,2.95,-0.26
198005,1.58,-0.45
198006,1.40,0.41
198007,0.14,-0.02
198008,0.05,-0.20
198009,0.64,-0.23
198010,1.69,-0.81
198011,1.28,-4.08
198012,7.36,0.69
198101,8.53,0.91
198102,4.86,-1.89
198103,6.73,1.21
198104,2.09,-1.12
198105,2.36,0.33
198106,0.18,-0.81
198107,0.04,-0.12
198108,0.00,-0.25
198109,1.44,0.57
198110,5.58,3.08
198111,15.55,10.19
198112,11.11,4.44
198201,5.04,-2.58
198202,6.16,-0.59
198203,8.63,3.11
198204,5.81,2.60
198205,0.25,-1.78
198206,1.87,0.88
198207,0.62,0.46
198208,0.19,-0.06
198209,1.36,0.49
198210,4.80,2.30
198211,7.86,2.50
198212,9.29,2.62
198301,10.30,2.68
198302,12.72,5.97
198303,17.99,12.47
198304,4.88,1.67
198305,1.16,-0.87
198306,0.79,-0.20
198307,0.25,0.09
198308,0.81,0.56
198309,1.77,0.90
198310,2.09,-0.41
198311,13.03,7.67
198312,14.48,7.81
198401,0.45,-7.17
198402,4.51,-2.24
198403,3.86,-1.66
198404,2.69,-0.52
198405,1.02,-1.01
198406,1.43,0.44
198407,0.06,-0.10
198408,1.02,0.77
198409,0.59,-0.28
198410,3.17,0.67
198411,14.10,8.74
198412,2.50,-4.17
198501,0.93,-6.69
198502,2.44,-4.31
198503,4.12,-1.40
198504,0.35,-2.86
198505,0.77,-1.26
198506,0.59,-0.40
198507,0.38,0.22
198508,0.30,0.05
198509,3.17,2.30
198510,2.68,0.18
198511,4.70,-0.66
198512,4.48,-2.19
198601,9.53,1.91
198602,16.00,9.25
198603,8.13,2.61
198604,1.81,-1.40
198605,2.59,0.56
198606,0.16,-0.83
198607,0.02,-0.14
198608,0.00,-0.25
198609,3.73,2.86
198610,1.48,-1.02
198611,0.72,-4.64
198612,2.77,-3.90
198701,6.46,-1.16
198702,5.18,-1.57
198703,8.37,2.85
198704,0.58,-2.63
198705,0.92,-1.11
198706,0.15,-0.84
198707,0.62,0.46
198708,0.01,-0.24
198709,0.06,-0.81
198710,0.46,-2.04
198711,3.49,-1.87
198712,11.33,4.66
198801,7.29,-0.33
198802,0.22,-6.53
198803,1.04,-4.48
198804,3.93,0.72
198805,3.45,1.42
198806,1.42,0.43
198807,0.06,-0.10
198808,0.04,-0.21
198809,0.04,-0.83
198810,0.20,-2.30
198811,11.26,5.90
198812,3.92,-2.75
198901,3.09,-4.53
198902,1.78,-4.97
198903,13.78,8.26
198904,2.53,-0.68
198905,1.54,-0.49
198906,0.63,-0.36
198907,0.01,-0.15
198908,0.37,0.12
198909,3.34,2.47
198910,5.62,3.12
198911,1.56,-3.80
198912,0.04,-6.63
199001,7.04,-0.58
199002,3.03,-3.72
199003,3.10,-2.42
199004,1.26,-1.95
199005,7.02,4.99
199006,0.44,-0.55
199007,0.14,-0.02
199008,0.80,0.55
199009,0.47,-0.40
199010,1.27,-1.23
199011,1.00,-4.36
199012,1.05,-5.62
199101,1.20,-6.42
199102,3.51,-3.24
199103,13.11,7.59
199104,2.22,-0.99
199105,2.08,0.05
199106,0.56,-0.43
199107,0.40,0.24
199108,0.11,-0.14
199109,0.03,-0.84
199110,1.67,-0.83
199111,2.42,-2.94
199112,3.93,-2.74
199201,2.80,-4.82
199202,10.02,3.27
199203,4.71,-0.81
199204,2.92,-0.29
199205,0.28,-1.75
199206,2.40,1.41
199207,0.21,0.05
199208,0.03,-0.22
199209,0.03,-0.84
199210,5.07,2.57
199211,1.72,-3.64
199212,10.88,4.21
199301,12.04,4.42
199302,7.70,0.95
199303,7.10,1.58
199304,4.61,1.40
199305,4.07,2.04
199306,2.07,1.08
199307,0.01,-0.15
199308,0.55,0.30
199309,0.05,-0.82
199310,2.83,0.33
199311,1.95,-3.41
199312,5.73,-0.94
199401,3.75,-3.87
199402,6.35,-0.40
199403,1.47,-4.05
199404,2.30,-0.91
