San Luis Obispo County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
192808,0.00,-0.02
192809,0.00,-0.18
192810,0.12,-0.54
192811,2.39,0.86
192812,3.51,0.67
192901,1.37,-2.34
192902,1.72,-1.87
192903,1.47,-1.43
192904,0.90,-0.37
192905,0.00,-0.40
192906,0.18,0.14
192907,0.00,-0.01
192908,0.00,-0.02
192909,0.10,-0.08
192910,0.00,-0.66
192911,0.00,-1.53
192912,0.27,-2.57
193001,4.43,0.72
193002,1.89,-1.70
193003,2.84,-0.06
193004,0.55,-0.72
193005,1.29,0.89
193006,0.05,0.01
193007,0.00,-0.01
193008,0.00,-0.02
193009,0.19,0.01
193010,0.05,-0.61
193011,1.67,0.14
193012,0.06,-2.78
193101,4.69,0.98
193102,2.30,-1.29
193103,0.34,-2.56
193104,0.71,-0.56
193105,1.50,1.10
193106,0.19,0.15
193107,0.00,-0.01
193108,0.07,0.05
193109,0.01,-0.17
193110,0.05,-0.61
193111,2.52,0.99
193112,9.10,6.26
193201,3.51,-0.20
193202,4.63,1.04
193203,0.49,-2.41
193204,0.49,-0.78
193205,0.18,-0.22
193206,0.01,-0.03
193207,0.01,0.00
193208,0.01,-0.01
193209,0.09,-0.09
193210,0.06,-0.60
193211,0.17,-1.36
193212,1.71,-1.13
193301,7.28,3.57
193302,0.17,-3.42
193303,0.71,-2.19
193304,0.24,-1.03
193305,0.66,0.26
193306,0.27,0.23
193307,0.00,-0.01
193308,0.00,-0.02
193309,0.00,-0.18
193310,0.64,-0.02
193311,0.01,-1.52
193312,4.20,1.36
193401,1.15,-2.56
193402,3.64,0.05
193403,0.12,-2.78
193404,0.00,-1.27
193405,0.33,-0.07
193406,0.23,0.19
193407,0.00,-0.01
193408,0.00,-0.02
193409,0.02,-0.16
193410,2.01,1.35
193411,3.36,1.83
193412,3.01,0.17
193501,5.62,1.91
193502,1.81,-1.78
193503,3.51,0.61
193504,3.51,2.24
193505,0.04,-0.36
193506,0.00,-0.04
193507,0.00,-0.01
193508,0.15,0.13
193509,0.03,-0.15
193510,0.49,-0.17
193511,1.12,-0.41
193512,1.95,-0.89
193601,1.08,-2.63
193602,9.25,5.66
193603,1.42,-1.48
193604,1.25,-0.02
193605,0.18,-0.22
193606,0.07,0.03
193607,0.10,0.09
193608,0.04,0.02
193609,0.04,-0.14
193610,2.27,1.61
193611,0.03,-1.50
193612,7.39,4.55
193701,4.16,0.45
193702,5.30,1.71
193703,4.90,2.00
193704,0.24,-1.03
193705,0.01,-0.39
193706,0.01,-0.03
193707,0.00,-0.01
193708,0.00,-0.02
193709,0.00,-0.18
193710,0.16,-0.50
193711,0.56,-0.97
193712,6.16,3.32
193801,2.39,-1.32
193802,8.58,4.99
193803,6.61,3.71
193804,1.68,0.41
193805,0.22,-0.18
193806,0.01,-0.03
193807,0.00,-0.01
193808,0.01,-0.01
193809,0.41,0.23
193810,0.27,-0.39
193811,0.26,-1.27
193812,2.38,-0.46
193901,3.71,0.00
193902,1.67,-1.92
193903,2.04,-0.86
193904,0.29,-0.98
193905,0.13,-0.27
193906,0.00,-0.04
193907,0.01,0.00
193908,0.03,0.01
193909,0.56,0.38
193910,0.89,0.23
193911,0.40,-1.13
193912,1.41,-1.43
194001,5.27,1.56
194002,5.40,1.81
194003,1.32,-1.58
194004,1.03,-0.24
194005,0.02,-0.38
194006,0.00,-0.04
194007,0.01,0.00
194008,0.00,-0.02
194009,0.02,-0.16
194010,0.69,0.03
194011,0.21,-1.32
194012,7.42,4.58
194101,5.40,1.69
194102,8.50,4.91
194103,7.20,4.30
194104,3.85,2.58
194105,0.19,-0.21
194106,0.01,-0.03
194107,0.02,0.01
194108,0.02,0.00
194109,0.00,-0.18
194110,1.46,0.80
194111,0.79,-0.74
194112,7.66,4.82
194201,2.07,-1.64
194202,1.17,-2.42
194203,1.79,-1.11
194204,3.13,1.86
194205,0.29,-0.11
194206,0.00,-0.04
194207,0.00,-0.01
194208,0.03,0.01
194209,0.01,-0.17
194210,0.77,0.11
194211,1.01,-0.52
194212,2.23,-0.61
194301,7.99,4.28
194302,2.04,-1.55
194303,4.70,1.80
194304,1.28,0.01
194305,0.10,-0.30
194306,0.00,-0.04
194307,0.00,-0.01
194308,0.00,-0.02
194309,0.00,-0.18
194310,0.73,0.07
194311,0.31,-1.22
194312,3.49,0.65
194401,1.53,-2.18
194402,7.38,3.79
194403,1.21,-1.69
194404,1.22,-0.05
194405,0.25,-0.15
194406,0.01,-0.03
194407,0.00,-0.01
194408,0.00,-0.02
194409,0.00,-0.18
194410,0.13,-0.53
194411,3.86,2.33
194412,1.43,-1.41
194501,0.39,-3.32
194502,4.72,1.13
194503,3.65,0.75
194504,0.20,-1.07
194505,0.22,-0.18
194506,0.05,0.01
194507,0.00,-0.01
194508,0.03,0.01
194509,0.12,-0.06
194510,0.97,0.31
194511,0.71,-0.82
194512,4.52,1.68
194601,0.52,-3.19
194602,1.80,-1.79
194603,3.76,0.86
194604,0.55,-0.72
194605,0.42,0.02
194606,0.00,-0.04
194607,0.05,0.04
194608,0.00,-0.02
194609,0.01,-0.17
194610,0.45,-0.21
194611,4.33,2.80
194612,2.64,-0.20
194701,0.39,-3.32
194702,0.86,-2.73
194703,1.71,-1.19
194704,0.28,-0.99
194705,0.33,-0.07
194706,0.07,0.03
194707,0.00,-0.01
194708,0.03,0.01
194709,0.04,-0.14
194710,0.86,0.20
194711,0.17,-1.36
194712,1.13,-1.71
194801,0.03,-3.68
194802,1.95,-1.64
194803,3.71,0.81
194804,2.75,1.48
194805,0.78,0.38
194806,0.02,-0.02
194807,0.00,-0.01
194808,0.00,-0.02
194809,0.00,-0.18
194810,0.17,-0.49
194811,0.01,-1.52
194812,3.37,0.53
194901,1.52,-2.19
194902,2.12,-1.47
194903,4.15,1.25
194904,0.24,-1.03
194905,0.76,0.36
194906,0.01,-0.03
194907,0.00,-0.01
194908,0.00,-0.02
194909,0.00,-0.18
194910,0.01,-0.65
194911,1.26,-0.27
194912,2.94,0.10
195001,3.31,-0.40
195002,2.66,-0.93
195003,1.69,-1.21
195004,1.31,0.04
195005,0.15,-0.25
195006,0.00,-0.04
195007,0.12,0.11
195008,0.00,-0.02
195009,0.06,-0.12
195010,1.53,0.87
195011,2.28,0.75
195012,1.89,-0.95
195101,2.63,-1.08
195102,1.37,-2.22
195103,0.53,-2.37
195104,1.38,0.11
195105,0.13,-0.27
195106,0.00,-0.04
195107,0.00,-0.01
195108,0.01,-0.01
195109,0.03,-0.15
195110,0.65,-0.01
195111,1.87,0.34
195112,5.17,2.33
195201,7.40,3.69
195202,0.59,-3.00
195203,5.49,2.59
195204,1.47,0.20
195205,0.03,-0.37
195206,0.03,-0.01
195207,0.02,0.01
195208,0.00,-0.02
195209,0.06,-0.12
195210,0.01,-0.65
195211,2.76,1.23
195212,5.65,2.81
195301,1.78,-1.93
195302,0.13,-3.46
195303,1.05,-1.85
195304,1.94,0.67
195305,0.13,-0.27
195306,0.03,-0.01
195307,0.00,-0.01
195308,0.02,0.00
195309,0.01,-0.17
195310,0.01,-0.65
195311,2.57,1.04
195312,0.19,-2.65
195401,4.66,0.95
195402,2.43,-1.16
195403,4.05,1.15
195404,0.77,-0.50
195405,0.11,-0.29
195406,0.04,0.00
195407,0.00,-0.01
195408,0.00,-0.02
195409,0.00,-0.18
195410,0.00,-0.66
195411,1.57,0.04
195412,2.32,-0.52
195501,4.77,1.06
195502,2.01,-1.58
195503,0.35,-2.55
195504,1.97,0.70
195505,1.15,0.75
195506,0.01,-0.03
195507,0.00,-0.01
195508,0.04,0.02
195509,0.00,-0.18
195510,0.00,-0.66
195511,1.37,-0.16
195512,7.89,5.05
195601,4.10,0.39
195602,1.06,-2.53
195603,0.02,-2.88
195604,2.42,1.15
195605,1.07,0.67
195606,0.00,-0.04
195607,0.01,0.00
195608,0.00,-0.02
195609,0.01,-0.17
195610,1.07,0.41
195611,0.00,-1.53
195612,0.36,-2.48
195701,4.19,0.48
195702,2.87,-0.72
195703,0.97,-1.93
195704,2.30,1.03
195705,1.30,0.90
195706,0.20,0.16
195707,0.00,-0.01
195708,0.00,-0.02
195709,0.02,-0.16
195710,1.39,0.73
195711,0.66,-0.87
195712,3.77,0.93
195801,3.29,-0.42
195802,6.71,3.12
195803,7.04,4.14
195804,5.41,4.14
195805,0.55,0.15
195806,0.01,-0.03
195807,0.00,-0.01
195808,0.09,0.07
195809,0.95,0.77
195810,0.00,-0.66
195811,0.36,-1.17
195812,0.30,-2.54
195901,2.43,-1.28
195902,5.11,1.52
195903,0.03,-2.87
195904,0.48,-0.79
195905,0.05,-0.35
195906,0.00,-0.04
195907,0.00,-0.01
195908,0.00,-0.02
195909,0.48,0.30
195910,0.00,-0.66
195911,0.00,-1.53
195912,0.55,-2.29
196001,3.28,-0.43
196002,4.87,1.28
196003,1.05,-1.85
196004,1.79,0.52
196005,0.04,-0.36
196006,0.00,-0.04
196007,0.00,-0.01
196008,0.00,-0.02
196009,0.00,-0.18
196010,0.48,-0.18
196011,4.34,2.81
196012,1.11,-1.73
196101,1.81,-1.90
196102,0.42,-3.17
196103,1.24,-1.66
196104,0.29,-0.98
196105,0.43,0.03
196106,0.01,-0.03
196107,0.02,0.01
196108,0.03,0.01
196109,0.01,-0.17
196110,0.00,-0.66
196111,2.58,1.05
196112,2.25,-0.59
196201,2.63,-1.08
196202,11.41,7.82
196203,1.90,-1.00
196204,0.03,-1.24
196205,0.09,-0.31
196206,0.02,-0.02
196207,0.00,-0.01
196208,0.00,-0.02
196209,0.00,-0.18
196210,0.80,0.14
196211,0.02,-1.51
196212,1.89,-0.95
196301,2.58,-1.13
196302,4.89,1.30
196303,3.33,0.43
196304,3.28,2.01
196305,0.54,0.14
196306,0.08,0.04
196307,0.00,-0.01
196308,0.04,0.02
196309,0.40,0.22
196310,1.56,0.90
196311,3.34,1.81
196312,0.13,-2.71
196401,2.07,-1.64
196402,0.14,-3.45
196403,1.82,-1.08
196404,0.90,-0.37
196405,0.53,0.13
196406,0.14,0.10
196407,0.02,0.01
196408,0.06,0.04
196409,0.09,-0.09
196410,1.48,0.82
196411,2.63,1.10
196412,3.27,0.43
196501,2.28,-1.43
196502,0.66,-2.93
196503,1.93,-0.97
196504,3.48,2.21
196505,0.00,-0.40
196506,0.00,-0.04
196507,0.05,0.04
196508,0.04,0.02
196509,0.08,-0.10
196510,0.01,-0.65
196511,6.69,5.16
196512,3.57,0.73
196601,1.54,-2.17
196602,1.06,-2.53
196603,0.17,-2.73
196604,0.07,-1.20
196605,0.01,-0.39
196606,0.07,0.03
196607,0.10,0.09
196608,0.01,-0.01
196609,0.43,0.25
196610,0.00,-0.66
196611,3.01,1.48
196612,6.42,3.58
196701,4.08,0.37
196702,0.53,-3.06
196703,3.76,0.86
196704,5.23,3.96
196705,0.20,-0.20
196706,0.14,0.10
196707,0.01,0.00
196708,0.02,0.00
196709,0.59,0.41
196710,0.06,-0.60
196711,2.75,1.22
196712,1.71,-1.13
196801,1.36,-2.35
196802,1.36,-2.23
196803,2.35,-0.55
196804,1.01,-0.26
196805,0.12,-0.28
196806,0.00,-0.04
196807,0.00,-0.01
196808,0.01,-0.01
196809,0.00,-0.18
196810,2.37,1.71
196811,1.60,0.07
196812,3.08,0.24
196901,13.69,9.98
196902,10.10,6.51
196903,0.88,-2.02
196904,2.35,1.08
196905,0.05,-0.35
196906,0.02,-0.02
196907,0.05,0.04
196908,0.00,-0.02
196909,0.12,-0.06
196910,0.42,-0.24
196911,0.89,-0.64
196912,1.21,-1.63
197001,4.07,0.36
197002,1.79,-1.80
197003,2.61,-0.29
197004,0.14,-1.13
197005,0.00,-0.40
197006,0.02,-0.02
197007,0.00,-0.01
197008,0.00,-0.02
197009,0.00,-0.18
197010,0.12,-0.54
197011,4.56,3.03
197012,4.88,2.04
197101,1.25,-2.46
197102,0.35,-3.24
197103,0.75,-2.15
197104,1.04,-0.23
197105,0.93,0.53
197106,0.00,-0.04
197107,0.00,-0.01
197108,0.00,-0.02
197109,0.06,-0.12
197110,0.21,-0.45
197111,1.07,-0.46
197112,5.03,2.19
197201,0.73,-2.98
197202,0.50,-3.09
197203,0.00,-2.90
197204,0.57,-0.70
197205,0.04,-0.36
197206,0.04,0.00
197207,0.02,0.01
197208,0.00,-0.02
197209,0.02,-0.16
197210,1.82,1.16
197211,4.74,3.21
197212,1.48,-1.36
197301,6.90,3.19
197302,7.27,3.68
197303,3.50,0.60
197304,0.02,-1.25
197305,0.07,-0.33
197306,0.00,-0.04
197307,0.00,-0.01
197308,0.01,-0.01
197309,0.03,-0.15
197310,1.16,0.50
197311,2.87,1.34
197312,2.79,-0.05
197401,6.53,2.82
197402,0.20,-3.39
197403,5.19,2.29
197404,1.27,0.00
197405,0.01,-0.39
197406,0.01,-0.03
197407,0.02,0.01
197408,0.00,-0.02
197409,0.00,-0.18
197410,1.34,0.68
197411,0.49,-1.04
197412,3.60,0.76
197501,0.15,-3.56
197502,4.76,1.17
197503,3.29,0.39
197504,1.37,0.10
197505,0.00,-0.40
197506,0.00,-0.04
197507,0.01,0.00
197508,0.02,0.00
197509,0.02,-0.16
197510,1.12,0.46
197511,0.20,-1.33
197512,0.15,-2.69
197601,0.02,-3.69
197602,3.93,0.34
197603,1.37,-1.53
197604,1.06,-0.21
197605,0.08,-0.32
197606,0.08,0.04
197607,0.01,0.00
197608,0.16,0.14
197609,1.08,0.90
197610,0.49,-0.17
197611,0.86,-0.67
197612,1.62,-1.22
197701,1.87,-1.84
197702,0.11,-3.48
197703,1.54,-1.36
197704,0.02,-1.25
197705,1.93,1.53
197706,0.02,-0.02
197707,0.01,0.00
197708,0.04,0.02
197709,0.01,-0.17
197710,0.10,-0.56
197711,0.37,-1.16
197712,6.35,3.51
197801,7.43,3.72
197802,8.31,4.72
197803,5.87,2.97
197804,3.66,2.39
197805,0.05,-0.35
197806,0.01,-0.03
197807,0.00,-0.01
197808,0.00,-0.02
197809,0.99,0.81
197810,0.00,-0.66
197811,2.25,0.72
197812,1.40,-1.44
197901,4.67,0.96
197902,4.18,0.59
197903,3.42,0.52
197904,0.15,-1.12
197905,0.05,-0.35
197906,0.00,-0.04
197907,0.01,0.00
197908,0.00,-0.02
197909,0.12,-0.06
197910,0.81,0.15
197911,0.87,-0.66
197912,2.73,-0.11
198001,5.98,2.27
198002,8.10,4.51
198003,2.47,-0.43
198004,1.14,-0.13
198005,0.40,0.00
198006,0.00,-0.04
198007,0.10,0.09
198008,0.00,-0.02
198009,0.01,-0.17
198010,0.06,-0.60
198011,0.02,-1.51
198012,1.04,-1.80
198101,4.28,0.57
198102,1.86,-1.73
198103,5.74,2.84
198104,0.68,-0.59
198105,0.05,-0.35
198106,0.00,-0.04
198107,0.00,-0.01
198108,0.00,-0.02
198109,0.00,-0.18
198110,1.23,0.57
198111,1.85,0.32
198112,1.31,-1.53
198201,3.72,0.01
198202,1.46,-2.13
198203,6.07,3.17
198204,4.20,2.93
198205,0.01,-0.39
198206,0.09,0.05
198207,0.00,-0.01
198208,0.04,0.02
198209,0.94,0.76
198210,1.34,0.68
198211,5.05,3.52
198212,3.17,0.33
198301,7.84,4.13
198302,6.30,2.71
198303,6.53,3.63
198304,3.36,2.09
