Sonoma County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
194809,0.25,-0.14
194810,1.15,-0.99
194811,2.35,-2.86
194812,6.97,-0.59
194901,2.36,-6.76
194902,5.39,-2.23
194903,11.92,6.20
194904,0.12,-2.60
194905,0.71,-0.43
194906,0.03,-0.29
194907,0.06,0.05
194908,0.11,0.04
194909,0.02,-0.37
194910,0.12,-2.02
194911,2.50,-2.71
194912,3.39,-4.17
195001,12.28,3.16
195002,7.12,-0.50
195003,4.45,-1.27
195004,1.69,-1.03
195005,0.93,-0.21
195006,0.22,-0.10
195007,0.01,0.00
195008,0.00,-0.07
195009,0.03,-0.36
195010,5.55,3.41
195011,8.81,3.60
195012,11.11,3.55
195101,7.90,-1.22
195102,4.59,-3.03
195103,2.40,-3.32
195104,1.62,-1.10
195105,2.21,1.07
195106,0.00,-0.32
195107,0.00,-0.01
195108,0.05,-0.02
195109,0.05,-0.34
195110,3.23,1.09
195111,8.33,3.12
195112,13.45,5.89
195201,14.02,4.90
195202,4.71,-2.91
195203,5.99,0.27
195204,1.44,-1.28
195205,0.70,-0.44
195206,1.30,0.98
195207,0.03,0.02
195208,0.00,-0.07
195209,0.04,-0.35
195210,0.12,-2.02
195211,3.64,-1.57
195212,18.77,11.21
195301,10.68,1.56
195302,0.15,-7.47
195303,5.04,-0.68
195304,4.82,2.10
195305,1.10,-0.04
195306,0.81,0.49
195307,0.00,-0.01
195308,0.46,0.39
195309,0.00,-0.39
195310,1.65,-0.49
195311,6.61,1.40
195312,2.00,-5.56
195401,11.06,1.94
195402,4.94,-2.68
195403,7.17,1.45
195404,5.00,2.28
195405,0.17,-0.97
195406,0.62,0.30
195407,0.04,0.03
195408,0.59,0.52
195409,0.09,-0.30
195410,1.22,-0.92
195411,7.57,2.36
195412,7.42,-0.14
195501,4.61,-4.51
195502,1.76,-5.86
195503,0.86,-4.86
195504,5.84,3.12
195505,0.05,-1.09
195506,0.02,-0.30
195507,0.00,-0.01
195508,0.00,-0.07
195509,0.52,0.13
195510,0.70,-1.44
195511,4.65,-0.56
195512,25.28,17.72
195601,15.63,6.51
195602,9.02,1.40
195603,0.60,-5.12
195604,2.99,0.27
195605,1.24,0.10
195606,0.11,-0.21
195607,0.04,0.03
195608,0.00,-0.07
195609,0.20,-0.19
195610,3.84,1.70
195611,0.31,-4.90
195612,0.56,-7.00
195701,6.64,-2.48
195702,8.34,0.72
195703,4.65,-1.07
195704,3.08,0.36
195705,5.17,4.03
195706,0.10,-0.22
195707,0.01,0.00
195708,0.00,-0.07
195709,1.81,1.42
195710,8.55,6.41
195711,1.72,-3.49
195712,5.91,-1.65
195801,10.28,1.16
195802,21.33,13.71
195803,8.67,2.95
195804,7.05,4.33
195805,0.57,-0.57
195806,1.08,0.76
195807,0.05,0.04
195808,0.01,-0.06
195809,0.05,-0.34
195810,0.21,-1.93
195811,0.74,-4.47
195812,2.30,-5.26
195901,12.47,3.35
195902,9.14,1.52
195903,2.02,-3.70
195904,0.72,-2.00
195905,0.14,-1.00
195906,0.00,-0.32
195907,0.00,-0.01
195908,0.01,-0.06
195909,1.83,1.44
195910,0.05,-2.09
195911,0.06,-5.15
195912,2.35,-5.21
196001,8.82,-0.30
196002,10.66,3.04
196003,7.72,2.00
196004,1.88,-0.84
196005,1.40,0.26
196006,0.00,-0.32
196007,0.00,-0.01
196008,0.00,-0.07
196009,0.01,-0.38
196010,1.03,-1.11
196011,6.51,1.30
196012,7.17,-0.39
196101,6.75,-2.37
196102,4.75,-2.87
196103,6.59,0.87
196104,1.81,-0.91
196105,0.79,-0.35
196106,0.09,-0.23
196107,0.00,-0.01
196108,0.11,0.04
196109,0.44,0.05
196110,0.70,-1.44
196111,6.43,1.22
196112,4.69,-2.87
196201,2.64,-6.48
196202,14.23,6.61
196203,6.37,0.65
196204,0.76,-1.96
196205,0.25,-0.89
196206,0.00,-0.32
196207,0.00,-0.01
196208,0.33,0.26
196209,0.46,0.07
196210,10.14,8.00
196211,1.80,-3.41
196212,6.19,-1.37
196301,7.22,-1.90
196302,5.63,-1.99
196303,7.06,1.34
196304,8.23,5.51
196305,1.18,0.04
196306,0.02,-0.30
196307,0.00,-0.01
196308,0.01,-0.06
196309,0.10,-0.29
196310,3.47,1.33
196311,10.57,5.36
196312,1.28,-6.28
196401,6.78,-2.34
196402,0.34,-7.28
196403,2.76,-2.96
196404,0.34,-2.38
196405,0.86,-0.28
196406,0.86,0.54
196407,0.04,0.03
196408,0.02,-0.05
196409,0.01,-0.38
196410,3.74,1.60
196411,8.91,3.70
196412,15.10,7.54
196501,9.62,0.50
196502,1.76,-5.86
196503,2.31,-3.41
196504,6.46,3.74
196505,0.02,-1.12
196506,0.02,-0.30
196507,0.04,0.03
196508,0.53,0.46
196509,0.01,-0.38
196510,0.22,-1.92
196511,11.24,6.03
196512,6.19,-1.37
196601,10.57,1.45
196602,5.93,-1.69
196603,2.02,-3.70
196604,1.46,-1.26
196605,0.30,-0.84
196606,0.13,-0.19
196607,0.01,0.00
196608,0.32,0.25
196609,0.21,-0.18
196610,0.00,-2.14
196611,11.72,6.51
196612,8.83,1.27
196701,16.19,7.07
196702,0.58,-7.04
196703,8.39,2.67
196704,6.56,3.84
196705,0.24,-0.90
196706,1.40,1.08
196707,0.00,-0.01
196708,0.00,-0.07
196709,0.06,-0.33
196710,1.41,-0.73
196711,3.58,-1.63
196712,5.35,-2.21
196801,10.84,1.72
196802,6.51,-1.11
196803,4.84,-0.88
196804,0.87,-1.85
196805,0.57,-0.57
196806,0.00,-0.32
196807,0.00,-0.01
196808,0.58,0.51
196809,0.08,-0.31
196810,2.84,0.70
196811,4.40,-0.81
196812,12.75,5.19
196901,16.99,7.87
196902,12.63,5.01
196903,2.39,-3.33
196904,3.31,0.59
196905,0.11,-1.03
196906,0.05,-0.27
196907,0.00,-0.01
196908,0.00,-0.07
196909,0.03,-0.36
196910,2.88,0.74
196911,1.70,-3.51
196912,16.44,8.88
197001,23.61,14.49
197002,4.38,-3.24
197003,3.23,-2.49
197004,0.33,-2.39
197005,0.06,-1.08
197006,0.56,0.24
197007,0.00,-0.01
197008,0.00,-0.07
197009,0.00,-0.39
197010,3.01,0.87
197011,11.59,6.38
197012,13.61,6.05
197101,5.31,-3.81
197102,0.39,-7.23
197103,6.50,0.78
197104,1.77,-0.95
197105,0.60,-0.54
197106,0.02,-0.30
197107,0.00,-0.01
197108,0.12,0.05
197109,0.32,-0.07
197110,0.60,-1.54
197111,3.56,-1.65
197112,8.14,0.58
197201,3.17,-5.95
197202,3.83,-3.79
197203,1.53,-4.19
197204,2.84,0.12
197205,0.21,-0.93
197206,0.18,-0.14
197207,0.01,0.00
197208,0.15,0.08
197209,1.13,0.74
197210,4.52,2.38
197211,8.94,3.73
197212,5.94,-1.62
197301,17.91,8.79
197302,9.87,2.25
197303,4.52,-1.20
197304,0.23,-2.49
197305,0.11,-1.03
197306,0.00,-0.32
197307,0.00,-0.01
197308,0.03,-0.04
197309,1.09,0.70
197310,3.85,1.71
197311,18.60,13.39
197312,7.83,0.27
197401,10.15,1.03
197402,4.82,-2.80
197403,11.25,5.53
197404,3.46,0.74
197405,0.07,-1.07
197406,0.01,-0.31
197407,0.10,0.09
197408,0.04,-0.03
197409,0.00,-0.39
197410,1.74,-0.40
197411,1.61,-3.60
197412,6.39,-1.17
197501,2.92,-6.20
197502,13.69,6.07
197503,10.68,4.96
197504,2.33,-0.39
197505,0.07,-1.07
197506,0.06,-0.26
197507,0.08,0.07
197508,0.11,0.04
197509,0.00,-0.39
197510,5.75,3.61
197511,1.77,-3.44
197512,2.22,-5.34
197601,0.53,-8.59
197602,3.59,-4.03
197603,1.67,-4.05
197604,3.52,0.80
197605,0.01,-1.13
197606,0.02,-0.30
197607,0.03,0.02
197608,0.62,0.55
197609,0.61,0.22
197610,0.46,-1.68
197611,2.48,-2.73
197612,1.27,-6.29
197701,2.77,-6.35
197702,2.54,-5.08
197703,2.68,-3.04
197704,0.47,-2.25
197705,1.73,0.59
197706,0.02,-0.30
197707,0.00,-0.01
197708,0.07,0.00
197709,1.68,1.29
197710,1.12,-1.02
197711,7.89,2.68
197712,9.79,2.23
197801,17.64,8.52
197802,8.79,1.17
197803,7.21,1.49
197804,4.94,2.22
197805,0.16,-0.98
197806,0.01,-0.31
197807,0.00,-0.01
197808,0.04,-0.03
197809,1.58,1.19
197810,0.00,-2.14
