Trinity County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195112,19.05,9.00
195201,14.35,3.58
195202,8.05,-1.30
195203,6.20,-1.21
195204,1.97,-2.04
195205,1.98,-0.21
195206,2.93,2.03
195207,0.63,0.44
195208,0.18,-0.12
195209,0.19,-0.79
195210,0.70,-2.79
195211,4.29,-3.56
195212,23.71,13.66
195301,17.72,6.95
195302,2.16,-7.19
195303,8.16,0.75
195304,6.06,2.05
195305,5.44,3.25
195306,1.99,1.09
195307,0.00,-0.19
195308,0.83,0.53
195309,0.09,-0.89
195310,2.79,-0.70
195311,10.43,2.58
195312,4.13,-5.92
195401,22.91,12.14
195402,8.08,-1.27
195403,8.29,0.88
195404,6.61,2.60
195405,0.02,-2.17
195406,2.00,1.10
195407,0.06,-0.13
195408,1.50,1.20
195409,0.61,-0.37
195410,1.76,-1.73
195411,8.34,0.49
195412,10.91,0.86
195501,5.26,-5.51
195502,2.31,-7.04
195503,1.98,-5.43
195504,6.28,2.27
195505,0.04,-2.15
195506,0.19,-0.71
195507,0.14,-0.05
195508,0.03,-0.27
195509,1.12,0.14
195510,1.48,-2.01
195511,11.16,3.31
195512,27.94,17.89
195601,20.95,10.18
195602,13.48,4.13
195603,1.65,-5.76
195604,1.89,-2.12
195605,3.42,1.23
195606,0.72,-0.18
195607,0.22,0.03
195608,0.04,-0.26
195609,0.35,-0.63
195610,8.05,4.56
195611,0.40,-7.45
195612,2.21,-7.84
195701,7.75,-3.02
195702,11.37,2.02
195703,11.09,3.68
195704,3.93,-0.08
195705,6.65,4.46
195706,0.05,-0.85
195707,0.23,0.04
195708,0.02,-0.28
195709,3.75,2.77
195710,9.99,6.50
195711,6.76,-1.09
195712,11.72,1.67
195801,14.00,3.23
195802,27.87,18.52
195803,10.55,3.14
195804,6.61,2.60
195805,2.13,-0.06
195806,2.63,1.73
195807,0.71,0.52
195808,0.64,0.34
195809,0.59,-0.39
195810,0.62,-2.87
195811,3.41,-4.44
195812,5.12,-4.93
195901,18.49,7.72
195902,12.57,3.22
195903,4.12,-3.29
195904,0.78,-3.23
195905,0.71,-1.48
195906,0.06,-0.84
195907,0.00,-0.19
195908,0.19,-0.11
195909,2.77,1.79
195910,0.49,-3.00
195911,0.17,-7.68
195912,3.63,-6.42
196001,8.70,-2.07
196002,16.54,7.19
196003,10.75,3.34
196004,2.99,-1.02
196005,5.31,3.12
196006,0.00,-0.90
196007,0.06,-0.13
196008,0.00,-0.30
196009,0.02,-0.96
196010,1.53,-1.96
196011,10.79,2.94
196012,9.95,-0.10
196101,6.55,-4.22
196102,9.21,-0.14
196103,11.07,3.66
196104,3.16,-0.85
196105,2.93,0.74
196106,0.79,-0.11
196107,0.09,-0.10
196108,0.83,0.53
196109,0.88,-0.10
196110,2.40,-1.09
196111,8.64,0.79
196112,6.64,-3.41
196201,3.96,-6.81
196202,12.61,3.26
196203,7.22,-0.19
196204,1.67,-2.34
196205,1.61,-0.58
196206,0.19,-0.71
196207,0.10,-0.09
196208,1.66,1.36
196209,1.07,0.09
196210,13.58,10.09
196211,6.88,-0.97
196212,7.54,-2.51
196301,4.21,-6.56
196302,10.02,0.67
196303,9.47,2.06
196304,12.63,8.62
196305,2.32,0.13
196306,0.51,-0.39
196307,0.02,-0.17
196308,0.08,-0.22
196309,0.18,-0.80
196310,5.82,2.33
196311,14.28,6.43
196312,3.18,-6.87
196401,11.99,1.22
196402,0.87,-8.48
196403,3.91,-3.50
196404,0.59,-3.42
196405,1.92,-0.27
196406,1.12,0.22
196407,0.26,0.07
196408,0.02,-0.28
196409,0.30,-0.68
196410,2.59,-0.90
196411,12.01,4.16
196412,28.49,18.44
196501,11.51,0.74
196502,1.74,-7.61
196503,1.80,-5.61
196504,9.16,5.15
196505,0.38,-1.81
196506,0.48,-0.42
196507,0.05,-0.14
196508,1.31,1.01
196509,0.02,-0.96
196510,0.52,-2.97
196511,14.62,6.77
196512,6.30,-3.75
196601,13.08,2.31
196602,5.14,-4.21
196603,5.75,-1.66
196604,2.14,-1.87
196605,0.39,-1.80
196606,0.39,-0.51
196607,0.21,0.02
196608,0.26,-0.04
196609,0.87,-0.11
196610,0.23,-3.26
196611,13.53,5.68
196612,11.76,1.71
196701,15.12,4.35
196702,0.74,-8.61
196703,9.70,2.29
196704,7.13,3.12
196705,0.91,-1.28
196706,1.24,0.34
196707,0.08,-0.11
196708,0.28,-0.02
196709,0.35,-0.63
196710,3.25,-0.24
196711,4.75,-3.10
196712,9.43,-0.62
196801,13.43,2.66
196802,10.44,1.09
196803,5.18,-2.23
196804,0.41,-3.60
196805,1.73,-0.46
196806,0.35,-0.55
196807,0.02,-0.17
196808,1.75,1.45
196809,0.32,-0.66
196810,3.44,-0.05
196811,7.45,-0.40
196812,19.92,9.87
196901,18.86,8.09
196902,11.72,2.37
196903,2.62,-4.79
196904,3.29,-0.72
196905,0.67,-1.52
196906,1.40,0.50
196907,0.04,-0.15
196908,0.00,-0.30
196909,0.32,-0.66
196910,4.21,0.72
196911,2.39,-5.46
196912,21.73,11.68
197001,27.45,16.68
197002,4.52,-4.83
197003,4.19,-3.22
197004,1.22,-2.79
197005,0.97,-1.22
197006,1.05,0.15
197007,0.01,-0.18
197008,0.00,-0.30
197009,0.03,-0.95
197010,4.09,0.60
197011,20.97,13.12
197012,15.66,5.61
197101,9.94,-0.83
197102,1.59,-7.76
197103,13.71,6.30
197104,3.11,-0.90
197105,1.87,-0.32
197106,0.59,-0.31
197107,0.24,0.05
197108,0.48,0.18
197109,1.72,0.74
197110,1.48,-2.01
197111,8.68,0.83
197112,8.95,-1.10
197201,8.19,-2.58
197202,8.70,-0.65
197203,7.23,-0.18
197204,4.25,0.24
197205,1.65,-0.54
197206,1.12,0.22
197207,0.00,-0.19
197208,0.55,0.25
197209,2.76,1.78
197210,3.80,0.31
197211,8.69,0.84
197212,10.34,0.29
197301,14.09,3.32
197302,9.72,0.37
197303,5.80,-1.61
197304,1.27,-2.74
197305,0.50,-1.69
197306,0.06,-0.84
197307,0.11,-0.08
197308,0.01,-0.29
197309,2.73,1.75
197310,6.71,3.22
197311,22.69,14.84
197312,14.05,4.00
197401,16.59,5.82
197402,6.96,-2.39
197403,15.07,7.66
197404,4.87,0.86
197405,0.32,-1.87
197406,0.79,-0.11
197407,0.62,0.43
197408,0.39,0.09
197409,0.00,-0.98
197410,2.50,-0.99
197411,3.18,-4.67
197412,8.75,-1.30
197501,7.06,-3.71
197502,15.65,6.30
197503,20.75,13.34
197504,3.66,-0.35
197505,0.59,-1.60
197506,0.28,-0.62
197507,0.26,0.07
197508,0.48,0.18
197509,0.14,-0.84
197510,8.48,4.99
197511,4.97,-2.88
197512,4.66,-5.39
197601,1.90,-8.87
197602,10.26,0.91
197603,2.85,-4.56
197604,3.95,-0.06
197605,0.18,-2.01
197606,0.15,-0.75
197607,0.35,0.16
197608,1.78,1.48
197609,0.98,0.00
197610,0.50,-2.99
197611,2.16,-5.69
197612,0.56,-9.49
197701,3.92,-6.85
197702,3.94,-5.41
197703,4.38,-3.03
197704,0.88,-3.13
197705,3.53,1.34
197706,0.43,-0.47
197707,0.13,-0.06
197708,0.40,0.10
197709,3.81,2.83
197710,2.21,-1.28
197711,8.01,0.16
197712,14.89,4.84
197801,19.53,8.76
197802,9.83,0.48
197803,9.42,2.01
197804,7.62,3.61
197805,1.07,-1.12
197806,0.86,-0.04
197807,0.10,-0.09
197808,0.57,0.27
197809,3.44,2.46
197810,0.02,-3.47
197811,3.12,-4.73
197812,1.73,-8.32
197901,8.82,-1.95
197902,12.46,3.11
197903,5.43,-1.98
197904,4.01,0.00
197905,2.82,0.63
197906,0.08,-0.82
197907,0.33,0.14
197908,0.57,0.27
197909,1.12,0.14
197910,9.23,5.74
197911,10.97,3.12
197912,6.87,-3.18
198001,9.45,-1.32
198002,12.41,3.06
198003,5.15,-2.26
198004,4.32,0.31
198005,1.20,-0.99
198006,0.96,0.06
198007,0.01,-0.18
198008,0.00,-0.30
198009,0.35,-0.63
198010,2.54,-0.95
198011,2.35,-5.50
198012,10.70,0.65
198101,11.65,0.88
198102,6.25,-3.10
198103,6.86,-0.55
198104,2.23,-1.78
198105,1.94,-0.25
198106,0.13,-0.77
198107,0.06,-0.13
198108,0.00,-0.30
198109,1.96,0.98
198110,6.48,2.99
198111,17.23,9.38
198112,17.66,7.61
198201,7.02,-3.75
198202,9.09,-0.26
198203,10.72,3.31
198204,7.66,3.65
198205,0.14,-2.05
198206,2.10,1.20
198207,0.17,-0.02
198208,0.16,-0.14
198209,1.18,0.20
198210,6.81,3.32
198211,12.18,4.33
198212,16.36,6.31
198301,14.33,3.56
198302,19.90,10.55
198303,21.96,14.55
198304,6.64,2.63
198305,1.58,-0.61
198306,0.28,-0.62
198307,0.53,0.34
198308,1.68,1.38
198309,1.56,0.58
198310,2.08,-1.41
198311,18.85,11.00
198312,17.80,7.75
198401,0.81,-9.96
198402,7.89,-1.46
198403,5.41,-2.00
198404,4.45,0.44
198405,1.53,-0.66
198406,0.80,-0.10
198407,0.11,-0.08
198408,0.29,-0.01
198409,0.90,-0.08
198410,4.56,1.07
198411,20.82,12.97
198412,3.45,-6.60
198501,0.90,-9.87
198502,5.15,-4.20
198503,5.71,-1.70
198504,0.47,-3.54
198505,0.66,-1.53
198506,0.40,-0.50
198507,0.24,0.05
198508,0.60,0.30
198509,1.83,0.85
198510,4.35,0.86
198511,5.45,-2.40
198512,6.12,-3.93
198601,12.37,1.60
198602,23.58,14.23
198603,9.53,2.12
198604,1.61,-2.40
198605,1.88,-0.31
198606,0.20,-0.70
198607,0.02,-0.17
198608,0.00,-0.30
198609,4.12,3.14
198610,2.67,-0.82
198611,2.17,-5.68
198612,5.40,-4.65
198701,9.29,-1.48
198702,6.48,-2.87
198703,10.67,3.26
198704,0.89,-3.12
198705,1.19,-1.00
198706,0.28,-0.62
198707,0.36,0.17
198708,0.02,-0.28
198709,0.00,-0.98
198710,0.89,-2.60
198711,4.62,-3.23
198712,18.39,8.34
198801,10.47,-0.30
198802,0.33,-9.02
198803,0.93,-6.48
198804,4.26,0.25
198805,2.88,0.69
198806,2.30,1.40
198807,0.08,-0.11
198808,0.03,-0.27
198809,0.02,-0.96
198810,0.65,-2.84
198811,16.87,9.02
198812,5.91,-4.14
198901,4.44,-6.33
198902,1.87,-7.48
198903,17.72,10.31
198904,2.89,-1.12
198905,1.78,-0.41
198906,0.81,-0.09
198907,0.00,-0.19
198908,0.29,-0.01
198909,3.70,2.72
198910,7.01,3.52
198911,2.28,-5.57
198912,0.23,-9.82
199001,10.24,-0.53
199002,5.07,-4.28
199003,3.79,-3.62
199004,1.38,-2.63
199005,9.31,7.12
199006,0.33,-0.57
199007,0.51,0.32
199008,0.81,0.51
199009,0.65,-0.33
199010,1.92,-1.57
199011,1.46,-6.39
199012,2.48,-7.57
199101,2.46,-8.31
199102,5.77,-3.58
199103,16.29,8.88
199104,2.68,-1.33
199105,1.39,-0.80
199106,0.51,-0.39
199107,0.45,0.26
199108,0.29,-0.01
199109,0.06,-0.92
199110,2.16,-1.33
199111,4.17,-3.68
199112,5.27,-4.78
199201,4.31,-6.46
199202,11.48,2.13
199203,6.50,-0.91
199204,5.42,1.41
199205,0.46,-1.73
199206,2.61,1.71
199207,0.25,0.06
199208,0.01,-0.29
199209,0.16,-0.82
199210,5.88,2.39
199211,3.40,-4.45
199212,15.06,5.01
199301,14.16,3.39
199302,8.68,-0.67
199303,7.35,-0.06
199304,6.56,2.55
199305,7.11,4.92
199306,1.79,0.89
199307,0.01,-0.18
199308,0.43,0.13
199309,0.19,-0.79
199310,2.12,-1.37
199311,1.77,-6.08
199312,9.22,-0.83
199401,6.92,-3.85
199402,7.05,-2.30
199403,1.31,-6.10
199404,2.82,-1.19
