Mono County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
192910,0.02,-0.78
192911,0.00,-1.48
192912,2.12,-0.08
193001,3.03,0.39
193002,2.32,-0.10
193003,1.80,-0.24
193004,1.56,0.45
193005,2.04,1.13
193006,0.20,-0.30
193007,0.12,-0.35
193008,0.61,0.11
193009,0.71,0.18
193010,0.59,-0.21
193011,1.29,-0.19
193012,0.07,-2.13
193101,1.52,-1.12
193102,1.21,-1.21
193103,1.34,-0.70
193104,1.93,0.82
193105,1.34,0.43
193106,0.98,0.48
193107,0.12,-0.35
193108,1.46,0.96
193109,0.44,-0.09
193110,0.79,-0.01
193111,1.97,0.49
193112,6.51,4.31
193201,2.08,-0.56
193202,4.10,1.68
193203,0.46,-1.58
193204,0.93,-0.18
193205,0.79,-0.12
193206,0.78,0.28
193207,0.08,-0.39
193208,0.09,-0.41
193209,0.79,0.26
193210,0.16,-0.64
193211,0.28,-1.20
193212,1.27,-0.93
193301,4.52,1.88
193302,0.40,-2.02
193303,1.63,-0.41
193304,0.37,-0.74
193305,1.33,0.42
193306,0.54,0.04
193307,0.09,-0.38
193308,0.28,-0.22
193309,0.04,-0.49
193310,0.81,0.01
193311,0.24,-1.24
193312,3.75,1.55
193401,1.51,-1.13
193402,1.66,-0.76
193403,0.62,-1.42
193404,0.04,-1.07
193405,0.83,-0.08
193406,1.77,1.27
193407,0.16,-0.31
193408,0.69,0.19
193409,0.38,-0.15
193410,1.65,0.85
193411,2.08,0.60
193412,1.42,-0.78
193501,3.98,1.34
193502,1.60,-0.82
193503,2.11,0.07
193504,4.26,3.15
193505,0.32,-0.59
193506,0.00,-0.50
193507,0.68,0.21
193508,1.20,0.70
193509,0.07,-0.46
193510,0.68,-0.12
193511,1.01,-0.47
193512,2.16,-0.04
193601,2.14,-0.50
193602,8.59,6.17
193603,0.80,-1.24
193604,0.73,-0.38
193605,0.26,-0.65
193606,0.97,0.47
193607,1.43,0.96
193608,0.69,0.19
193609,0.07,-0.46
193610,1.83,1.03
193611,0.01,-1.47
193612,5.04,2.84
193701,2.49,-0.15
193702,4.94,2.52
193703,2.09,0.05
193704,0.49,-0.62
