Alpine County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
192511,1.97,-1.83
192512,1.40,-4.30
192601,4.07,-2.53
192602,7.96,2.03
192603,0.47,-4.63
192604,4.29,1.48
192605,1.09,-0.72
192606,1.12,0.29
192607,0.21,-0.24
192608,0.03,-0.41
192609,0.00,-0.83
192610,0.43,-1.41
192611,13.09,9.29
192612,3.54,-2.16
192701,4.26,-2.34
192702,9.42,3.49
192703,3.42,-1.68
192704,4.96,2.15
192705,0.86,-0.95
192706,1.28,0.45
192707,0.12,-0.33
192708,0.13,-0.31
192709,0.28,-0.55
192710,3.49,1.65
192711,3.66,-0.14
192712,2.85,-2.85
192801,2.60,-4.00
192802,1.32,-4.61
192803,8.02,2.92
192804,2.80,-0.01
192805,0.59,-1.22
192806,0.12,-0.71
192807,0.04,-0.41
192808,0.03,-0.41
192809,0.03,-0.80
192810,0.39,-1.45
192811,1.77,-2.03
192812,3.92,-1.78
192901,1.95,-4.65
192902,4.01,-1.92
192903,3.49,-1.61
192904,3.46,0.65
192905,0.36,-1.45
192906,2.40,1.57
192907,0.12,-0.33
192908,0.03,-0.41
192909,0.09,-0.74
192910,0.18,-1.66
192911,0.00,-3.80
192912,5.58,-0.12
193001,8.90,2.30
193002,4.86,-1.07
193003,4.65,-0.45
193004,4.18,1.37
193005,3.92,2.11
193006,0.02,-0.81
193007,0.20,-0.25
193008,0.54,0.10
193009,2.36,1.53
193010,0.58,-1.26
193011,4.01,0.21
193012,0.32,-5.38
193101,3.23,-3.37
193102,2.30,-3.63
193103,3.11,-1.99
193104,3.90,1.09
193105,1.97,0.16
193106,1.18,0.35
193107,0.04,-0.41
193108,0.38,-0.06
193109,0.63,-0.20
193110,1.03,-0.81
193111,4.45,0.65
193112,13.20,7.50
193201,4.70,-1.90
193202,7.12,1.19
193203,1.33,-3.77
193204,2.36,-0.45
193205,1.31,-0.50
193206,1.10,0.27
193207,0.15,-0.30
193208,0.10,-0.34
193209,0.44,-0.39
193210,0.11,-1.73
193211,0.63,-3.17
193212,2.72,-2.98
193301,10.79,4.19
193302,1.01,-4.92
193303,3.51,-1.59
193304,0.46,-2.35
193305,2.53,0.72
193306,0.38,-0.45
193307,0.11,-0.34
193308,0.38,-0.06
193309,0.17,-0.66
193310,2.76,0.92
193311,0.46,-3.34
193312,9.19,3.49
193401,2.78,-3.82
193402,3.10,-2.83
193403,1.10,-4.00
193404,0.26,-2.55
193405,1.50,-0.31
193406,2.15,1.32
193407,0.00,-0.45
193408,0.40,-0.04
193409,0.83,0.00
193410,2.47,0.63
193411,4.51,0.71
193412,2.55,-3.15
193501,6.45,-0.15
193502,2.56,-3.37
193503,5.39,0.29
193504,9.99,7.18
193505,0.33,-1.48
193506,0.01,-0.82
193507,0.71,0.26
193508,0.90,0.46
193509,0.00,-0.83
193510,1.70,-0.14
193511,1.88,-1.92
193512,3.49,-2.21
193601,8.71,2.11
193602,19.35,13.42
193603,1.90,-3.20
193604,1.31,-1.50
193605,0.84,-0.97
193606,2.37,1.54
193607,0.45,0.00
193608,0.33,-0.11
193609,0.36,-0.47
193610,1.38,-0.46
193611,0.15,-3.65
193612,8.55,2.85
193701,6.10,-0.50
193702,11.83,5.90
193703,4.57,-0.53
193704,1.96,-0.85
193705,0.37,-1.44
193706,0.74,-0.09
193707,1.38,0.93
193708,0.00,-0.44
193709,0.04,-0.79
193710,1.05,-0.79
193711,3.39,-0.41
193712,10.50,4.80
193801,4.28,-2.32
193802,15.28,9.35
193803,15.86,10.76
193804,2.82,0.01
193805,1.07,-0.74
193806,1.79,0.96
193807,0.96,0.51
193808,0.09,-0.35
193809,0.40,-0.43
193810,2.27,0.43
193811,1.93,-1.87
193812,1.12,-4.58
193901,4.92,-1.68
193902,3.38,-2.55
193903,4.35,-0.75
193904,1.39,-1.42
193905,2.17,0.36
193906,0.30,-0.53
193907,0.31,-0.14
193908,0.08,-0.36
193909,2.36,1.53
193910,2.15,0.31
193911,0.50,-3.30
193912,1.31,-4.39
194001,14.75,8.15
194002,9.82,3.89
194003,8.26,3.16
194004,1.15,-1.66
194005,0.46,-1.35
194006,0.59,-0.24
194007,0.08,-0.37
194008,0.20,-0.24
194009,0.18,-0.65
194010,1.47,-0.37
194011,1.14,-2.66
194012,11.84,6.14
194101,5.45,-1.15
194102,5.93,0.00
194103,4.36,-0.74
194104,5.12,2.31
194105,1.48,-0.33
194106,1.32,0.49
194107,0.18,-0.27
194108,0.64,0.20
194109,0.17,-0.66
194110,2.69,0.85
194111,1.66,-2.14
194112,14.99,9.29
194201,8.87,2.27
194202,3.65,-2.28
194203,2.32,-2.78
194204,5.76,2.95
194205,3.91,2.10
194206,0.09,-0.74
194207,0.15,-0.30
194208,0.37,-0.07
194209,0.12,-0.71
194210,0.26,-1.58
194211,9.02,5.22
194212,5.60,-0.10
194301,13.06,6.46
194302,3.52,-2.41
194303,8.63,3.53
194304,2.87,0.06
194305,0.81,-1.00
194306,0.91,0.08
194307,0.55,0.10
194308,0.00,-0.44
194309,0.01,-0.82
194310,1.14,-0.70
194311,0.85,-2.95
194312,2.48,-3.22
194401,5.47,-1.13
194402,6.61,0.68
194403,3.21,-1.89
194404,3.47,0.66
194405,1.69,-0.12
194406,0.48,-0.35
194407,0.18,-0.27
194408,0.00,-0.44
194409,0.28,-0.55
194410,2.60,0.76
194411,7.24,3.44
194412,3.78,-1.92
194501,0.90,-5.70
194502,10.07,4.14
194503,7.70,2.60
194504,1.28,-1.53
194505,3.27,1.46
194506,2.10,1.27
194507,0.95,0.50
194508,0.71,0.27
194509,0.16,-0.67
194510,5.92,4.08
194511,4.85,1.05
194512,11.02,5.32
194601,2.20,-4.40
194602,2.19,-3.74
194603,6.56,1.46
194604,0.39,-2.42
194605,0.89,-0.92
194606,0.00,-0.83
194607,0.92,0.47
194608,0.02,-0.42
194609,0.37,-0.46
194610,2.52,0.68
194611,9.96,6.16
194612,3.19,-2.51
194701,1.43,-5.17
194702,2.78,-3.15
194703,5.43,0.33
194704,1.48,-1.33
194705,0.93,-0.88
194706,0.55,-0.28
194707,0.00,-0.45
194708,0.19,-0.25
194709,0.11,-0.72
194710,3.98,2.14
