Tuolumne County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
192506,1.03,0.34
192507,0.45,0.28
192508,0.41,0.22
192509,0.56,-0.18
192510,2.32,0.26
192511,2.36,-1.97
192512,2.82,-3.55
192601,4.62,-3.06
192602,10.34,3.31
192603,0.75,-5.59
192604,6.96,3.57
192605,0.90,-0.96
192606,0.42,-0.27
192607,0.14,-0.03
192608,0.01,-0.18
192609,0.00,-0.74
192610,0.76,-1.30
192611,13.25,8.92
192612,3.36,-3.01
192701,5.94,-1.74
192702,11.62,4.59
192703,4.01,-2.33
192704,5.12,1.73
192705,1.18,-0.68
192706,0.91,0.22
192707,0.07,-0.10
192708,0.14,-0.05
192709,0.26,-0.48
192710,5.39,3.33
192711,5.45,1.12
192712,5.13,-1.24
192801,2.67,-5.01
192802,4.21,-2.82
192803,11.59,5.25
192804,3.59,0.20
192805,0.91,-0.95
192806,0.31,-0.38
192807,0.01,-0.16
192808,0.00,-0.19
192809,0.00,-0.74
192810,0.36,-1.70
192811,3.77,-0.56
192812,5.04,-1.33
192901,2.98,-4.70
192902,4.13,-2.90
192903,5.88,-0.46
192904,4.58,1.19
192905,0.49,-1.37
192906,3.34,2.65
192907,0.03,-0.14
192908,0.02,-0.17
192909,0.35,-0.39
192910,0.08,-1.98
192911,0.00,-4.33
192912,5.05,-1.32
193001,9.23,1.55
193002,6.21,-0.82
193003,5.59,-0.75
193004,3.67,0.28
193005,2.36,0.50
193006,0.15,-0.54
193007,0.02,-0.15
193008,0.18,-0.01
193009,1.52,0.78
193010,0.96,-1.10
193011,4.99,0.66
193012,0.28,-6.09
193101,6.06,-1.62
193102,3.96,-3.07
193103,2.58,-3.76
193104,2.89,-0.50
193105,2.41,0.55
193106,1.16,0.47
193107,0.02,-0.15
193108,0.33,0.14
193109,0.33,-0.41
193110,1.06,-1.00
193111,5.77,1.44
193112,16.07,9.70
193201,6.71,-0.97
193202,8.54,1.51
193203,1.30,-5.04
193204,2.43,-0.96
193205,2.97,1.11
193206,0.50,-0.19
193207,0.21,0.04
193208,0.15,-0.04
193209,0.32,-0.42
193210,0.07,-1.99
193211,0.79,-3.54
193212,4.01,-2.36
193301,10.82,3.14
193302,1.64,-5.39
193303,4.54,-1.80
193304,1.11,-2.28
193305,3.63,1.77
193306,0.65,-0.04
193307,0.03,-0.14
193308,0.05,-0.14
193309,0.14,-0.60
193310,2.52,0.46
193311,0.13,-4.20
193312,9.62,3.25
193401,3.89,-3.79
193402,7.14,0.11
193403,0.90,-5.44
193404,0.30,-3.09
193405,1.96,0.10
193406,1.40,0.71
193407,0.00,-0.17
193408,0.16,-0.03
193409,1.19,0.45
193410,3.50,1.44
193411,6.09,1.76
193412,4.64,-1.73
193501,10.22,2.54
193502,3.28,-3.75
193503,6.97,0.63
193504,12.05,8.66
193505,0.43,-1.43
193506,0.00,-0.69
193507,0.20,0.03
193508,0.30,0.11
193509,0.02,-0.72
193510,2.66,0.60
193511,2.14,-2.19
193512,3.45,-2.92
193601,9.63,1.95
193602,21.98,14.95
193603,2.73,-3.61
193604,2.56,-0.83
193605,0.83,-1.03
193606,2.23,1.54
193607,0.55,0.38
193608,0.11,-0.08
193609,0.25,-0.49
193610,2.08,0.02
193611,0.13,-4.20
193612,10.72,4.35
193701,6.84,-0.84
193702,13.83,6.80
193703,8.22,1.88
193704,2.36,-1.03
193705,0.15,-1.71
193706,0.56,-0.13
193707,0.32,0.15
193708,0.00,-0.19
193709,0.00,-0.74
193710,1.03,-1.03
193711,3.25,-1.08
193712,12.02,5.65
193801,6.62,-1.06
193802,17.16,10.13
193803,15.48,9.14
193804,5.01,1.62
193805,1.35,-0.51
193806,1.00,0.31
