Mendocino County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
192902,4.48,-4.34
192903,2.87,-4.16
192904,2.47,-0.96
192905,0.22,-1.35
192906,1.94,1.44
192907,0.00,-0.04
192908,0.00,-0.13
192909,0.00,-0.66
192910,0.15,-2.73
192911,0.00,-6.68
192912,17.97,8.57
193001,7.62,-2.85
193002,7.21,-1.61
193003,4.27,-2.76
193004,3.69,0.26
193005,0.93,-0.64
193006,0.00,-0.50
193007,0.00,-0.04
193008,0.00,-0.13
193009,1.12,0.46
193010,0.75,-2.13
193011,3.62,-3.06
193012,2.68,-6.72
193101,9.55,-0.92
193102,2.79,-6.03
193103,4.13,-2.90
193104,1.04,-2.39
193105,2.09,0.52
193106,1.46,0.96
193107,0.00,-0.04
193108,0.00,-0.13
193109,0.12,-0.54
193110,3.44,0.56
193111,4.41,-2.27
193112,18.67,9.27
193201,6.02,-4.45
193202,1.32,-7.50
193203,2.14,-4.89
193204,3.72,0.29
193205,2.22,0.65
193206,0.05,-0.45
193207,0.01,-0.03
193208,0.00,-0.13
193209,0.00,-0.66
193210,0.18,-2.70
193211,3.52,-3.16
193212,7.18,-2.22
193301,10.84,0.37
193302,2.20,-6.62
193303,8.26,1.23
193304,0.44,-2.99
193305,4.07,2.50
193306,0.02,-0.48
193307,0.00,-0.04
193308,0.00,-0.13
193309,0.38,-0.28
193310,3.47,0.59
193311,0.14,-6.54
193312,14.46,5.06
193401,3.26,-7.21
193402,6.89,-1.93
193403,3.38,-3.65
193404,2.34,-1.09
193405,1.73,0.16
193406,0.89,0.39
193407,0.00,-0.04
193408,0.00,-0.13
193409,0.47,-0.19
193410,4.89,2.01
193411,9.89,3.21
193412,5.29,-4.11
193501,10.79,0.32
193502,4.31,-4.51
193503,6.69,-0.34
193504,7.44,4.01
193505,0.12,-1.45
193506,0.00,-0.50
193507,0.03,-0.01
193508,0.05,-0.08
193509,1.02,0.36
193510,2.74,-0.14
193511,2.78,-3.90
193512,6.89,-2.51
193601,16.13,5.66
193602,14.70,5.88
193603,2.60,-4.43
193604,3.37,-0.06
193605,1.76,0.19
193606,2.39,1.89
193607,0.21,0.17
193608,0.00,-0.13
193609,0.09,-0.57
193610,0.37,-2.51
193611,0.03,-6.65
193612,4.36,-5.04
193701,6.32,-4.15
193702,13.29,4.47
193703,10.08,3.05
193704,3.69,0.26
193705,0.39,-1.18
193706,2.33,1.83
193707,0.08,0.04
193708,0.00,-0.13
193709,0.07,-0.59
193710,3.57,0.69
193711,16.98,10.30
193712,13.37,3.97
193801,8.75,-1.72
193802,17.38,8.56
193803,16.00,8.97
193804,3.76,0.33
193805,0.56,-1.01
193806,0.00,-0.50
193807,0.01,-0.03
193808,0.00,-0.13
