Contra Costa County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
194411,4.51,2.45
194412,3.08,-0.13
194501,0.99,-3.10
194502,3.90,0.53
194503,3.53,0.77
194504,0.24,-0.98
194505,0.58,0.04
194506,0.02,-0.11
194507,0.01,0.00
194508,0.00,-0.03
194509,0.00,-0.19
194510,2.07,1.19
194511,2.10,0.04
194512,6.80,3.59
194601,1.09,-3.00
194602,1.30,-2.07
194603,1.83,-0.93
194604,0.07,-1.15
194605,0.55,0.01
194606,0.00,-0.13
194607,0.02,0.01
194608,0.00,-0.03
194609,0.03,-0.16
194610,0.15,-0.73
194611,2.71,0.65
194612,2.35,-0.86
194701,0.76,-3.33
194702,1.72,-1.65
194703,2.88,0.12
194704,0.32,-0.90
194705,0.30,-0.24
194706,0.48,0.35
194707,0.00,-0.01
194708,0.00,-0.03
194709,0.00,-0.19
194710,2.63,1.75
194711,1.01,-1.05
194712,0.84,-2.37
194801,0.70,-3.39
194802,1.37,-2.00
194803,3.26,0.50
194804,2.93,1.71
194805,1.26,0.72
194806,0.13,0.00
194807,0.00,-0.01
194808,0.00,-0.03
194809,0.04,-0.15
194810,0.45,-0.43
194811,0.49,-1.57
194812,3.95,0.74
194901,1.50,-2.59
194902,2.42,-0.95
194903,4.34,1.58
194904,0.01,-1.21
194905,0.34,-0.20
194906,0.00,-0.13
194907,0.04,0.03
194908,0.10,0.07
194909,0.05,-0.14
194910,0.08,-0.80
194911,1.32,-0.74
194912,1.98,-1.23
195001,6.11,2.02
195002,2.22,-1.15
195003,1.70,-1.06
195004,1.04,-0.18
195005,0.36,-0.18
195006,0.04,-0.09
195007,0.00,-0.01
195008,0.00,-0.03
195009,0.07,-0.12
195010,2.08,1.20
195011,5.39,3.33
195012,5.95,2.74
195101,3.26,-0.83
195102,2.00,-1.37
195103,1.49,-1.27
195104,0.78,-0.44
195105,0.69,0.15
195106,0.02,-0.11
195107,0.00,-0.01
195108,0.09,0.06
195109,0.05,-0.14
195110,1.04,0.16
195111,3.25,1.19
195112,6.74,3.53
195201,8.46,4.37
195202,1.90,-1.47
195203,4.15,1.39
195204,1.44,0.22
195205,0.17,-0.37
195206,0.28,0.15
195207,0.00,-0.01
195208,0.00,-0.03
195209,0.03,-0.16
195210,0.02,-0.86
195211,2.35,0.29
195212,7.81,4.60
195301,2.89,-1.20
195302,0.01,-3.36
195303,1.80,-0.96
195304,2.05,0.83
195305,0.52,-0.02
195306,0.35,0.22
195307,0.00,-0.01
195308,0.13,0.10
195309,0.00,-0.19
195310,0.33,-0.55
195311,1.95,-0.11
195312,0.68,-2.53
195401,3.17,-0.92
195402,2.85,-0.52
195403,3.30,0.54
195404,1.33,0.11
195405,0.22,-0.32
195406,0.24,0.11
195407,0.01,0.00
195408,0.07,0.04
195409,0.00,-0.19
195410,0.05,-0.83
195411,2.19,0.13
195412,4.34,1.13
195501,3.64,-0.45
195502,1.52,-1.85
195503,0.50,-2.26
195504,1.76,0.54
195505,0.53,-0.01
195506,0.00,-0.13
195507,0.00,-0.01
195508,0.00,-0.03
195509,0.09,-0.10
195510,0.08,-0.80
195511,1.63,-0.43
195512,12.01,8.80
195601,6.72,2.63
195602,2.14,-1.23
195603,0.10,-2.66
195604,1.65,0.43
195605,0.67,0.13
195606,0.00,-0.13
195607,0.01,0.00
195608,0.00,-0.03
195609,0.46,0.27
195610,1.22,0.34
195611,0.04,-2.02
195612,0.34,-2.87
195701,2.79,-1.30
195702,3.67,0.30
195703,1.92,-0.84
195704,1.34,0.12
195705,2.51,1.97
195706,0.04,-0.09
195707,0.00,-0.01
195708,0.00,-0.03
195709,0.49,0.30
195710,2.32,1.44
195711,0.50,-1.56
195712,3.33,0.12
195801,4.87,0.78
195802,7.70,4.33
195803,5.84,3.08
195804,5.12,3.90
195805,0.66,0.12
195806,0.31,0.18
195807,0.01,0.00
195808,0.04,0.01
195809,0.06,-0.13
195810,0.11,-0.77
195811,0.11,-1.95
195812,1.05,-2.16
195901,3.98,-0.11
195902,4.45,1.08
195903,0.40,-2.36
195904,0.34,-0.88
195905,0.03,-0.51
195906,0.00,-0.13
195907,0.00,-0.01
195908,0.01,-0.02
195909,1.07,0.88
195910,0.01,-0.87
195911,0.00,-2.06
