Yolo County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
193509,0.01,-0.21
193510,1.04,0.10
193511,1.26,-0.98
193512,2.11,-1.51
193601,3.67,-0.58
193602,9.37,5.51
193603,1.19,-1.65
193604,1.36,0.12
193605,0.88,0.29
193606,0.74,0.56
193607,0.00,-0.01
193608,0.00,-0.02
193609,0.15,-0.07
193610,0.41,-0.53
193611,0.02,-2.22
193612,3.05,-0.57
193701,3.56,-0.69
193702,7.30,3.44
193703,5.91,3.07
193704,0.49,-0.75
193705,0.01,-0.58
193706,0.48,0.30
193707,0.03,0.02
193708,0.00,-0.02
193709,0.00,-0.22
193710,0.70,-0.24
193711,3.24,1.00
193712,4.41,0.79
193801,3.56,-0.69
193802,10.37,6.51
193803,5.48,2.64
193804,1.41,0.17
193805,0.15,-0.44
193806,0.00,-0.18
193807,0.00,-0.01
193808,0.00,-0.02
193809,0.22,0.00
193810,1.01,0.07
193811,0.96,-1.28
193812,1.08,-2.54
193901,1.88,-2.37
193902,0.91,-2.95
193903,2.18,-0.66
193904,0.18,-1.06
193905,0.66,0.07
193906,0.00,-0.18
193907,0.00,-0.01
193908,0.00,-0.02
193909,0.32,0.10
193910,0.66,-0.28
193911,0.13,-2.11
193912,1.48,-2.14
194001,8.32,4.07
194002,9.17,5.31
194003,4.32,1.48
194004,0.84,-0.40
194005,1.12,0.53
194006,0.00,-0.18
194007,0.00,-0.01
194008,0.00,-0.02
194009,0.13,-0.09
194010,1.04,0.10
194011,1.40,-0.84
194012,11.24,7.62
194101,7.48,3.23
194102,7.26,3.40
194103,4.44,1.60
194104,4.31,3.07
194105,1.49,0.90
194106,0.05,-0.13
194107,0.00,-0.01
194108,0.01,-0.01
194109,0.01,-0.21
194110,1.52,0.58
194111,1.97,-0.27
194112,7.72,4.10
194201,4.81,0.56
194202,4.41,0.55
194203,2.82,-0.02
194204,3.99,2.75
194205,0.92,0.33
194206,0.00,-0.18
194207,0.00,-0.01
194208,0.00,-0.02
194209,0.02,-0.20
194210,0.60,-0.34
194211,2.26,0.02
194212,3.39,-0.23
194301,6.94,2.69
194302,1.44,-2.42
194303,2.77,-0.07
194304,1.64,0.40
194305,0.12,-0.47
194306,0.07,-0.11
194307,0.00,-0.01
194308,0.00,-0.02
194309,0.00,-0.22
194310,0.33,-0.61
194311,0.65,-1.59
194312,2.27,-1.35
194401,3.50,-0.75
194402,6.16,2.30
194403,1.42,-1.42
194404,1.59,0.35
194405,0.99,0.40
194406,0.33,0.15
194407,0.00,-0.01
194408,0.00,-0.02
194409,0.00,-0.22
194410,1.02,0.08
194411,3.92,1.68
194412,2.58,-1.04
194501,1.53,-2.72
194502,3.83,-0.03
194503,3.14,0.30
194504,0.14,-1.10
194505,0.58,-0.01
194506,0.17,-0.01
194507,0.00,-0.01
194508,0.00,-0.02
194509,0.00,-0.22
194510,2.98,2.04
194511,2.71,0.47
194512,6.48,2.86
194601,0.82,-3.43
194602,1.14,-2.72
194603,1.44,-1.40
194604,0.33,-0.91
194605,0.48,-0.11
194606,0.00,-0.18
194607,0.05,0.04
194608,0.00,-0.02
194609,0.04,-0.18
194610,0.29,-0.65
194611,2.72,0.48
194612,3.07,-0.55
194701,0.47,-3.78
194702,2.75,-1.11
194703,3.22,0.38
194704,0.35,-0.89
194705,0.29,-0.30
194706,0.67,0.49
194707,0.00,-0.01
194708,0.01,-0.01
194709,0.00,-0.22
194710,2.69,1.75
194711,0.86,-1.38
194712,0.90,-2.72
194801,0.75,-3.50
194802,0.97,-2.89
194803,3.28,0.44
194804,3.65,2.41
194805,2.05,1.46
194806,0.42,0.24
194807,0.00,-0.01
194808,0.00,-0.02
194809,0.28,0.06
194810,1.00,0.06
194811,0.52,-1.72
194812,4.70,1.08
194901,1.54,-2.71
194902,1.97,-1.89
194903,5.34,2.50
194904,0.00,-1.24
194905,0.64,0.05
194906,0.00,-0.18
194907,0.02,0.01
194908,0.03,0.01
194909,0.01,-0.21
194910,0.04,-0.90
194911,1.22,-1.02
194912,1.66,-1.96
195001,4.94,0.69
195002,3.62,-0.24
195003,1.45,-1.39
195004,0.95,-0.29
195005,0.28,-0.31
195006,0.02,-0.16
195007,0.00,-0.01
195008,0.00,-0.02
195009,0.25,0.03
195010,2.68,1.74
195011,4.50,2.26
195012,5.88,2.26
195101,2.65,-1.60
195102,1.60,-2.26
195103,1.20,-1.64
195104,0.85,-0.39
195105,0.98,0.39
195106,0.00,-0.18
195107,0.00,-0.01
195108,0.00,-0.02
195109,0.03,-0.19
195110,1.67,0.73
195111,2.83,0.59
195112,6.10,2.48
195201,8.45,4.20
195202,1.68,-2.18
195203,3.57,0.73
195204,0.90,-0.34
195205,0.09,-0.50
195206,0.44,0.26
195207,0.02,0.01
195208,0.00,-0.02
195209,0.03,-0.19
195210,0.02,-0.92
195211,1.85,-0.39
195212,9.18,5.56
195301,3.30,-0.95
195302,0.04,-3.82
195303,1.95,-0.89
195304,2.24,1.00
195305,0.59,0.00
195306,0.69,0.51
195307,0.00,-0.01
195308,0.14,0.12
195309,0.00,-0.22
195310,0.31,-0.63
195311,2.35,0.11
195312,0.50,-3.12
195401,4.03,-0.22
195402,3.70,-0.16
195403,3.59,0.75
195404,1.73,0.49
195405,0.20,-0.39
195406,0.10,-0.08
195407,0.01,0.00
195408,0.17,0.15
195409,0.00,-0.22
195410,0.09,-0.85
195411,3.33,1.09
195412,4.36,0.74
195501,2.67,-1.58
195502,1.32,-2.54
195503,0.45,-2.39
195504,1.99,0.75
195505,0.33,-0.26
195506,0.00,-0.18
195507,0.00,-0.01
195508,0.00,-0.02
195509,0.77,0.55
195510,0.36,-0.58
195511,1.59,-0.65
195512,12.62,9.00
195601,6.70,2.45
195602,3.66,-0.20
195603,0.08,-2.76
195604,1.73,0.49
195605,0.66,0.07
195606,0.03,-0.15
195607,0.00,-0.01
195608,0.00,-0.02
195609,0.49,0.27
195610,1.32,0.38
195611,0.06,-2.18
195612,0.16,-3.46
195701,2.67,-1.58
195702,4.07,0.21
195703,1.58,-1.26
195704,1.36,0.12
195705,1.63,1.04
195706,0.02,-0.16
195707,0.00,-0.01
195708,0.00,-0.02
195709,0.93,0.71
195710,2.43,1.49
195711,0.43,-1.81
195712,3.21,-0.41
195801,4.95,0.70
195802,9.51,5.65
195803,5.06,2.22
195804,4.07,2.83
195805,0.74,0.15
195806,0.29,0.11
195807,0.02,0.01
195808,0.01,-0.01
195809,0.06,-0.16
195810,0.18,-0.76
195811,0.08,-2.16
195812,1.15,-2.47
195901,5.00,0.75
195902,5.16,1.30
195903,0.50,-2.34
195904,0.32,-0.92
195905,0.03,-0.56
195906,0.00,-0.18
195907,0.00,-0.01
195908,0.00,-0.02
195909,1.27,1.05
195910,0.00,-0.94
195911,0.00,-2.24
195912,1.68,-1.94
196001,3.61,-0.64
196002,3.73,-0.13
196003,1.99,-0.85
196004,1.16,-0.08
196005,0.81,0.22
196006,0.00,-0.18
196007,0.01,0.00
196008,0.00,-0.02
196009,0.01,-0.21
196010,0.19,-0.75
196011,3.78,1.54
196012,1.86,-1.76
196101,3.77,-0.48
196102,1.56,-2.30
196103,2.39,-0.45
196104,0.82,-0.42
196105,0.18,-0.41
196106,0.21,0.03
196107,0.00,-0.01
196108,0.03,0.01
196109,0.23,0.01
196110,0.11,-0.83
196111,2.78,0.54
196112,2.78,-0.84
196201,0.97,-3.28
196202,7.70,3.84
196203,2.44,-0.40
196204,0.18,-1.06
196205,0.15,-0.44
196206,0.01,-0.17
196207,0.00,-0.01
196208,0.04,0.02
196209,0.07,-0.15
196210,5.29,4.35
196211,0.56,-1.68
196212,2.77,-0.85
196301,4.48,0.23
196302,2.97,-0.89
196303,3.84,1.00
196304,3.87,2.63
196305,0.74,0.15
196306,0.11,-0.07
196307,0.00,-0.01
196308,0.00,-0.02
196309,0.22,0.00
196310,1.60,0.66
196311,4.49,2.25
196312,0.55,-3.07
196401,3.56,-0.69
196402,0.12,-3.74
196403,1.32,-1.52
196404,0.24,-1.00
196405,0.25,-0.34
196406,0.53,0.35
196407,0.03,0.02
196408,0.07,0.05
196409,0.01,-0.21
196410,1.76,0.82
196411,3.46,1.22
196412,6.15,2.53
196501,4.19,-0.06
196502,0.62,-3.24
196503,1.00,-1.84
196504,2.85,1.61
196505,0.04,-0.55
196506,0.00,-0.18
196507,0.02,0.01
196508,0.24,0.22
196509,0.00,-0.22
196510,0.05,-0.89
196511,4.45,2.21
196512,3.25,-0.37
196601,2.73,-1.52
196602,2.51,-1.35
196603,0.26,-2.58
196604,0.61,-0.63
196605,0.19,-0.40
196606,0.09,-0.09
196607,0.04,0.03
196608,0.08,0.06
196609,0.21,-0.01
196610,0.00,-0.94
196611,6.25,4.01
196612,3.95,0.33
196701,8.76,4.51
196702,0.52,-3.34
196703,4.25,1.41
196704,4.05,2.81
196705,0.08,-0.51
196706,0.88,0.70
196707,0.01,0.00
196708,0.00,-0.02
196709,0.08,-0.14
196710,0.41,-0.53
196711,1.34,-0.90
196712,1.63,-1.99
196801,5.44,1.19
196802,2.82,-1.04
196803,2.72,-0.12
196804,0.31,-0.93
196805,0.23,-0.36
196806,0.05,-0.13
196807,0.00,-0.01
196808,0.16,0.14
196809,0.00,-0.22
196810,0.81,-0.13
196811,2.91,0.67
196812,4.72,1.10
196901,9.04,4.79
196902,7.10,3.24
196903,1.65,-1.19
196904,1.50,0.26
196905,0.02,-0.57
196906,0.09,-0.09
196907,0.01,0.00
196908,0.00,-0.02
196909,0.02,-0.20
196910,1.27,0.33
196911,0.77,-1.47
196912,6.54,2.92
197001,8.97,4.72
197002,1.93,-1.93
197003,1.89,-0.95
197004,0.23,-1.01
197005,0.02,-0.57
197006,0.37,0.19
197007,0.00,-0.01
197008,0.00,-0.02
197009,0.04,-0.18
197010,0.93,-0.01
197011,7.18,4.94
197012,5.58,1.96
197101,1.59,-2.66
197102,0.17,-3.69
197103,2.31,-0.53
197104,0.48,-0.76
197105,1.01,0.42
197106,0.02,-0.16
197107,0.00,-0.01
197108,0.00,-0.02
197109,0.08,-0.14
197110,0.18,-0.76
197111,1.24,-1.00
197112,5.14,1.52
197201,1.09,-3.16
197202,1.66,-2.20
197203,0.22,-2.62
197204,1.08,-0.16
197205,0.33,-0.26
197206,0.20,0.02
197207,0.00,-0.01
197208,0.00,-0.02
197209,0.66,0.44
197210,2.55,1.61
197211,5.61,3.37
197212,2.48,-1.14
197301,9.22,4.97
197302,6.58,2.72
197303,2.76,-0.08
197304,0.17,-1.07
197305,0.13,-0.46
197306,0.00,-0.18
197307,0.00,-0.01
197308,0.00,-0.02
197309,0.26,0.04
197310,1.56,0.62
197311,6.71,4.47
197312,4.49,0.87
197401,3.93,-0.32
197402,1.16,-2.70
197403,4.61,1.77
197404,1.24,0.00
197405,0.02,-0.57
197406,0.23,0.05
197407,0.06,0.05
197408,0.02,0.00
197409,0.00,-0.22
197410,1.12,0.18
197411,0.75,-1.49
197412,3.53,-0.09
197501,0.78,-3.47
197502,7.61,3.75
197503,5.32,2.48
197504,0.94,-0.30
197505,0.01,-0.58
197506,0.03,-0.15
197507,0.06,0.05
197508,0.14,0.12
197509,0.00,-0.22
197510,2.22,1.28
197511,0.33,-1.91
197512,0.58,-3.04
197601,0.40,-3.85
197602,0.92,-2.94
197603,1.07,-1.77
197604,1.16,-0.08
197605,0.00,-0.59
197606,0.10,-0.08
197607,0.00,-0.01
197608,0.24,0.22
197609,0.37,0.15
197610,0.21,-0.73
197611,0.69,-1.55
197612,0.95,-2.67
197701,1.46,-2.79
197702,1.36,-2.50
197703,1.86,-0.98
197704,0.08,-1.16
197705,1.28,0.69
197706,0.00,-0.18
197707,0.01,0.00
197708,0.00,-0.02
197709,0.67,0.45
197710,0.25,-0.69
197711,3.22,0.98
197712,4.02,0.40
197801,10.08,5.83
197802,4.26,0.40
197803,4.31,1.47
197804,2.19,0.95
197805,0.07,-0.52
197806,0.02,-0.16
197807,0.00,-0.01
197808,0.00,-0.02
197809,0.51,0.29
197810,0.00,-0.94
197811,2.47,0.23
197812,0.73,-2.89
197901,6.28,2.03
197902,5.04,1.18
197903,2.21,-0.63
197904,1.19,-0.05
197905,0.22,-0.37
197906,0.01,-0.17
197907,0.02,0.01
197908,0.02,0.00
197909,0.02,-0.20
197910,2.04,1.10
197911,2.24,0.00
197912,4.95,1.33
198001,5.29,1.04
198002,8.44,4.58
198003,2.08,-0.76
198004,1.06,-0.18
198005,0.35,-0.24
198006,0.12,-0.06
198007,0.06,0.05
198008,0.00,-0.02
198009,0.00,-0.22
198010,0.17,-0.77
198011,0.19,-2.05
198012,2.81,-0.81
198101,5.12,0.87
198102,1.14,-2.72
198103,3.41,0.57
198104,0.62,-0.62
198105,0.30,-0.29
198106,0.00,-0.18
198107,0.00,-0.01
198108,0.00,-0.02
198109,0.41,0.19
198110,2.30,1.36
198111,6.31,4.07
198112,4.54,0.92
198201,6.06,1.81
198202,2.74,-1.12
198203,6.44,3.60
198204,4.30,3.06
198205,0.01,-0.58
198206,0.20,0.02
198207,0.00,-0.01
198208,0.00,-0.02
198209,1.22,1.00
198210,3.00,2.06
198211,6.25,4.01
198212,2.94,-0.68
198301,6.48,2.23
198302,6.70,2.84
198303,8.80,5.96
198304,3.41,2.17
198305,0.58,-0.01
198306,0.10,-0.08
198307,0.00,-0.01
198308,0.10,0.08
198309,0.49,0.27
198310,0.84,-0.10
198311,7.30,5.06
198312,7.82,4.20
198401,0.45,-3.80
198402,1.63,-2.23
198403,1.37,-1.47
198404,0.49,-0.75
198405,0.02,-0.57
198406,0.12,-0.06
198407,0.00,-0.01
198408,0.19,0.17
198409,0.11,-0.11
198410,1.48,0.54
198411,6.69,4.45
198412,1.60,-2.02
198501,0.99,-3.26
198502,2.25,-1.61
198503,3.22,0.38
198504,0.16,-1.08
198505,0.01,-0.58
198506,0.06,-0.12
198507,0.01,0.00
198508,0.04,0.02
198509,0.53,0.31
198510,0.62,-0.32
198511,4.16,1.92
198512,2.92,-0.70
198601,4.17,-0.08
198602,10.70,6.84
198603,4.92,2.08
198604,0.78,-0.46
198605,0.17,-0.42
198606,0.00,-0.18
198607,0.00,-0.01
198608,0.00,-0.02
198609,0.81,0.59
198610,0.17,-0.77
198611,0.15,-2.09
198612,1.30,-2.32
198701,2.43,-1.82
198702,3.61,-0.25
198703,3.60,0.76
198704,0.14,-1.10
198705,0.09,-0.50
198706,0.00,-0.18
198707,0.00,-0.01
198708,0.00,-0.02
198709,0.00,-0.22
198710,1.01,0.07
198711,2.36,0.12
198712,5.29,1.67
198801,4.82,0.57
198802,0.61,-3.25
198803,0.28,-2.56
198804,1.55,0.31
198805,0.85,0.26
198806,0.37,0.19
198807,0.00,-0.01
198808,0.00,-0.02
198809,0.01,-0.21
198810,0.11,-0.83
198811,2.49,0.25
198812,3.06,-0.56
198901,0.80,-3.45
198902,0.98,-2.88
198903,5.61,2.77
198904,0.48,-0.76
198905,0.08,-0.51
198906,0.35,0.17
198907,0.00,-0.01
198908,0.09,0.07
198909,1.32,1.10
198910,2.08,1.14
198911,1.15,-1.09
198912,0.01,-3.61
199001,4.27,0.02
199002,3.00,-0.86
199003,0.95,-1.89
199004,0.30,-0.94
199005,2.46,1.87
199006,0.00,-0.18
199007,0.00,-0.01
199008,0.00,-0.02
199009,0.08,-0.14
199010,0.22,-0.72
199011,0.38,-1.86
199012,1.18,-2.44
199101,0.39,-3.86
199102,2.98,-0.88
199103,9.34,6.50
199104,0.37,-0.87
199105,0.30,-0.29
199106,0.40,0.22
199107,0.00,-0.01
199108,0.04,0.02
199109,0.01,-0.21
199110,0.80,-0.14
199111,0.45,-1.79
199112,2.59,-1.03
199201,1.95,-2.30
199202,7.45,3.59
199203,3.18,0.34
199204,0.75,-0.49
199205,0.02,-0.57
199206,0.40,0.22
199207,0.00,-0.01
199208,0.00,-0.02
199209,0.00,-0.22
199210,2.06,1.12
199211,0.26,-1.98
199212,6.84,3.22
199301,10.45,6.20
199302,6.41,2.55
199303,2.10,-0.74
199304,0.83,-0.41
199305,1.15,0.56
199306,0.80,0.62
199307,0.00,-0.01
199308,0.00,-0.02
199309,0.00,-0.22
199310,0.76,-0.18
199311,2.41,0.17
199312,2.24,-1.38
199401,2.28,-1.97
