Siskiyou County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
194301,9.72,2.98
194302,2.92,-2.70
194303,3.77,-0.88
194304,3.59,0.88
194305,1.20,-0.77
194306,1.84,0.75
194307,0.26,-0.10
194308,0.10,-0.27
194309,0.05,-0.89
194310,4.43,1.82
194311,2.59,-2.81
194312,1.53,-4.82
194401,4.19,-2.55
194402,4.50,-1.12
194403,2.66,-1.99
194404,3.10,0.39
194405,1.45,-0.52
194406,2.20,1.11
194407,1.18,0.82
194408,0.29,-0.08
194409,0.39,-0.55
194410,1.93,-0.68
194411,7.83,2.43
194412,3.73,-2.62
194501,2.82,-3.92
194502,7.23,1.61
194503,4.47,-0.18
194504,1.57,-1.14
194505,6.12,4.15
194506,0.56,-0.53
194507,0.18,-0.18
194508,0.13,-0.24
194509,0.21,-0.73
194510,4.55,1.94
194511,8.12,2.72
194512,11.09,4.74
194601,5.09,-1.65
194602,4.15,-1.47
194603,3.24,-1.41
194604,0.64,-2.07
194605,1.37,-0.60
194606,0.59,-0.50
194607,0.91,0.55
194608,0.04,-0.33
194609,0.39,-0.55
194610,2.20,-0.41
194611,7.17,1.77
194612,2.71,-3.64
194701,2.71,-4.03
194702,3.10,-2.52
194703,6.18,1.53
194704,1.11,-1.60
194705,1.13,-0.84
194706,2.90,1.81
194707,0.96,0.60
194708,0.36,-0.01
194709,0.27,-0.67
194710,6.02,3.41
194711,1.75,-3.65
194712,1.92,-4.43
194801,8.59,1.85
194802,3.80,-1.82
194803,4.76,0.11
194804,7.51,4.80
194805,2.62,0.65
194806,2.47,1.38
194807,0.84,0.48
194808,0.57,0.20
194809,1.88,0.94
194810,1.54,-1.07
194811,4.08,-1.32
194812,7.04,0.69
194901,0.97,-5.77
194902,5.05,-0.57
194903,4.64,-0.01
194904,0.60,-2.11
194905,3.27,1.30
194906,0.57,-0.52
194907,0.05,-0.31
194908,0.03,-0.34
194909,0.64,-0.30
194910,1.17,-1.44
194911,3.02,-2.38
194912,2.12,-4.23
195001,10.73,3.99
195002,3.42,-2.20
195003,6.50,1.85
195004,2.00,-0.71
195005,1.14,-0.83
195006,1.70,0.61
195007,0.00,-0.36
195008,0.20,-0.17
195009,1.10,0.16
195010,11.23,8.62
195011,4.79,-0.61
195012,7.22,0.87
195101,8.04,1.30
195102,5.67,0.05
195103,1.68,-2.97
195104,2.34,-0.37
195105,1.87,-0.10
195106,0.02,-1.07
195107,0.06,-0.30
195108,0.35,-0.02
195109,0.25,-0.69
195110,4.56,1.95
195111,7.68,2.28
195112,12.28,5.93
195201,8.82,2.08
195202,5.59,-0.03
195203,4.08,-0.57
195204,1.20,-1.51
195205,1.74,-0.23
195206,2.70,1.61
195207,0.79,0.43
195208,0.15,-0.22
195209,0.52,-0.42
195210,0.53,-2.08
195211,2.66,-2.74
195212,13.06,6.71
195301,12.14,5.40
195302,2.59,-3.03
195303,5.06,0.41
195304,3.06,0.35
195305,5.10,3.13
195306,1.56,0.47
195307,0.00,-0.36
195308,0.86,0.49
195309,0.19,-0.75
195310,2.68,0.07
195311,8.55,3.15
195312,3.37,-2.98
195401,13.35,6.61
195402,4.84,-0.78
195403,4.09,-0.56
195404,3.51,0.80
195405,0.13,-1.84
195406,2.02,0.93
195407,0.05,-0.31
195408,1.09,0.72
195409,0.69,-0.25
195410,1.09,-1.52
195411,4.27,-1.13
195412,6.07,-0.28
195501,2.95,-3.79
195502,1.42,-4.20
195503,1.92,-2.73
195504,3.26,0.55
195505,0.15,-1.82
195506,0.25,-0.84
195507,0.33,-0.03
195508,0.10,-0.27
195509,1.24,0.30
195510,1.59,-1.02
195511,7.73,2.33
195512,17.68,11.33
195601,12.49,5.75
195602,8.18,2.56
195603,1.55,-3.10
195604,0.87,-1.84
195605,2.94,0.97
195606,0.97,-0.12
195607,0.57,0.21
195608,0.25,-0.12
195609,0.73,-0.21
195610,6.65,4.04
195611,0.46,-4.94
195612,2.46,-3.89
195701,5.12,-1.62
195702,7.12,1.50
195703,9.05,4.40
195704,2.40,-0.31
195705,3.95,1.98
195706,0.13,-0.96
195707,0.36,0.00
195708,0.06,-0.31
195709,3.19,2.25
195710,5.49,2.88
195711,5.04,-0.36
195712,8.99,2.64
195801,9.02,2.28
195802,14.05,8.43
195803,6.08,1.43
195804,3.62,0.91
195805,1.83,-0.14
195806,3.60,2.51
195807,1.39,1.03
195808,0.65,0.28
195809,0.83,-0.11
195810,0.86,-1.75
195811,2.63,-2.77
195812,3.75,-2.60
195901,9.83,3.09
195902,6.26,0.64
195903,2.77,-1.88
195904,0.53,-2.18
195905,1.21,-0.76
195906,0.27,-0.82
195907,0.04,-0.32
195908,0.59,0.22
195909,1.85,0.91
195910,0.57,-2.04
195911,0.18,-5.22
195912,2.37,-3.98
196001,4.59,-2.15
196002,10.07,4.45
196003,6.97,2.32
196004,2.08,-0.63
196005,3.78,1.81
196006,0.05,-1.04
196007,0.22,-0.14
196008,0.02,-0.35
196009,0.18,-0.76
196010,1.43,-1.18
196011,9.32,3.92
196012,5.54,-0.81
196101,3.04,-3.70
196102,6.79,1.17
196103,7.11,2.46
196104,2.08,-0.63
196105,2.94,0.97
196106,1.09,0.00
196107,0.17,-0.19
196108,0.70,0.33
196109,1.22,0.28
196110,3.12,0.51
196111,7.03,1.63
196112,5.19,-1.16
196201,2.56,-4.18
196202,7.03,1.41
196203,4.29,-0.36
196204,1.42,-1.29
196205,2.29,0.32
196206,0.17,-0.92
196207,0.16,-0.20
196208,1.19,0.82
196209,1.00,0.06
196210,10.68,8.07
196211,5.49,0.09
196212,5.73,-0.62
196301,2.34,-4.40
196302,6.43,0.81
196303,5.29,0.64
196304,8.02,5.31
196305,2.83,0.86
196306,1.05,-0.04
196307,0.12,-0.24
196308,0.14,-0.23
196309,0.38,-0.56
196310,3.75,1.14
196311,8.63,3.23
196312,2.26,-4.09
196401,8.91,2.17
196402,0.73,-4.89
196403,2.79,-1.86
196404,0.59,-2.12
196405,1.50,-0.47
196406,2.01,0.92
196407,0.45,0.09
196408,0.06,-0.31
196409,0.18,-0.76
196410,0.89,-1.72
196411,6.57,1.17
196412,22.02,15.67
196501,7.63,0.89
196502,1.18,-4.44
196503,0.52,-4.13
196504,6.61,3.90
196505,0.54,-1.43
196506,1.23,0.14
196507,0.44,0.08
196508,1.79,1.42
196509,0.06,-0.88
196510,0.45,-2.16
196511,8.19,2.79
196512,5.35,-1.00
196601,8.26,1.52
196602,2.16,-3.46
196603,4.22,-0.43
196604,1.53,-1.18
196605,0.82,-1.15
196606,0.54,-0.55
196607,0.13,-0.23
196608,0.34,-0.03
196609,1.13,0.19
196610,0.48,-2.13
196611,10.03,4.63
196612,8.17,1.82
196701,8.99,2.25
196702,0.75,-4.87
196703,5.92,1.27
196704,4.90,2.19
196705,1.41,-0.56
196706,1.47,0.38
196707,0.07,-0.29
196708,0.08,-0.29
196709,0.39,-0.55
196710,2.77,0.16
196711,2.57,-2.83
196712,5.76,-0.59
196801,6.76,0.02
196802,5.17,-0.45
196803,3.20,-1.45
196804,0.41,-2.30
196805,1.89,-0.08
196806,0.83,-0.26
196807,0.03,-0.33
196808,1.73,1.36
196809,0.36,-0.58
196810,2.91,0.30
196811,5.07,-0.33
196812,10.13,3.78
196901,12.26,5.52
196902,5.59,-0.03
196903,1.17,-3.48
196904,2.62,-0.09
196905,1.09,-0.88
196906,1.88,0.79
196907,0.24,-0.12
196908,0.00,-0.37
196909,0.38,-0.56
196910,3.10,0.49
196911,1.80,-3.60
196912,13.45,7.10
197001,16.00,9.26
197002,2.85,-2.77
197003,3.05,-1.60
197004,1.35,-1.36
197005,0.76,-1.21
197006,1.28,0.19
197007,0.05,-0.31
197008,0.01,-0.36
197009,0.09,-0.85
197010,3.12,0.51
197011,13.41,8.01
197012,9.88,3.53
197101,6.24,-0.50
197102,1.55,-4.07
197103,8.72,4.07
197104,2.61,-0.10
197105,2.94,0.97
197106,1.27,0.18
197107,0.31,-0.05
197108,0.25,-0.12
197109,1.67,0.73
197110,1.57,-1.04
197111,6.47,1.07
197112,5.72,-0.63
197201,7.19,0.45
197202,5.55,-0.07
197203,5.69,1.04
197204,3.44,0.73
197205,1.55,-0.42
197206,1.14,0.05
197207,0.01,-0.35
197208,0.40,0.03
197209,1.14,0.20
197210,2.02,-0.59
197211,4.18,-1.22
197212,6.73,0.38
197301,6.40,-0.34
197302,4.02,-1.60
197303,2.87,-1.78
197304,0.87,-1.84
197305,0.83,-1.14
197306,0.05,-1.04
197307,0.29,-0.07
197308,0.05,-0.32
197309,2.25,1.31
197310,6.06,3.45
197311,14.91,9.51
197312,8.50,2.15
197401,10.60,3.86
197402,5.24,-0.38
197403,9.68,5.03
197404,3.66,0.95
197405,0.25,-1.72
197406,0.37,-0.72
197407,0.63,0.27
197408,0.41,0.04
197409,0.00,-0.94
197410,1.23,-1.38
197411,2.43,-2.97
197412,5.70,-0.65
197501,4.64,-2.10
197502,9.76,4.14
197503,11.16,6.51
