Santa Clara County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
192911,0.00,-2.47
192912,2.41,-1.70
193001,5.07,0.23
193002,3.51,-0.69
193003,3.08,-0.63
193004,1.33,-0.33
193005,0.56,-0.10
193006,0.00,-0.14
193007,0.00,-0.01
193008,0.02,-0.03
193009,0.19,-0.05
193010,0.28,-0.75
193011,2.03,-0.44
193012,0.41,-3.70
193101,4.77,-0.07
193102,1.73,-2.47
193103,1.21,-2.50
193104,0.58,-1.08
193105,1.44,0.78
193106,0.41,0.27
193107,0.00,-0.01
193108,0.00,-0.05
193109,0.00,-0.24
193110,0.59,-0.44
193111,2.94,0.47
193112,10.71,6.60
193201,3.51,-1.33
193202,4.43,0.23
193203,0.71,-3.00
193204,0.61,-1.05
193205,0.50,-0.16
193206,0.01,-0.13
193207,0.01,0.00
193208,0.04,-0.01
193209,0.00,-0.24
193210,0.04,-0.99
193211,0.63,-1.84
193212,3.03,-1.08
193301,6.59,1.75
193302,0.64,-3.56
193303,2.71,-1.00
193304,0.21,-1.45
193305,1.02,0.36
193306,0.04,-0.10
193307,0.00,-0.01
193308,0.00,-0.05
193309,0.02,-0.22
193310,1.70,0.67
193311,0.00,-2.47
193312,5.99,1.88
193401,1.26,-3.58
193402,4.53,0.33
193403,0.00,-3.71
193404,0.34,-1.32
193405,1.10,0.44
193406,0.69,0.55
193407,0.00,-0.01
193408,0.04,-0.01
193409,0.33,0.09
193410,0.95,-0.08
193411,3.87,1.40
193412,4.59,0.48
193501,6.01,1.17
193502,0.92,-3.28
193503,4.82,1.11
193504,5.24,3.58
193505,0.00,-0.66
193506,0.00,-0.14
193507,0.00,-0.01
193508,0.38,0.33
193509,0.02,-0.22
193510,1.22,0.19
193511,0.59,-1.88
193512,2.20,-1.91
193601,3.57,-1.27
193602,9.56,5.36
193603,1.52,-2.19
193604,1.59,-0.07
193605,1.03,0.37
193606,0.48,0.34
193607,0.07,0.06
