Orange County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
192806,0.02,-0.04
192807,0.00,-0.02
192808,0.00,-0.05
192809,0.00,-0.20
192810,0.44,-0.04
192811,1.17,-0.02
192812,1.99,-0.10
192901,1.47,-1.39
192902,1.24,-1.71
192903,1.30,-1.12
192904,1.32,0.32
192905,0.00,-0.25
192906,0.07,0.01
192907,0.00,-0.02
192908,0.04,-0.01
192909,0.61,0.41
192910,0.04,-0.44
192911,0.00,-1.19
192912,0.00,-2.09
193001,5.71,2.85
193002,0.65,-2.30
193003,3.90,1.48
193004,0.61,-0.39
193005,1.15,0.90
193006,0.02,-0.04
193007,0.00,-0.02
193008,0.00,-0.05
193009,0.01,-0.19
193010,0.17,-0.31
193011,1.76,0.57
193012,0.01,-2.08
193101,2.71,-0.15
193102,2.82,-0.13
193103,0.05,-2.37
193104,2.43,1.43
193105,0.74,0.49
193106,0.09,0.03
193107,0.00,-0.02
193108,0.20,0.15
193109,0.31,0.11
193110,0.53,0.05
193111,2.59,1.40
193112,5.25,3.16
193201,1.53,-1.33
193202,6.13,3.18
193203,0.16,-2.26
193204,0.54,-0.46
193205,0.01,-0.24
193206,0.09,0.03
193207,0.00,-0.02
193208,0.00,-0.05
193209,0.21,0.01
193210,0.83,0.35
193211,0.01,-1.18
193212,1.91,-0.18
193301,6.18,3.32
193302,0.02,-2.93
193303,0.09,-2.33
193304,0.57,-0.43
193305,0.60,0.35
193306,0.14,0.08
193307,0.00,-0.02
193308,0.15,0.10
193309,0.00,-0.20
193310,0.30,-0.18
193311,0.06,-1.13
193312,4.25,2.16
193401,2.11,-0.75
193402,1.90,-1.05
193403,0.34,-2.08
193404,0.01,-0.99
193405,0.00,-0.25
193406,0.40,0.34
193407,0.01,-0.01
193408,0.13,0.08
193409,0.24,0.04
193410,2.32,1.84
193411,2.50,1.31
193412,2.97,0.88
193501,3.00,0.14
193502,2.39,-0.56
