San Benito County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
192405,0.13,-0.32
192406,0.00,-0.07
192407,0.00,-0.01
192408,0.00,-0.02
192409,0.01,-0.19
192410,1.17,0.51
192411,1.39,-0.28
192412,2.18,-0.63
192501,1.10,-2.35
192502,2.86,-0.46
192503,1.76,-1.05
192504,1.88,0.62
192505,1.64,1.19
192506,0.07,0.00
192507,0.05,0.04
192508,0.00,-0.02
192509,0.13,-0.07
192510,0.36,-0.30
192511,0.69,-0.98
192512,1.50,-1.31
192601,1.97,-1.48
192602,4.38,1.06
192603,0.37,-2.44
192604,2.60,1.34
192605,0.03,-0.42
192606,0.00,-0.07
192607,0.00,-0.01
192608,0.00,-0.02
192609,0.00,-0.20
192610,0.49,-0.17
192611,4.63,2.96
192612,1.25,-1.56
192701,1.94,-1.51
192702,5.91,2.59
192703,1.89,-0.92
192704,0.95,-0.31
192705,0.05,-0.40
192706,0.15,0.08
192707,0.00,-0.01
192708,0.00,-0.02
192709,0.10,-0.10
192710,1.33,0.67
192711,1.66,-0.01
192712,1.84,-0.97
192801,0.35,-3.10
192802,2.51,-0.81
192803,2.61,-0.20
192804,0.76,-0.50
192805,0.41,-0.04
192806,0.00,-0.07
192807,0.00,-0.01
192808,0.00,-0.02
192809,0.00,-0.20
192810,0.00,-0.66
192811,2.68,1.01
192812,2.96,0.15
192901,0.90,-2.55
192902,1.48,-1.84
192903,1.61,-1.20
192904,1.15,-0.11
192905,0.00,-0.45
192906,0.45,0.38
192907,0.00,-0.01
192908,0.00,-0.02
192909,0.10,-0.10
192910,0.02,-0.64
192911,0.00,-1.67
192912,0.96,-1.85
193001,4.18,0.73
193002,2.48,-0.84
193003,2.48,-0.33
193004,0.75,-0.51
193005,0.43,-0.02
193006,0.00,-0.07
193007,0.00,-0.01
193008,0.00,-0.02
193009,0.28,0.08
193010,0.06,-0.60
193011,1.39,-0.28
193012,0.04,-2.77
193101,4.74,1.29
193102,1.69,-1.63
193103,0.56,-2.25
193104,0.56,-0.70
193105,1.18,0.73
193106,0.34,0.27
193107,0.00,-0.01
193108,0.01,-0.01
193109,0.01,-0.19
193110,0.12,-0.54
193111,2.56,0.89
193112,8.33,5.52
193201,4.38,0.93
193202,3.61,0.29
193203,0.69,-2.12
193204,0.37,-0.89
193205,0.55,0.10
193206,0.03,-0.04
193207,0.00,-0.01
193208,0.00,-0.02
193209,0.00,-0.20
193210,0.01,-0.65
193211,0.37,-1.30
193212,2.16,-0.65
193301,5.14,1.69
193302,0.42,-2.90
193303,1.19,-1.62
193304,0.10,-1.16
193305,0.68,0.23
193306,0.15,0.08
193307,0.00,-0.01
193308,0.00,-0.02
193309,0.02,-0.18
193310,0.27,-0.39
193311,0.00,-1.67
193312,3.70,0.89
193401,1.28,-2.17
193402,3.77,0.45
193403,0.11,-2.70
193404,0.05,-1.21
193405,0.72,0.27
193406,0.44,0.37
193407,0.00,-0.01
193408,0.01,-0.01
193409,0.06,-0.14
193410,0.91,0.25
193411,2.85,1.18
193412,3.12,0.31
193501,5.52,2.07
193502,1.14,-2.18
193503,3.57,0.76
193504,4.36,3.10
193505,0.00,-0.45
193506,0.00,-0.07
193507,0.01,0.00
193508,0.19,0.17
193509,0.05,-0.15
193510,0.40,-0.26
193511,0.99,-0.68
193512,1.42,-1.39
193601,1.86,-1.59
193602,8.90,5.58
193603,1.93,-0.88
193604,1.57,0.31
193605,0.34,-0.11
193606,0.24,0.17
193607,0.12,0.11
193608,0.01,-0.01
193609,0.00,-0.20
193610,1.13,0.47
193611,0.00,-1.67
193612,4.68,1.87
193701,3.89,0.44
193702,4.78,1.46
193703,5.34,2.53
193704,0.51,-0.75
193705,0.01,-0.44
193706,0.04,-0.03
193707,0.00,-0.01
193708,0.00,-0.02
193709,0.00,-0.20
193710,0.15,-0.51
193711,0.74,-0.93
193712,5.33,2.52
193801,3.89,0.44
193802,9.15,5.83
193803,5.81,3.00
193804,2.15,0.89
193805,0.08,-0.37
193806,0.05,-0.02
193807,0.05,0.04
193808,0.00,-0.02
193809,0.32,0.12
193810,1.09,0.43
193811,0.64,-1.03
193812,1.58,-1.23
193901,2.48,-0.97
193902,2.45,-0.87
193903,2.75,-0.06
193904,0.81,-0.45
193905,0.36,-0.09
193906,0.01,-0.06
193907,0.00,-0.01
193908,0.03,0.01
193909,0.74,0.54
193910,0.50,-0.16
193911,0.42,-1.25
193912,0.81,-2.00
194001,7.90,4.45
194002,7.52,4.20
194003,2.30,-0.51
194004,0.96,-0.30
194005,0.10,-0.35
194006,0.00,-0.07
194007,0.01,0.00
194008,0.00,-0.02
194009,0.11,-0.09
194010,0.33,-0.33
194011,0.37,-1.30
194012,7.60,4.79
194101,4.80,1.35
194102,8.94,5.62
194103,5.93,3.12
194104,4.31,3.05
194105,0.18,-0.27
194106,0.03,-0.04
194107,0.00,-0.01
194108,0.01,-0.01
194109,0.00,-0.20
194110,1.08,0.42
194111,0.87,-0.80
194112,6.68,3.87
194201,2.88,-0.57
194202,2.19,-1.13
194203,2.24,-0.57
194204,3.26,2.00
194205,0.68,0.23
194206,0.00,-0.07
194207,0.00,-0.01
194208,0.00,-0.02
194209,0.00,-0.20
194210,0.66,0.00
