Amador County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
193411,4.75,0.76
193412,3.68,-1.82
193501,6.84,0.14
193502,2.14,-3.91
193503,6.38,0.77
193504,10.39,7.43
193505,0.36,-1.12
193506,0.00,-0.48
193507,0.09,0.04
193508,0.07,0.00
193509,0.00,-0.55
193510,2.04,0.24
193511,1.88,-2.11
193512,3.15,-2.35
193601,10.06,3.36
193602,18.86,12.81
193603,2.89,-2.72
193604,2.37,-0.59
193605,1.09,-0.39
193606,2.00,1.52
193607,0.09,0.04
193608,0.01,-0.06
193609,0.43,-0.12
193610,0.97,-0.83
193611,0.11,-3.88
193612,6.91,1.41
193701,5.98,-0.72
193702,10.88,4.83
193703,9.37,3.76
193704,2.49,-0.47
193705,0.20,-1.28
193706,0.82,0.34
193707,0.07,0.02
193708,0.00,-0.07
193709,0.01,-0.54
193710,1.22,-0.58
193711,3.63,-0.36
193712,7.32,1.82
193801,5.52,-1.18
193802,14.13,8.08
193803,12.76,7.15
193804,3.21,0.25
193805,0.76,-0.72
193806,0.30,-0.18
193807,0.21,0.16
193808,0.00,-0.07
193809,0.36,-0.19
193810,2.76,0.96
193811,1.86,-2.13
193812,1.73,-3.77
193901,4.20,-2.50
193902,3.80,-2.25
193903,4.43,-1.18
193904,0.59,-2.37
193905,2.63,1.15
193906,0.13,-0.35
193907,0.00,-0.05
193908,0.01,-0.06
193909,1.69,1.14
193910,2.35,0.55
193911,0.82,-3.17
193912,1.73,-3.77
194001,13.68,6.98
194002,10.99,4.94
194003,8.53,2.92
194004,1.19,-1.77
194005,0.55,-0.93
194006,0.09,-0.39
194007,0.00,-0.05
194008,0.00,-0.07
194009,0.11,-0.44
194010,1.46,-0.34
194011,1.29,-2.70
194012,11.02,5.52
194101,6.23,-0.47
194102,7.40,1.35
194103,5.41,-0.20
194104,5.19,2.23
194105,1.20,-0.28
194106,0.24,-0.24
194107,0.00,-0.05
194108,0.02,-0.05
194109,0.33,-0.22
194110,0.97,-0.83
194111,2.58,-1.41
194112,11.49,5.99
194201,8.98,2.28
194202,5.08,-0.97
194203,2.75,-2.86
194204,6.60,3.64
194205,4.43,2.95
194206,0.00,-0.48
194207,0.00,-0.05
194208,0.02,-0.05
194209,0.04,-0.51
194210,0.31,-1.49
194211,9.56,5.57
194212,5.20,-0.30
194301,10.64,3.94
194302,4.23,-1.82
194303,10.40,4.79
194304,2.86,-0.10
194305,0.41,-1.07
194306,0.77,0.29
194307,0.04,-0.01
194308,0.00,-0.07
194309,0.01,-0.54
194310,1.28,-0.52
194311,1.41,-2.58
194312,2.64,-2.86
194401,5.53,-1.17
194402,7.70,1.65
194403,2.65,-2.96
194404,4.31,1.35
194405,1.16,-0.32
194406,0.55,0.07
194407,0.02,-0.03
194408,0.00,-0.07
194409,0.31,-0.24
194410,2.76,0.96
194411,8.89,4.90
194412,4.12,-1.38
194501,1.00,-5.70
194502,9.05,3.00
194503,6.81,1.20
194504,1.26,-1.70
194505,1.88,0.40
194506,1.42,0.94
194507,0.16,0.11
194508,0.09,0.02
194509,0.08,-0.47
194510,4.76,2.96
194511,6.27,2.28
194512,10.59,5.09
194601,1.96,-4.74
194602,3.14,-2.91
194603,5.76,0.15
194604,0.25,-2.71
194605,1.73,0.25
194606,0.00,-0.48
194607,0.05,0.00
194608,0.00,-0.07
194609,0.32,-0.23
194610,1.72,-0.08
194611,6.98,2.99
194612,3.49,-2.01
194701,1.53,-5.17
194702,2.63,-3.42
194703,5.72,0.11
194704,1.47,-1.49
194705,0.57,-0.91
194706,0.79,0.31
194707,0.00,-0.05
194708,0.01,-0.06
194709,0.03,-0.52
194710,5.33,3.53
194711,1.87,-2.12
194712,1.22,-4.28
194801,2.35,-4.35
194802,4.10,-1.95
194803,7.47,1.86
194804,8.29,5.33
194805,3.04,1.56
194806,0.40,-0.08
194807,0.00,-0.05
194808,0.00,-0.07
194809,0.07,-0.48
194810,0.71,-1.09
194811,1.60,-2.39
194812,6.14,0.64
194901,3.45,-3.25
194902,4.64,-1.41
194903,8.77,3.16
194904,0.24,-2.72
