Fresno County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
193710,0.12,-0.75
193711,0.62,-1.24
193712,6.30,3.32
193801,3.03,-0.72
193802,8.24,4.68
193803,9.09,5.91
193804,2.43,0.71
193805,0.83,0.00
193806,0.53,0.32
193807,0.24,0.13
193808,0.02,-0.11
193809,0.54,0.15
193810,1.39,0.52
193811,0.64,-1.22
193812,1.64,-1.34
193901,2.85,-0.90
193902,1.90,-1.66
193903,3.02,-0.16
193904,1.10,-0.62
193905,0.59,-0.24
193906,0.18,-0.03
193907,0.15,0.04
193908,0.21,0.08
193909,1.09,0.70
193910,1.29,0.42
193911,0.06,-1.80
193912,0.53,-2.45
194001,8.08,4.33
194002,6.68,3.12
194003,2.61,-0.57
194004,0.95,-0.77
194005,0.03,-0.80
194006,0.03,-0.18
194007,0.00,-0.11
194008,0.00,-0.13
194009,0.02,-0.37
194010,1.61,0.74
194011,0.20,-1.66
194012,7.83,4.85
194101,3.78,0.03
194102,6.99,3.43
194103,3.33,0.15
194104,4.35,2.63
194105,0.21,-0.62
194106,0.12,-0.09
194107,0.03,-0.08
194108,0.25,0.12
194109,0.02,-0.37
194110,1.37,0.50
194111,1.08,-0.78
194112,7.51,4.53
194201,3.06,-0.69
194202,2.06,-1.50
194203,1.92,-1.26
194204,3.11,1.39
194205,0.92,0.09
194206,0.00,-0.21
194207,0.00,-0.11
194208,0.06,-0.07
194209,0.07,-0.32
194210,0.13,-0.74
194211,1.93,0.07
194212,2.26,-0.72
194301,6.82,3.07
194302,1.84,-1.72
194303,5.33,2.15
194304,1.91,0.19
194305,0.21,-0.62
194306,0.16,-0.05
194307,0.02,-0.09
194308,0.00,-0.13
194309,0.17,-0.22
194310,0.41,-0.46
194311,0.57,-1.29
194312,2.80,-0.18
194401,2.62,-1.13
194402,5.92,2.36
194403,1.49,-1.69
194404,2.12,0.40
194405,0.61,-0.22
194406,0.27,0.06
194407,0.00,-0.11
194408,0.00,-0.13
194409,0.05,-0.34
194410,0.77,-0.10
194411,4.07,2.21
194412,2.18,-0.80
194501,0.52,-3.23
194502,7.26,3.70
194503,4.58,1.40
194504,0.59,-1.13
194505,0.78,-0.05
194506,0.29,0.08
194507,0.04,-0.07
194508,0.15,0.02
194509,0.19,-0.20
194510,3.03,2.16
194511,1.68,-0.18
194512,4.58,1.60
194601,0.78,-2.97
194602,1.98,-1.58
194603,4.05,0.87
194604,0.24,-1.48
194605,0.81,-0.02
194606,0.00,-0.21
194607,0.26,0.15
194608,0.11,-0.02
194609,0.09,-0.30
194610,1.90,1.03
194611,4.83,2.97
194612,3.69,0.71
194701,0.62,-3.13
194702,1.40,-2.16
194703,1.54,-1.64
194704,0.70,-1.02
194705,0.60,-0.23
194706,0.05,-0.16
194707,0.00,-0.11
194708,0.04,-0.09
194709,0.30,-0.09
194710,1.11,0.24
194711,0.67,-1.19
194712,0.89,-2.09
194801,0.14,-3.61
194802,1.93,-1.63
194803,4.04,0.86
194804,4.36,2.64
194805,0.94,0.11
194806,0.19,-0.02
194807,0.00,-0.11
194808,0.00,-0.13
194809,0.01,-0.38
194810,0.41,-0.46
194811,0.07,-1.79
194812,2.83,-0.15
194901,1.82,-1.93
194902,2.34,-1.22
194903,4.78,1.60
194904,0.18,-1.54
194905,1.72,0.89
194906,0.03,-0.18
194907,0.10,-0.01
194908,0.25,0.12
194909,0.03,-0.36
194910,0.09,-0.78
194911,1.84,-0.02
194912,2.13,-0.85
195001,3.77,0.02
195002,2.50,-1.06
195003,2.28,-0.90
195004,1.67,-0.05
195005,0.31,-0.52
195006,0.01,-0.20
195007,0.28,0.17
195008,0.04,-0.09
195009,0.37,-0.02
195010,1.71,0.84
195011,5.80,3.94
195012,4.05,1.07
195101,2.45,-1.30
195102,1.68,-1.88
195103,0.70,-2.48
195104,2.10,0.38
195105,0.45,-0.38
195106,0.15,-0.06
195107,0.07,-0.04
195108,0.01,-0.12
195109,0.01,-0.38
195110,0.83,-0.04
195111,2.27,0.41
195112,6.95,3.97
195201,6.61,2.86
195202,1.48,-2.08
195203,5.73,2.55
195204,2.69,0.97
195205,0.03,-0.80
195206,0.10,-0.11
195207,0.30,0.19
195208,0.01,-0.12
195209,0.50,0.11
195210,0.03,-0.84
195211,1.88,0.02
195212,4.97,1.99
195301,2.25,-1.50
195302,0.09,-3.47
195303,1.40,-1.78
195304,1.98,0.26
195305,1.37,0.54
195306,0.50,0.29
195307,0.05,-0.06
195308,0.02,-0.11
195309,0.01,-0.38
195310,0.41,-0.46
195311,1.92,0.06
195312,0.92,-2.06
195401,3.69,-0.06
195402,3.05,-0.51
195403,4.66,1.48
195404,1.03,-0.69
195405,0.23,-0.60
195406,0.65,0.44
195407,0.17,0.06
195408,0.00,-0.13
195409,0.05,-0.34
195410,0.00,-0.87
195411,2.37,0.51
195412,2.76,-0.22
195501,4.64,0.89
195502,2.34,-1.22
195503,0.30,-2.88
195504,2.22,0.50
195505,1.41,0.58
195506,0.01,-0.20
195507,0.07,-0.04
195508,0.13,0.00
195509,0.12,-0.27
195510,0.01,-0.86
195511,1.93,0.07
195512,12.99,10.01
195601,4.82,1.07
195602,1.29,-2.27
195603,0.13,-3.05
195604,3.10,1.38
195605,1.71,0.88
195606,0.01,-0.20
195607,0.20,0.09
195608,0.00,-0.13
195609,0.09,-0.30
195610,1.68,0.81
195611,0.00,-1.86
195612,0.75,-2.23
195701,3.53,-0.22
195702,2.60,-0.96
195703,1.73,-1.45
195704,2.19,0.47
195705,2.90,2.07
195706,0.23,0.02
195707,0.05,-0.06
195708,0.00,-0.13
195709,0.38,-0.01
195710,1.16,0.29
195711,1.40,-0.46
195712,3.80,0.82
195801,3.35,-0.40
195802,5.51,1.95
195803,7.42,4.24
195804,4.56,2.84
195805,1.09,0.26
195806,0.36,0.15
195807,0.12,0.01
195808,0.21,0.08
195809,1.25,0.86
195810,0.03,-0.84
195811,0.57,-1.29
195812,0.38,-2.60
195901,2.43,-1.32
195902,6.18,2.62
195903,0.20,-2.98
195904,0.60,-1.12
195905,0.31,-0.52
195906,0.00,-0.21
195907,0.02,-0.09
195908,0.04,-0.09
195909,1.54,1.15
195910,0.03,-0.84
195911,0.00,-1.86
195912,0.72,-2.26
196001,2.46,-1.29
196002,4.03,0.47
196003,1.52,-1.66
196004,1.61,-0.11
196005,0.16,-0.67
196006,0.00,-0.21
196007,0.14,0.03
196008,0.00,-0.13
196009,0.09,-0.30
196010,0.41,-0.46
196011,4.26,2.40
196012,1.36,-1.62
196101,1.63,-2.12
196102,0.75,-2.81
196103,1.85,-1.33
196104,0.72,-1.00
196105,0.73,-0.10
196106,0.09,-0.12
196107,0.16,0.05
196108,0.39,0.26
196109,0.29,-0.10
196110,0.28,-0.59
196111,2.57,0.71
196112,2.06,-0.92
196201,2.29,-1.46
196202,10.19,6.63
196203,2.46,-0.72
196204,0.21,-1.51
196205,0.79,-0.04
196206,0.15,-0.06
196207,0.14,0.03
196208,0.02,-0.11
196209,0.25,-0.14
196210,0.79,-0.08
196211,0.13,-1.73
196212,0.66,-2.32
196301,5.27,1.52
196302,4.53,0.97
196303,3.46,0.28
196304,4.66,2.94
196305,1.01,0.18
196306,0.41,0.20
196307,0.00,-0.11
196308,0.29,0.16
196309,0.60,0.21
196310,1.41,0.54
196311,3.83,1.97
196312,0.42,-2.56
196401,1.87,-1.88
196402,0.13,-3.43
196403,2.29,-0.89
196404,1.30,-0.42
196405,1.38,0.55
196406,0.24,0.03
196407,0.11,0.00
196408,0.22,0.09
196409,0.31,-0.08
196410,1.31,0.44
196411,3.03,1.17
196412,5.33,2.35
196501,3.19,-0.56
196502,0.74,-2.82
196503,1.69,-1.49
196504,3.93,2.21
196505,0.12,-0.71
196506,0.09,-0.12
196507,0.23,0.12
196508,0.44,0.31
196509,0.13,-0.26
196510,0.22,-0.65
196511,6.08,4.22
196512,3.89,0.91
196601,1.00,-2.75
196602,1.36,-2.20
196603,0.25,-2.93
196604,0.62,-1.10
196605,0.44,-0.39
196606,0.12,-0.09
196607,0.05,-0.06
196608,0.10,-0.03
196609,0.17,-0.22
196610,0.00,-0.87
196611,2.45,0.59
196612,9.76,6.78
196701,4.71,0.96
196702,0.46,-3.10
196703,4.88,1.70
196704,6.27,4.55
196705,0.68,-0.15
196706,0.18,-0.03
196707,0.11,0.00
196708,0.21,0.08
196709,0.65,0.26
196710,0.05,-0.82
196711,2.43,0.57
196712,2.26,-0.72
196801,1.66,-2.09
196802,1.33,-2.23
196803,1.73,-1.45
196804,0.79,-0.93
196805,0.52,-0.31
196806,0.15,-0.06
196807,0.21,0.10
196808,0.20,0.07
196809,0.00,-0.39
196810,1.71,0.84
196811,2.11,0.25
196812,4.41,1.43
196901,14.20,10.45
196902,9.70,6.14
196903,2.03,-1.15
196904,2.16,0.44
196905,0.40,-0.43
196906,0.71,0.50
196907,0.25,0.14
196908,0.04,-0.09
196909,0.22,-0.17
196910,0.67,-0.20
196911,0.99,-0.87
196912,1.88,-1.10
197001,5.78,2.03
197002,1.65,-1.91
197003,2.23,-0.95
197004,0.68,-1.04
197005,0.01,-0.82
197006,0.30,0.09
197007,0.21,0.10
197008,0.02,-0.11
197009,0.00,-0.39
197010,0.12,-0.75
197011,4.77,2.91
197012,4.41,1.43
197101,1.37,-2.38
197102,0.64,-2.92
197103,1.10,-2.08
197104,1.03,-0.69
197105,2.22,1.39
197106,0.01,-0.20
197107,0.18,0.07
197108,0.04,-0.09
197109,0.21,-0.18
197110,0.42,-0.45
197111,1.70,-0.16
197112,5.74,2.76
197201,0.61,-3.14
197202,0.70,-2.86
197203,0.00,-3.18
197204,0.65,-1.07
197205,0.20,-0.63
197206,0.52,0.31
197207,0.05,-0.06
197208,0.07,-0.06
197209,0.70,0.31
197210,1.09,0.22
197211,4.61,2.75
197212,1.96,-1.02
197301,5.70,1.95
197302,6.24,2.68
197303,4.31,1.13
197304,0.48,-1.24
197305,0.33,-0.50
197306,0.04,-0.17
197307,0.01,-0.10
197308,0.18,0.05
197309,0.00,-0.39
197310,1.40,0.53
197311,3.55,1.69
197312,3.22,0.24
197401,5.21,1.46
197402,0.57,-2.99
197403,4.54,1.36
197404,1.71,-0.01
197405,0.22,-0.61
197406,0.00,-0.21
197407,0.26,0.15
197408,0.06,-0.07
197409,0.00,-0.39
197410,1.94,1.07
197411,0.86,-1.00
197412,2.95,-0.03
197501,1.13,-2.62
197502,3.88,0.32
197503,5.14,1.96
197504,2.44,0.72
197505,0.28,-0.55
197506,0.12,-0.09
197507,0.05,-0.06
197508,0.30,0.17
197509,0.46,0.07
197510,2.34,1.47
197511,0.65,-1.21
197512,0.31,-2.67
197601,0.12,-3.63
197602,3.94,0.38
197603,1.46,-1.72
197604,1.91,0.19
197605,0.59,-0.24
197606,0.14,-0.07
197607,0.40,0.29
197608,0.31,0.18
197609,2.00,1.61
197610,0.68,-0.19
197611,0.69,-1.17
197612,0.78,-2.20
197701,1.42,-2.33
197702,0.81,-2.75
197703,1.32,-1.86
197704,0.11,-1.61
197705,2.16,1.33
197706,0.56,0.35
197707,0.03,-0.08
197708,0.34,0.21
197709,0.05,-0.34
197710,0.30,-0.57
197711,1.13,-0.73
197712,7.38,4.40
197801,6.09,2.34
197802,7.69,4.13
197803,6.87,3.69
197804,4.37,2.65
197805,0.15,-0.68
197806,0.03,-0.18
197807,0.11,0.00
197808,0.08,-0.05
197809,1.90,1.51
197810,0.05,-0.82
197811,2.19,0.33
197812,1.97,-1.01
197901,4.88,1.13
197902,4.53,0.97
197903,4.05,0.87
197904,0.31,-1.41
197905,0.40,-0.43
197906,0.00,-0.21
197907,0.17,0.06
197908,0.10,-0.03
197909,0.17,-0.22
197910,1.18,0.31
197911,1.57,-0.29
197912,2.42,-0.56
198001,8.32,4.57
198002,7.47,3.91
198003,3.30,0.12
198004,1.28,-0.44
198005,1.03,0.20
198006,0.03,-0.18
198007,0.06,-0.05
198008,0.00,-0.13
198009,0.07,-0.32
198010,0.28,-0.59
198011,0.39,-1.47
198012,1.49,-1.49
198101,4.30,0.55
198102,1.44,-2.12
