Stanislaus County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
193908,0.00,-0.01
193909,0.91,0.74
193910,0.33,-0.30
193911,0.16,-1.30
193912,0.82,-1.40
194001,5.86,3.10
194002,4.84,2.31
194003,2.88,0.62
194004,0.69,-0.35
194005,0.04,-0.42
194006,0.00,-0.09
194007,0.00,-0.01
194008,0.00,-0.01
194009,0.06,-0.11
194010,0.52,-0.11
194011,0.16,-1.30
194012,5.79,3.57
194101,3.12,0.36
194102,4.49,1.96
194103,3.38,1.12
194104,2.69,1.65
194105,0.08,-0.38
194106,0.03,-0.06
194107,0.00,-0.01
194108,0.00,-0.01
194109,0.00,-0.17
194110,0.94,0.31
194111,0.87,-0.59
194112,4.00,1.78
194201,2.23,-0.53
194202,2.09,-0.44
194203,1.55,-0.71
194204,3.47,2.43
194205,1.03,0.57
194206,0.00,-0.09
194207,0.00,-0.01
194208,0.00,-0.01
194209,0.01,-0.16
194210,0.32,-0.31
194211,1.69,0.23
194212,1.71,-0.51
194301,2.69,-0.07
194302,1.60,-0.93
194303,4.10,1.84
194304,1.19,0.15
194305,0.00,-0.46
194306,0.01,-0.08
194307,0.00,-0.01
194308,0.00,-0.01
194309,0.00,-0.17
194310,0.32,-0.31
194311,0.51,-0.95
194312,1.42,-0.80
194401,2.55,-0.21
194402,4.12,1.59
194403,0.53,-1.73
194404,1.52,0.48
194405,0.45,-0.01
194406,0.14,0.05
194407,0.00,-0.01
194408,0.00,-0.01
194409,0.05,-0.12
194410,1.24,0.61
194411,3.29,1.83
194412,1.67,-0.55
194501,0.36,-2.40
194502,3.34,0.81
194503,2.64,0.38
194504,0.28,-0.76
194505,0.24,-0.22
194506,0.04,-0.05
194507,0.00,-0.01
194508,0.01,0.00
194509,0.09,-0.08
194510,2.16,1.53
194511,1.88,0.42
194512,3.71,1.49
194601,0.83,-1.93
194602,1.72,-0.81
194603,1.34,-0.92
194604,0.21,-0.83
194605,0.91,0.45
194606,0.00,-0.09
194607,0.04,0.03
194608,0.00,-0.01
194609,0.02,-0.15
194610,0.53,-0.10
194611,2.78,1.32
194612,2.00,-0.22
194701,0.50,-2.26
194702,0.88,-1.65
194703,1.51,-0.75
194704,0.20,-0.84
194705,0.18,-0.28
194706,0.23,0.14
194707,0.00,-0.01
194708,0.00,-0.01
194709,0.01,-0.16
194710,1.39,0.76
194711,1.20,-0.26
194712,0.90,-1.32
194801,0.25,-2.51
194802,1.21,-1.32
194803,3.38,1.12
194804,2.59,1.55
194805,1.54,1.08
194806,0.01,-0.08
194807,0.00,-0.01
194808,0.00,-0.01
194809,0.00,-0.17
194810,0.59,-0.04
194811,0.11,-1.35
194812,2.40,0.18
194901,1.22,-1.54
194902,1.47,-1.06
194903,3.55,1.29
194904,0.01,-1.03
194905,0.55,0.09
194906,0.00,-0.09
