Kings County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
196204,0.00,-0.64
196205,0.05,-0.23
196206,0.00,-0.04
196207,0.00,-0.01
196208,0.00,-0.01
196209,0.01,-0.12
196210,0.11,-0.25
196211,0.00,-0.66
196212,0.20,-0.89
196301,0.80,-0.73
196302,2.21,0.71
196303,1.05,-0.31
196304,1.77,1.13
196305,0.55,0.27
196306,0.18,0.14
196307,0.00,-0.01
196308,0.05,0.04
196309,0.28,0.15
196310,1.05,0.69
196311,1.07,0.41
196312,0.16,-0.93
196401,0.78,-0.75
196402,0.07,-1.43
196403,0.79,-0.57
196404,0.62,-0.02
196405,0.12,-0.16
196406,0.01,-0.03
196407,0.00,-0.01
196408,0.05,0.04
196409,0.15,0.02
196410,0.97,0.61
196411,0.88,0.22
196412,1.00,-0.09
196501,0.85,-0.68
196502,0.31,-1.19
196503,0.69,-0.67
196504,1.73,1.09
196505,0.00,-0.28
196506,0.00,-0.04
196507,0.05,0.04
196508,0.02,0.01
196509,0.05,-0.08
196510,0.02,-0.34
196511,2.36,1.70
196512,1.71,0.62
196601,0.49,-1.04
196602,0.77,-0.73
196603,0.05,-1.31
196604,0.01,-0.63
196605,0.10,-0.18
196606,0.12,0.08
196607,0.05,0.04
196608,0.00,-0.01
196609,0.08,-0.05
196610,0.00,-0.36
196611,0.80,0.14
196612,2.58,1.49
196701,1.19,-0.34
196702,0.12,-1.38
196703,1.53,0.17
196704,2.28,1.64
196705,0.11,-0.17
196706,0.21,0.17
196707,0.00,-0.01
196708,0.00,-0.01
196709,0.12,-0.01
196710,0.01,-0.35
196711,1.83,1.17
196712,0.51,-0.58
196801,0.59,-0.94
196802,0.70,-0.80
196803,0.98,-0.38
196804,0.45,-0.19
196805,0.06,-0.22
196806,0.00,-0.04
196807,0.00,-0.01
196808,0.04,0.03
196809,0.00,-0.13
196810,1.35,0.99
196811,0.98,0.32
196812,1.32,0.23
196901,6.19,4.66
196902,4.30,2.80
196903,0.53,-0.83
196904,0.78,0.14
196905,0.10,-0.18
196906,0.10,0.06
196907,0.07,0.06
196908,0.00,-0.01
196909,0.12,-0.01
196910,0.06,-0.30
196911,0.43,-0.23
196912,0.44,-0.65
197001,1.33,-0.20
197002,1.29,-0.21
197003,1.42,0.06
197004,0.18,-0.46
197005,0.00,-0.28
197006,0.00,-0.04
197007,0.00,-0.01
197008,0.00,-0.01
197009,0.00,-0.13
197010,0.01,-0.35
197011,2.22,1.56
197012,1.50,0.41
197101,0.34,-1.19
197102,0.19,-1.31
197103,0.15,-1.21
197104,0.58,-0.06
197105,1.12,0.84
197106,0.00,-0.04
197107,0.00,-0.01
197108,0.00,-0.01
197109,0.01,-0.12
197110,0.04,-0.32
197111,0.29,-0.37
197112,1.87,0.78
197201,0.15,-1.38
197202,0.25,-1.25
197203,0.00,-1.36
197204,0.11,-0.53
197205,0.07,-0.21
197206,0.01,-0.03
197207,0.02,0.01
197208,0.00,-0.01
197209,0.07,-0.06
197210,0.32,-0.04
197211,2.50,1.84
197212,0.65,-0.44
197301,3.58,2.05
197302,2.71,1.21
197303,2.02,0.66
197304,0.11,-0.53
197305,0.00,-0.28
197306,0.00,-0.04
197307,0.00,-0.01
197308,0.03,0.02
197309,0.00,-0.13
197310,0.58,0.22
197311,0.66,0.00
197312,1.02,-0.07
197401,3.08,1.55
197402,0.11,-1.39
197403,1.72,0.36
197404,0.21,-0.43
197405,0.02,-0.26
197406,0.00,-0.04
197407,0.00,-0.01
197408,0.00,-0.01
197409,0.00,-0.13
197410,0.66,0.30
197411,0.17,-0.49
197412,1.38,0.29
197501,0.07,-1.46
197502,1.42,-0.08
197503,1.36,0.00
197504,0.52,-0.12
197505,0.00,-0.28
197506,0.00,-0.04
197507,0.00,-0.01
197508,0.01,0.00
197509,0.26,0.13
197510,0.71,0.35
197511,0.10,-0.56
197512,0.15,-0.94
197601,0.00,-1.53
197602,2.76,1.26
197603,0.52,-0.84
197604,1.48,0.84
197605,0.02,-0.26
197606,0.13,0.09
197607,0.01,0.00
197608,0.08,0.07
197609,0.82,0.69
197610,0.13,-0.23
197611,0.85,0.19
197612,0.58,-0.51
197701,0.51,-1.02
197702,0.04,-1.46
197703,0.73,-0.63
197704,0.01,-0.63
197705,1.06,0.78
197706,0.11,0.07
197707,0.00,-0.01
197708,0.03,0.02
197709,0.00,-0.13
197710,0.12,-0.24
197711,0.35,-0.31
197712,3.33,2.24
197801,2.17,0.64
197802,4.57,3.07
197803,3.64,2.28
197804,1.89,1.25
197805,0.00,-0.28
197806,0.00,-0.04
197807,0.00,-0.01
197808,0.00,-0.01
197809,0.81,0.68
197810,0.00,-0.36
197811,0.80,0.14
197812,0.70,-0.39
197901,1.99,0.46
197902,1.57,0.07
197903,1.42,0.06
197904,0.02,-0.62
197905,0.01,-0.27
197906,0.00,-0.04
197907,0.04,0.03
197908,0.00,-0.01
197909,0.05,-0.08
197910,0.35,-0.01
197911,0.41,-0.25
197912,0.65,-0.44
198001,2.88,1.35
198002,3.07,1.57
198003,1.30,-0.06
198004,0.48,-0.16
198005,0.12,-0.16
