Sacramento County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
194106,0.02,-0.15
194107,0.00,-0.01
194108,0.00,-0.02
194109,0.01,-0.21
194110,0.84,-0.07
194111,1.35,-0.76
194112,5.68,2.73
194201,5.05,1.15
194202,2.93,-0.56
194203,2.55,-0.26
194204,4.56,3.14
194205,1.52,0.84
194206,0.00,-0.17
194207,0.00,-0.01
194208,0.00,-0.02
194209,0.05,-0.17
194210,0.25,-0.66
194211,2.96,0.85
194212,2.69,-0.26
194301,5.92,2.02
194302,1.88,-1.61
194303,4.83,2.02
194304,1.81,0.39
194305,0.19,-0.49
194306,0.21,0.04
194307,0.00,-0.01
194308,0.00,-0.02
194309,0.00,-0.22
194310,0.28,-0.63
194311,0.77,-1.34
194312,1.83,-1.12
194401,2.89,-1.01
194402,6.53,3.04
194403,1.26,-1.55
194404,1.74,0.32
194405,0.73,0.05
194406,0.35,0.18
194407,0.00,-0.01
194408,0.00,-0.02
194409,0.04,-0.18
194410,1.57,0.66
194411,4.00,1.89
194412,2.31,-0.64
194501,1.04,-2.86
194502,4.44,0.95
194503,3.09,0.28
194504,0.33,-1.09
194505,0.74,0.06
194506,0.21,0.04
194507,0.02,0.01
194508,0.00,-0.02
194509,0.00,-0.22
194510,2.53,1.62
194511,2.10,-0.01
194512,5.53,2.58
194601,0.77,-3.13
194602,1.24,-2.25
194603,2.16,-0.65
194604,0.12,-1.30
194605,0.85,0.17
194606,0.00,-0.17
194607,0.02,0.01
194608,0.00,-0.02
194609,0.13,-0.09
194610,0.58,-0.33
194611,2.95,0.84
194612,1.72,-1.23
194701,0.61,-3.29
194702,2.04,-1.45
194703,3.00,0.19
194704,0.36,-1.06
194705,0.21,-0.47
194706,0.44,0.27
194707,0.00,-0.01
194708,0.00,-0.02
194709,0.01,-0.21
194710,2.73,1.82
194711,1.20,-0.91
194712,0.76,-2.19
194801,0.76,-3.14
194802,1.42,-2.07
194803,3.48,0.67
194804,3.17,1.75
194805,2.78,2.10
194806,0.09,-0.08
194807,0.00,-0.01
194808,0.00,-0.02
194809,0.04,-0.18
194810,0.84,-0.07
194811,0.75,-1.36
194812,3.88,0.93
194901,1.68,-2.22
194902,2.09,-1.40
194903,5.18,2.37
194904,0.01,-1.41
194905,0.33,-0.35
194906,0.00,-0.17
194907,0.03,0.02
194908,0.04,0.02
194909,0.03,-0.19
194910,0.08,-0.83
194911,1.27,-0.84
194912,1.68,-1.27
195001,5.06,1.16
195002,2.68,-0.81
195003,2.06,-0.75
195004,1.10,-0.32
195005,0.40,-0.28
195006,0.04,-0.13
195007,0.01,0.00
195008,0.00,-0.02
195009,0.45,0.23
195010,2.48,1.57
195011,5.70,3.59
195012,5.00,2.05
195101,3.32,-0.58
195102,1.95,-1.54
195103,1.26,-1.55
195104,0.89,-0.53
195105,0.96,0.28
195106,0.00,-0.17
195107,0.00,-0.01
195108,0.01,-0.01
195109,0.07,-0.15
195110,1.43,0.52
195111,3.00,0.89
195112,5.39,2.44
195201,7.75,3.85
195202,1.97,-1.52
195203,4.15,1.34
195204,1.35,-0.07
195205,0.11,-0.57
195206,0.29,0.12
195207,0.03,0.02
195208,0.00,-0.02
195209,0.11,-0.11
195210,0.00,-0.91
195211,2.01,-0.10
195212,6.28,3.33
195301,3.26,-0.64
195302,0.14,-3.35
195303,1.70,-1.11
195304,2.60,1.18
195305,0.63,-0.05
195306,0.62,0.45
195307,0.00,-0.01
195308,0.07,0.05
195309,0.01,-0.21
